Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,Risk,Urgency,Impact,State,Priority,Created,Day,Start Date,Closed,Reopen Count
CHG-0000011,Adjust Volume changes incompatible fixes mid-stage (handling-/handoff migration).,Access,Batman,Batman,Matrix,Service D,Medium,Medium,Medium,Closed,High,2025-01-03T14:02:52.000000,Friday,2025-01-03T20:02:52.000000,2025-01-04T15:02:52.000000,0
CHG-0000012,Update IDRAC board for core cluster PROD servers.,Network,Hulk,Hulk,Avengers,Service E,Low,High,High,Closed,Medium,2025-01-03T23:42:16.000000,Friday,2025-01-04T06:42:16.000000,2025-01-05T17:42:16.000000,4
CHG-0000013,TAPs installation in IMK productive connections for work order #REQ0157356.,Network,Doctor Strange,Doctor Strange,Avengers II,Service B,Medium,Medium,High,Closed,Low,2025-01-04T12:06:24.000000,Saturday,2025-01-04T18:06:24.000000,2025-01-05T23:06:24.000000,2
CHG-0000014,Firewall subnet allocation and access provisioning for KL office gateway.,Complaint,Spiderman,Spiderman,Avengers II,Service B,High,Medium,Medium,Closed,Medium,2025-01-04T04:16:54.000000,Saturday,2025-01-04T07:16:54.000000,2025-01-04T21:16:54.000000,4
CHG-0000015,Certificate adjustments for new virtual database pipelines.,Complaint,John Cena,John Cena,Matrix,Service A,Low,Medium,Low,Closed,Medium,2025-01-04T18:53:58.000000,Saturday,2025-01-04T22:53:58.000000,2025-01-06T05:53:58.000000,5
CHG-0000016,"Remote board SSL Cert renewal for ressgpe0 , ressgpe1 , secsgpe0 & secsgpe1.",Failure,Iron Man,Iron Man,Avengers,Service A,Low,High,Medium,Closed,Medium,2025-01-04T22:21:07.000000,Saturday,2025-01-05T03:21:07.000000,2025-01-06T08:21:07.000000,5
CHG-0000017,Firewall rule onboarding for external SaaS applications via Palo Alto setup.,Complaint,John Cena,John Cena,Matrix,Service B,Medium,Medium,Medium,Closed,High,2025-01-04T23:03:10.000000,Saturday,2025-01-05T01:03:10.000000,2025-01-06T00:03:10.000000,2
CHG-0000018,Enable ADFS custom user provisioning profile upload validation.,Network,Shang Chi,Shang Chi,Avengers II,Service D,Low,Low,High,Closed,High,2025-01-05T20:09:34.000000,Sunday,2025-01-05T23:09:34.000000,2025-01-07T08:09:34.000000,3
CHG-0000019,Updating the IDRAC remote board Firmware and BIOS for timffm21.,Complaint,Neo,Neo,Matrix,Service C,Low,Low,Medium,In Progress,Low,2025-01-06T03:44:05.000000,Monday,2025-01-06T07:44:05.000000,,5
CHG-0000020,Install httpd-tools on edge proxy nodes.,Software,Iron Man,Iron Man,Avengers,Service D,Low,High,High,Closed,Low,2025-01-06T09:31:44.000000,Monday,2025-01-06T13:31:44.000000,2025-01-06T22:31:44.000000,5
CHG-0000021,Certificate renewal for Avatar PROD environment 2026 - (VAA-Threat Application).,Complaint,Spiderman,Spiderman,Avengers II,Service D,Medium,Low,Low,Closed,Medium,2025-01-06T10:40:56.000000,Monday,2025-01-06T16:40:56.000000,2025-01-06T20:40:56.000000,5
CHG-0000022,Reverse fallback isolation plan post-Palo Alto Prisma failure.,Hardware,Captain America,Captain America,Avengers,Service A,Low,Low,High,Closed,High,2025-01-06T03:30:00.000000,Monday,2025-01-06T10:30:00.000000,2025-01-07T19:30:00.000000,4
CHG-0000023,Execute systemctl daemon-reload on CSO VM (PROD).,Failure,Captain Marvel,Captain Marvel,Avengers II,Service D,Low,Low,Low,Closed,High,2025-01-06T11:37:14.000000,Monday,2025-01-06T14:37:14.000000,2025-01-08T00:37:14.000000,2
CHG-0000024,Remote board SSL Cert renewal for anysgp15 & anysgp14.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Low,Low,High,Closed,Low,2025-01-07T00:57:21.000000,Tuesday,2025-01-07T02:57:21.000000,2025-01-07T06:57:21.000000,3
CHG-0000025,Certificate update for Palo Alto gatekeeping subnet for KL relocation network.,Complaint,John Cena,John Cena,Matrix,Service C,Low,Low,High,On Hold,Low,2025-01-07T08:10:49.000000,Tuesday,,,3
CHG-0000026,Execute hardening measures for SQL server instances post security audit.,Data,Captain Marvel,Captain Marvel,Avengers II,Service E,High,Low,High,Closed,Medium,2025-01-07T13:39:32.000000,Tuesday,2025-01-07T18:39:32.000000,2025-01-08T19:39:32.000000,5
CHG-0000027,"Remote board SSL Cert renewal for ressgpe0 , ressgpe1 , secsgpe0 & secsgpe1.",Access,Thor,Thor,Avengers,Service E,Medium,Medium,Medium,New,Critical,2025-01-07T16:01:41.000000,Tuesday,,,4
CHG-0000028,Case 65943239: Upgrade Ontap version to 9.14.1P12.,Network,Spiderman,Spiderman,Avengers II,Service D,Medium,High,High,Closed,Low,2025-01-08T04:12:34.000000,Wednesday,2025-01-08T12:12:34.000000,2025-01-09T15:12:34.000000,0
CHG-0000029,Provision new storage array in EU data center for increased redundancy.,Software,Hulk,Hulk,Avengers,Service C,Medium,Medium,Low,On Hold,Critical,2025-01-08T00:46:53.000000,Wednesday,,,1
CHG-0000030,Online Banking external CB-APP onboarding on Radware On-prem environment.,Complaint,Hulk,Hulk,Avengers,Service C,High,Medium,Medium,Closed,Medium,2025-01-08T03:39:21.000000,Wednesday,2025-01-08T05:39:21.000000,2025-01-09T10:39:21.000000,2
CHG-0000031,Certificate renewal for Avatar development environment - Cloud Integration Testing Area.,Network,Iron Man,Iron Man,Avengers,Service D,Medium,Medium,Low,Closed,High,2025-01-09T04:39:20.000000,Thursday,2025-01-09T09:39:20.000000,2025-01-10T21:39:20.000000,4
CHG-0000032,Grant access to crontab for ta2twga on twgmmp01.zit.commerzbank.com.,Complaint,Thor,Thor,Avengers,Service A,High,High,High,Closed,High,2025-01-09T12:33:16.000000,Thursday,2025-01-09T20:33:16.000000,2025-01-11T00:33:16.000000,1
CHG-0000033,Setup additional SAML authentication nodes in DMZ environment.,Software,Thor,Thor,Avengers,Service C,Low,Medium,Low,Closed,Medium,2025-01-10T11:18:08.000000,Friday,2025-01-10T14:18:08.000000,2025-01-11T02:18:08.000000,1
CHG-0000034,"Server BIOS updates across remote virtual VM hosts (RESFFM01, SECFFM01).",Data,Captain Marvel,Captain Marvel,Avengers II,Service D,High,Low,Low,Closed,Medium,2025-01-10T20:23:33.000000,Friday,2025-01-11T04:23:33.000000,2025-01-12T10:23:33.000000,3
CHG-0000035,Enable additional remote IPV6 routing for Japanese production systems.,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service E,Low,Low,Low,Closed,Medium,2025-01-10T18:53:08.000000,Friday,2025-01-11T00:53:08.000000,2025-01-11T06:53:08.000000,2
CHG-0000036,"Resize virtual storage for CoreTxx_PROD database (95,38% full).",Software,Captain America,Captain America,Avengers,Service A,High,Low,Medium,Closed,Critical,2025-01-10T21:46:37.000000,Friday,2025-01-11T04:46:37.000000,2025-01-12T03:46:37.000000,1
CHG-0000037,Expand edge metrics transitioning through Palo FLEX Zeon tiers vs EU roots.,Data,Doctor Strange,Doctor Strange,Avengers II,Service A,High,High,Medium,On Hold,Medium,2025-01-11T13:57:26.000000,Saturday,,,0
CHG-0000038,Online Banking external CB-APP onboarding on Radware On-prem environment.,Data,Loki,Loki,Avengers,Service E,High,Medium,Low,Closed,Medium,2025-01-11T10:01:34.000000,Saturday,2025-01-11T17:01:34.000000,2025-01-12T16:01:34.000000,0
CHG-0000039,Execution of systemctl daemon-reload to patch Prod-CSO VM resiliency.,Failure,Hulk,Hulk,Avengers,Service B,High,Medium,High,On Hold,Medium,2025-01-11T01:40:00.000000,Saturday,,,0
CHG-0000040,Subnet migration alignment to cater towards hybrid env-discoveries (Prepare Step ongoing).,Complaint,Captain America,Captain America,Avengers,Service C,Medium,Low,Low,Closed,High,2025-01-11T08:27:54.000000,Saturday,2025-01-11T12:27:54.000000,2025-01-12T22:27:54.000000,5
CHG-0000041,"Resize virtual storage for CoreTxx_PROD database (95,38% full).",Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,High,Medium,Low,New,Medium,2025-01-11T00:46:54.000000,Saturday,,,4
CHG-0000042,Replace legacy switches with modern devices in Market Data Environment.,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service E,Medium,Low,High,New,Low,2025-01-12T17:28:10.000000,Sunday,,,3
CHG-0000043,Subnet migration alignment to cater towards hybrid env-discoveries (Prepare Step ongoing).,Data,Iron Man,Iron Man,Avengers,Service C,Low,High,High,Closed,High,2025-01-13T15:08:28.000000,Monday,2025-01-13T17:08:28.000000,2025-01-14T14:08:28.000000,2
CHG-0000044,New IP subnet & access point testing for KL relocation project.,Failure,John Wick,John Wick,Matrix,Service E,Low,Low,Medium,Closed,Critical,2025-01-13T13:57:36.000000,Monday,2025-01-13T21:57:36.000000,2025-01-14T14:57:36.000000,1
CHG-0000045,Install rsync on twgmmp01.,Access,Loki,Loki,Avengers,Service E,Medium,Low,Medium,Closed,Low,2025-01-13T11:01:54.000000,Monday,2025-01-13T16:01:54.000000,2025-01-13T20:01:54.000000,3
CHG-0000046,UC4 Agent Installation on gcetcami001.,Failure,Captain Marvel,Captain Marvel,Avengers II,Service B,Low,High,Low,Closed,High,2025-01-13T06:14:33.000000,Monday,2025-01-13T12:14:33.000000,2025-01-14T07:14:33.000000,4
CHG-0000047,Reverse fallback isolation plan post-Palo Alto Prisma failure.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service C,High,Low,High,Closed,Critical,2025-01-13T21:24:57.000000,Monday,2025-01-14T05:24:57.000000,2025-01-14T19:24:57.000000,5
CHG-0000048,"VUL-NET: Apply Cisco IOS Software Update for routers at PRA, SHA, and TOK sites.",Access,Spiderman,Spiderman,Avengers II,Service A,Low,High,High,Closed,Medium,2025-01-14T20:07:50.000000,Tuesday,2025-01-15T04:07:50.000000,2025-01-15T21:07:50.000000,0
CHG-0000049,Online Banking external CB-APP onboarding on Radware On-prem environment.,Failure,Iron Man,Iron Man,Avengers,Service B,Low,Medium,High,New,Critical,2025-01-15T08:07:18.000000,Wednesday,,,3
CHG-0000050,Firewall optimization for edge routing performance post DR testing.,Access,Iron Man,Iron Man,Avengers,Service E,Low,Medium,High,Closed,Low,2025-01-15T23:07:23.000000,Wednesday,2025-01-16T07:07:23.000000,2025-01-16T18:07:23.000000,2
CHG-0000051,VUL-NET: Critical Juniper network patch for external office gateways.,Failure,Spiderman,Spiderman,Avengers II,Service B,High,High,Medium,Closed,Medium,2025-01-15T17:17:30.000000,Wednesday,2025-01-15T23:17:30.000000,2025-01-16T14:17:30.000000,1
CHG-0000052,"VUL-NET: Apply Cisco IOS Software Update for routers at PRA, SHA, and TOK sites.",Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,High,Low,High,On Hold,Medium,2025-01-15T09:15:44.000000,Wednesday,,,4
CHG-0000053,Reverse fallback isolation plan post-Palo Alto Prisma failure.,Data,Captain Marvel,Captain Marvel,Avengers II,Service E,Medium,High,Medium,Closed,Critical,2025-01-16T19:57:40.000000,Thursday,2025-01-16T22:57:40.000000,2025-01-17T18:57:40.000000,5
CHG-0000054,Certificate update for Office 365 external access via Global Protect Gateways.,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service C,High,Medium,Low,Closed,High,2025-01-16T11:25:04.000000,Thursday,2025-01-16T17:25:04.000000,2025-01-18T05:25:04.000000,1
CHG-0000055,Setup additional SAML authentication nodes in DMZ environment.,Complaint,Thor,Thor,Avengers,Service D,Medium,High,High,Closed,Medium,2025-01-17T23:05:12.000000,Friday,2025-01-18T03:05:12.000000,2025-01-18T22:05:12.000000,1
CHG-0000056,Certificate renewal for cloud-hosted services 2026.,Data,Thor,Thor,Avengers,Service D,High,Medium,Low,On Hold,High,2025-01-17T18:15:21.000000,Friday,,,1
CHG-0000057,Updating the IDRAC remote board Firmware and BIOS for timffm21.,Hardware,Loki,Loki,Avengers,Service A,High,High,Low,New,Medium,2025-01-18T15:21:22.000000,Saturday,,,0
CHG-0000058,Certificate renewal Digital Banking on PROD environment 2026.,Hardware,Captain America,Captain America,Avengers,Service B,Low,Medium,High,On Hold,Medium,2025-01-18T14:13:04.000000,Saturday,,,1
CHG-0000059,"VUL-NET: Cisco Wireless IOS-XE Software Update for WLC9800 | Jugoslavska, CZ (PRA06).",Hardware,Thor,Thor,Avengers,Service A,High,High,High,Closed,Low,2025-01-18T20:04:27.000000,Saturday,2025-01-18T23:04:27.000000,2025-01-19T16:04:27.000000,4
CHG-0000060,Certificate renewal request for high-availability environment 2026.,Failure,Loki,Loki,Avengers,Service C,High,Low,High,Closed,Medium,2025-01-18T14:35:38.000000,Saturday,2025-01-18T21:35:38.000000,2025-01-20T03:35:38.000000,5
CHG-0000061,Restart tkmdbp01 of configuration change took longer than expected.,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service D,High,High,Medium,Closed,Medium,2025-01-18T02:26:53.000000,Saturday,2025-01-18T08:26:53.000000,2025-01-19T13:26:53.000000,1
CHG-0000062,"Remote board SSL Cert renewal for ressgpe0 , ressgpe1 , secsgpe0 & secsgpe1.",Failure,Captain Marvel,Captain Marvel,Avengers II,Service B,High,Low,High,Closed,High,2025-01-19T15:39:58.000000,Sunday,2025-01-19T23:39:58.000000,2025-01-20T23:39:58.000000,0
CHG-0000063,Test external web proxy configurations on development servers.,Software,Iron Man,Iron Man,Avengers,Service E,High,Low,High,Closed,High,2025-01-19T21:43:39.000000,Sunday,2025-01-19T23:43:39.000000,2025-01-20T23:43:39.000000,0
CHG-0000064,Initiate scheduled SAN Storage Array node reboot to resolve high uptime issue.,Network,Hulk,Hulk,Avengers,Service A,High,Medium,High,Closed,Low,2025-01-19T08:58:50.000000,Sunday,2025-01-19T12:58:50.000000,2025-01-20T03:58:50.000000,0
CHG-0000065,Case 65943239: Upgrade Ontap version to 9.14.1P12.,Access,Doctor Strange,Doctor Strange,Avengers II,Service E,Low,Low,Low,Closed,Critical,2025-01-20T16:38:27.000000,Monday,2025-01-20T23:38:27.000000,2025-01-22T11:38:27.000000,4
CHG-0000066,Install Redis cluster monitoring tools in shard servers.,Failure,Captain Marvel,Captain Marvel,Avengers II,Service D,Medium,Low,High,On Hold,High,2025-01-20T04:36:37.000000,Monday,,,3
CHG-0000067,Enable database backups at sv273046 for production environment.,Network,Batman,Batman,Matrix,Service E,Medium,Low,High,Closed,Medium,2025-01-20T16:15:26.000000,Monday,2025-01-20T22:15:26.000000,2025-01-21T01:15:26.000000,4
CHG-0000068,SSL certificate renewal for SWS corporate web hosting final access gateways.,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service D,High,Medium,High,Closed,Medium,2025-01-20T01:42:43.000000,Monday,2025-01-20T07:42:43.000000,2025-01-20T14:42:43.000000,3
CHG-0000069,Updating the IDRAC remote board Firmware and BIOS for timffm21.,Data,Captain America,Captain America,Avengers,Service B,Medium,High,Low,Closed,Medium,2025-01-21T19:04:14.000000,Tuesday,2025-01-21T21:04:14.000000,2025-01-22T01:04:14.000000,3
CHG-0000070,Grant access to crontab for ta2twga on twgmmp01.zit.commerzbank.com.,Failure,Captain Marvel,Captain Marvel,Avengers II,Service E,Low,High,Medium,Closed,Critical,2025-01-21T04:41:16.000000,Tuesday,2025-01-21T06:41:16.000000,2025-01-21T14:41:16.000000,3
CHG-0000071,Updating the IDRAC remote board Firmware and BIOS for secffme2.,Network,Captain America,Captain America,Avengers,Service E,Low,Low,Medium,Closed,High,2025-01-22T09:49:24.000000,Wednesday,2025-01-22T14:49:24.000000,2025-01-22T23:49:24.000000,3
CHG-0000072,Patch remote job runner script dependencies for IMK analytics platform.,Hardware,Captain America,Captain America,Avengers,Service D,Medium,Low,High,Closed,Medium,2025-01-22T06:26:19.000000,Wednesday,2025-01-22T12:26:19.000000,2025-01-23T01:26:19.000000,3
CHG-0000073,Updating the IDRAC remote board Firmware and BIOS for timffm21.,Failure,Spiderman,Spiderman,Avengers II,Service C,Low,Low,High,Closed,High,2025-01-22T05:22:58.000000,Wednesday,2025-01-22T07:22:58.000000,2025-01-23T00:22:58.000000,1
CHG-0000074,Complete SSL foundation checks for project-focused data endpoints.,Data,Thor,Thor,Avengers,Service A,Medium,High,High,Closed,Critical,2025-01-22T22:47:05.000000,Wednesday,2025-01-23T00:47:05.000000,2025-01-23T19:47:05.000000,2
CHG-0000075,Certificate update for Palo Alto gatekeeping subnet for KL relocation network.,Failure,Doctor Strange,Doctor Strange,Avengers II,Service C,High,Low,High,Closed,Medium,2025-01-23T04:19:00.000000,Thursday,2025-01-23T09:19:00.000000,2025-01-23T21:19:00.000000,5
CHG-0000076,Update the IDRAC remote board Firmware and BIOS for secklb01.,Software,Hulk,Hulk,Avengers,Service D,Low,Low,Medium,Closed,Low,2025-01-23T23:07:16.000000,Thursday,2025-01-24T03:07:16.000000,2025-01-24T18:07:16.000000,1
CHG-0000077,Test external web proxy configurations on development servers.,Failure,Neo,Neo,Matrix,Service A,High,High,Medium,Closed,Critical,2025-01-23T06:47:37.000000,Thursday,2025-01-23T10:47:37.000000,2025-01-24T18:47:37.000000,0
CHG-0000078,New IP subnet & access point testing for KL relocation project.,Data,Doctor Strange,Doctor Strange,Avengers II,Service C,Medium,High,Medium,Closed,Low,2025-01-24T00:14:13.000000,Friday,2025-01-24T06:14:13.000000,2025-01-25T03:14:13.000000,0
CHG-0000079,Updating the IDRAC remote board Firmware and BIOS for sonklb31.,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,Low,High,Low,Closed,Medium,2025-01-24T09:41:19.000000,Friday,2025-01-24T16:41:19.000000,2025-01-25T00:41:19.000000,1
CHG-0000080,ACI switchports configuration for work orders #REQ0155328 #REQ0147118 #REQ0152855.,Data,Loki,Loki,Avengers,Service A,High,Low,High,Closed,Medium,2025-01-24T09:41:24.000000,Friday,2025-01-24T13:41:24.000000,2025-01-25T15:41:24.000000,5
CHG-0000081,Remote board SSL Cert renewal for anysgp15 & anysgp14.,Network,Shang Chi,Shang Chi,Avengers II,Service C,Medium,High,High,Closed,Medium,2025-01-24T18:27:29.000000,Friday,2025-01-24T21:27:29.000000,2025-01-25T07:27:29.000000,0
CHG-0000082,Certificate update for Palo Alto gatekeeping subnet for KL relocation network.,Complaint,Batman,Batman,Matrix,Service B,Medium,Medium,High,Closed,Medium,2025-01-25T19:11:41.000000,Saturday,2025-01-26T03:11:41.000000,2025-01-27T01:11:41.000000,4
CHG-0000083,Update from RHEL8.9 to RHEL8.10 on database workloads (non-prod).,Complaint,Iron Man,Iron Man,Avengers,Service D,Low,Medium,Low,On Hold,High,2025-01-25T03:52:36.000000,Saturday,,,1
CHG-0000084,Expand edge metrics transitioning through Palo FLEX Zeon tiers vs EU roots.,Complaint,Iron Man,Iron Man,Avengers,Service E,High,Medium,Medium,New,Low,2025-01-25T20:13:56.000000,Saturday,,,5
CHG-0000085,"Server BIOS updates across remote virtual VM hosts (RESFFM01, SECFFM01).",Access,Doctor Strange,Doctor Strange,Avengers II,Service B,High,Medium,High,New,Medium,2025-01-25T09:41:40.000000,Saturday,,,4
CHG-0000086,Update IDRAC remote board Firmware and BIOS for forffm71.,Facilities,Captain America,Captain America,Avengers,Service E,High,Low,High,New,Low,2025-01-25T21:53:21.000000,Saturday,,,5
CHG-0000087,Emergency fall-back routing enabled for Redis cluster 6 under high throughput.,Failure,Captain Marvel,Captain Marvel,Avengers II,Service C,Low,Medium,Medium,Closed,Low,2025-01-26T20:10:56.000000,Sunday,2025-01-27T03:10:56.000000,2025-01-28T11:10:56.000000,5
CHG-0000088,Online Banking external CB-APP onboarding on Radware On-prem environment.,Network,Hulk,Hulk,Avengers,Service A,High,Low,High,Closed,Medium,2025-01-26T03:11:13.000000,Sunday,2025-01-26T07:11:13.000000,2025-01-27T13:11:13.000000,5
CHG-0000089,Firewall configuration changes for disaster recovery validation testing.,Complaint,Captain America,Captain America,Avengers,Service B,Medium,Low,Low,Closed,Medium,2025-01-26T00:51:25.000000,Sunday,2025-01-26T06:51:25.000000,2025-01-27T11:51:25.000000,4
CHG-0000090,Database configuration check for performance improvements in PROD systems.,Complaint,Loki,Loki,Avengers,Service E,High,High,Medium,In Progress,High,2025-01-26T01:20:40.000000,Sunday,2025-01-26T05:20:40.000000,,1
CHG-0000091,Complete SSL foundation checks for project-focused data endpoints.,Complaint,Shang Chi,Shang Chi,Avengers II,Service C,Low,High,Low,Closed,Medium,2025-01-27T05:46:46.000000,Monday,2025-01-27T12:46:46.000000,2025-01-28T23:46:46.000000,3
CHG-0000092,Update the IDRAC remote board Firmware and BIOS for secklb01.,Complaint,Hulk,Hulk,Avengers,Service C,Low,Low,Low,Closed,High,2025-01-27T04:08:16.000000,Monday,2025-01-27T10:08:16.000000,2025-01-28T11:08:16.000000,1
CHG-0000093,Execute systemctl daemon-reload on CSO VM (PROD).,Complaint,Loki,Loki,Avengers,Service B,Medium,Low,High,Closed,Medium,2025-01-27T08:37:56.000000,Monday,2025-01-27T14:37:56.000000,2025-01-28T13:37:56.000000,0
CHG-0000094,Initiate scheduled SAN Storage Array node reboot to resolve high uptime issue.,Software,Iron Man,Iron Man,Avengers,Service A,Medium,High,Low,Closed,High,2025-01-27T13:59:26.000000,Monday,2025-01-27T16:59:26.000000,2025-01-28T23:59:26.000000,4
CHG-0000095,Restart tkmweb database servers after container update failure response.,Failure,Neo,Neo,Matrix,Service E,Medium,Medium,Low,Closed,Medium,2025-01-27T13:32:18.000000,Monday,2025-01-27T17:32:18.000000,2025-01-28T13:32:18.000000,4
CHG-0000096,Firewall configuration changes for disaster recovery validation testing.,Data,John Wick,John Wick,Matrix,Service D,Low,Low,Medium,Closed,Critical,2025-01-28T07:53:08.000000,Tuesday,2025-01-28T15:53:08.000000,2025-01-29T15:53:08.000000,3
CHG-0000097,Firewall configuration changes for disaster recovery validation testing.,Network,John Cena,John Cena,Matrix,Service E,High,Medium,High,Closed,High,2025-01-28T21:08:57.000000,Tuesday,2025-01-28T23:08:57.000000,2025-01-29T10:08:57.000000,1
CHG-0000098,Update the IDRAC remote board Firmware and BIOS for secklb01.,Hardware,John Cena,John Cena,Matrix,Service D,Medium,High,High,Closed,Medium,2025-01-28T08:06:25.000000,Tuesday,2025-01-28T12:06:25.000000,2025-01-29T13:06:25.000000,4
CHG-0000099,UC4 Agent Installation on gcetcami001.,Hardware,Shang Chi,Shang Chi,Avengers II,Service A,Low,Medium,Low,Closed,Low,2025-01-28T18:50:20.000000,Tuesday,2025-01-28T20:50:20.000000,2025-01-30T00:50:20.000000,1
CHG-0000100,Update IDRAC board for core cluster PROD servers.,Complaint,Spiderman,Spiderman,Avengers II,Service B,Low,Medium,Medium,Closed,Critical,2025-01-28T04:34:20.000000,Tuesday,2025-01-28T10:34:20.000000,2025-01-28T19:34:20.000000,2
CHG-0000101,Firewall subnet allocation and access provisioning for KL office gateway.,Software,Batman,Batman,Matrix,Service B,Medium,High,Medium,Closed,Medium,2025-01-29T12:02:40.000000,Wednesday,2025-01-29T20:02:40.000000,2025-01-30T16:02:40.000000,5
CHG-0000102,Install httpd-tools on twgmmp01.zit.commerzbank.com.,Data,Neo,Neo,Matrix,Service B,Low,Medium,Medium,Closed,Low,2025-01-29T23:18:18.000000,Wednesday,2025-01-30T02:18:18.000000,2025-01-30T18:18:18.000000,3
CHG-0000103,Install httpd-tools on twgmmp01.zit.commerzbank.com.,Data,Loki,Loki,Avengers,Service B,High,Medium,High,Closed,High,2025-01-29T03:19:47.000000,Wednesday,2025-01-29T08:19:47.000000,2025-01-30T07:19:47.000000,3
CHG-0000104,UC4 Agent Installation on gcetcami001.,Hardware,Thor,Thor,Avengers,Service C,Low,Low,High,On Hold,High,2025-01-29T17:17:13.000000,Wednesday,,,0
CHG-0000105,"VUL-NET: Cisco Wireless IOS-XE Software Update for WLC9800 | Jugoslavska, CZ (PRA06).",Facilities,Iron Man,Iron Man,Avengers,Service B,High,Low,High,Closed,High,2025-01-29T19:07:52.000000,Wednesday,2025-01-29T23:07:52.000000,2025-01-31T03:07:52.000000,0
CHG-0000106,Certificate adjustments for new virtual database pipelines.,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service B,Low,Low,High,Closed,Medium,2025-01-30T23:17:01.000000,Thursday,2025-01-31T02:17:01.000000,2025-01-31T06:17:01.000000,3
CHG-0000107,Install Redis cluster monitoring tools in shard servers.,Software,Jack Sparrow,Jack Sparrow,Matrix,Service A,Medium,Medium,High,Closed,High,2025-01-30T06:01:50.000000,Thursday,2025-01-30T13:01:50.000000,2025-01-30T21:01:50.000000,0
CHG-0000108,Configuration changes for monitoring processors on Redis prototype servers.,Access,Thor,Thor,Avengers,Service D,High,Medium,Low,Closed,Critical,2025-01-31T00:41:11.000000,Friday,2025-01-31T04:41:11.000000,2025-01-31T14:41:11.000000,0
CHG-0000109,Restart tkmweb database servers after container update failure response.,Complaint,Captain America,Captain America,Avengers,Service A,Low,Medium,Medium,Closed,High,2025-01-31T13:07:11.000000,Friday,2025-01-31T20:07:11.000000,2025-01-31T22:07:11.000000,2
CHG-0000110,Install Redis cluster monitoring tools in shard servers.,Hardware,Shang Chi,Shang Chi,Avengers II,Service C,Low,High,Low,New,Low,2025-01-31T21:09:45.000000,Friday,,,3
