Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day
CHG-0000045,VUL-NET: Critical Juniper network patch for external office gateways.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,High,High,High,2025-01-03T15:49:01.000000,2025-01-03T20:49:01.000000,2025-01-04T07:49:01.000000,0,Friday
CHG-0000046,Online Banking external CB-APP onboarding on Radware On-prem environment.,Complaint,Loki,Loki,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-03T04:31:57.000000,2025-01-03T09:31:57.000000,2025-01-03T18:31:57.000000,0,Friday
CHG-0000047,Configuration changes for monitoring processors on Redis prototype servers.,Failure,Loki,Loki,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-01-03T15:00:00.000000,2025-01-03T22:00:00.000000,2025-01-05T03:00:00.000000,0,Friday
CHG-0000048,SSL certificate renewal for SWS corporate web hosting final access gateways.,Facilities,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,High,Medium,Medium,2025-01-03T18:47:14.000000,2025-01-03T20:47:14.000000,2025-01-04T16:47:14.000000,0,Friday
CHG-0000049,Firewall optimization for edge routing performance post DR testing.,Software,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,High,High,Medium,2025-01-03T03:14:52.000000,2025-01-03T08:14:52.000000,2025-01-04T01:14:52.000000,0,Friday
CHG-0000050,Update IDRAC board for core cluster PROD servers.,Hardware,Spiderman,Spiderman,Avengers II,Service A,Closed,High,High,High,High,2025-01-03T23:15:19.000000,2025-01-04T03:15:19.000000,2025-01-04T16:15:19.000000,0,Friday
CHG-0000051,Firewall optimization for edge routing performance post DR testing.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,Low,Low,Low,2025-01-03T12:37:23.000000,2025-01-03T18:37:23.000000,2025-01-05T01:37:23.000000,0,Friday
CHG-0000052,"VUL-NET: Cisco Wireless IOS-XE Software Update for WLC9800 | Jugoslavska, CZ (PRA06).",Facilities,Iron Man,Iron Man,Avengers,Service C,Closed,High,Critical,High,High,2025-01-04T11:03:36.000000,2025-01-04T14:03:36.000000,2025-01-04T19:03:36.000000,0,Saturday
CHG-0000053,Complete SSL foundation checks for project-focused data endpoints.,Data,John Cena,John Cena,Matrix,Service C,Closed,Low,High,High,High,2025-01-04T01:45:44.000000,2025-01-04T04:45:44.000000,2025-01-04T13:45:44.000000,0,Saturday
CHG-0000054,Certificate renewal for Avatar PROD environment 2026 - (VAA-Threat Application).,Failure,Thor,Thor,Avengers,Service B,Closed,Low,Critical,Medium,High,2025-01-04T07:19:39.000000,2025-01-04T12:19:39.000000,2025-01-04T21:19:39.000000,1,Saturday
CHG-0000055,Configuration changes for monitoring processors on Redis prototype servers.,Software,Iron Man,Iron Man,Avengers,Service B,Closed,High,High,High,High,2025-01-04T09:09:57.000000,2025-01-04T15:09:57.000000,2025-01-05T10:09:57.000000,1,Saturday
CHG-0000056,Expand edge metrics transitioning through Palo FLEX Zeon tiers vs EU roots.,Facilities,John Wick,John Wick,Matrix,Service A,Closed,Low,Critical,High,High,2025-01-04T07:13:48.000000,2025-01-04T11:13:48.000000,2025-01-04T23:13:48.000000,0,Saturday
CHG-0000057,Update from RHEL8.9 to RHEL8.10 on database workloads (non-prod).,Network,Hulk,Hulk,Avengers,Service B,Closed,High,High,High,High,2025-01-04T09:00:06.000000,2025-01-04T16:00:06.000000,2025-01-05T04:00:06.000000,0,Saturday
CHG-0000058,Execute hardening measures for SQL server instances post security audit.,Hardware,Thor,Thor,Avengers,Service C,Closed,High,Critical,High,High,2025-01-04T05:46:56.000000,2025-01-04T07:46:56.000000,2025-01-04T18:46:56.000000,0,Saturday
CHG-0000059,Software patch implementation targeting RHEL8.1 compatibility issues.,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Critical,Medium,High,2025-01-04T03:32:49.000000,2025-01-04T09:32:49.000000,2025-01-04T20:32:49.000000,0,Saturday
CHG-0000060,Execution of systemctl daemon-reload to patch Prod-CSO VM resiliency.,Network,Spiderman,Spiderman,Avengers II,Service B,Closed,High,High,High,Medium,2025-01-04T04:10:31.000000,2025-01-04T10:10:31.000000,2025-01-04T21:10:31.000000,0,Saturday
CHG-0000061,Certificate renewal for cloud-hosted services 2026.,Complaint,John Cena,John Cena,Matrix,Service B,Closed,Low,High,Medium,Low,2025-01-04T09:59:37.000000,2025-01-04T11:59:37.000000,2025-01-05T02:59:37.000000,0,Saturday
CHG-0000062,Adjust Volume changes incompatible fixes mid-stage (handling-/handoff migration).,Facilities,Loki,Loki,Avengers,Service C,Closed,High,High,High,High,2025-01-04T11:56:11.000000,2025-01-04T16:56:11.000000,2025-01-05T01:56:11.000000,0,Saturday
CHG-0000063,Remote board SSL Cert renewal for anysgp15 & anysgp14.,Data,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-04T08:19:54.000000,2025-01-04T13:19:54.000000,2025-01-05T14:19:54.000000,0,Saturday
CHG-0000064,Request for temporary access rights on Finance application Web UI.,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,High,High,Medium,2025-01-04T00:46:12.000000,2025-01-04T05:46:12.000000,2025-01-04T23:46:12.000000,0,Saturday
CHG-0000065,Case 65943239: Upgrade Ontap version to 9.14.1P12.,Failure,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,Medium,High,2025-01-04T11:24:14.000000,2025-01-04T14:24:14.000000,2025-01-04T23:24:14.000000,0,Saturday
CHG-0000066,ACI switchports configuration for work orders #REQ0155328 #REQ0147118 #REQ0152855.,Data,Captain Marvel,Captain Marvel,Avengers II,Service B,New,Low,Medium,Low,Medium,2025-01-04T02:32:03.000000,,,0,Saturday
CHG-0000067,Execution of systemctl daemon-reload to patch Prod-CSO VM resiliency.,Facilities,Thor,Thor,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-04T15:47:03.000000,2025-01-04T22:47:03.000000,2025-01-05T11:47:03.000000,0,Saturday
CHG-0000068,Patch remote job runner script dependencies for IMK analytics platform.,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-01-04T15:04:53.000000,2025-01-04T17:04:53.000000,2025-01-05T23:04:53.000000,0,Saturday
CHG-0000069,Reverse fallback isolation plan post-Palo Alto Prisma failure.,Access,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Medium,Medium,Low,2025-01-04T09:28:45.000000,2025-01-04T13:28:45.000000,2025-01-05T14:28:45.000000,0,Saturday
CHG-0000070,Updating the IDRAC remote board Firmware and BIOS for secffme2.,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Critical,Medium,High,2025-01-04T10:48:39.000000,2025-01-04T16:48:39.000000,2025-01-04T19:48:39.000000,0,Saturday
CHG-0000071,Update IDRAC remote board Firmware and BIOS for forffm71.,Complaint,Batman,Batman,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-01-04T14:08:21.000000,2025-01-04T22:08:21.000000,2025-01-05T20:08:21.000000,1,Saturday
CHG-0000072,Update the IDRAC remote board Firmware and BIOS for secklb01.,Hardware,John Wick,John Wick,Matrix,Service A,Closed,High,High,High,Low,2025-01-04T20:57:40.000000,2025-01-05T00:57:40.000000,2025-01-05T18:57:40.000000,1,Saturday
CHG-0000073,Enable database backups at sv273046 for production environment.,Network,Neo,Neo,Matrix,Service A,Closed,High,Medium,Low,Medium,2025-01-04T06:27:56.000000,2025-01-04T11:27:56.000000,2025-01-05T09:27:56.000000,0,Saturday
CHG-0000074,VUL-NET: Critical Juniper network patch for external office gateways.,Software,Iron Man,Iron Man,Avengers,Service A,In Progress,Medium,High,Medium,Medium,2025-01-04T06:56:59.000000,2025-01-04T12:56:59.000000,,0,Saturday
CHG-0000075,"Resize virtual storage for CoreTxx_PROD database (95,38% full).",Software,Neo,Neo,Matrix,Service A,In Progress,Medium,High,High,High,2025-01-04T01:59:34.000000,2025-01-04T07:59:34.000000,,0,Saturday
CHG-0000076,Firewall subnet allocation and access provisioning for KL office gateway.,Network,Iron Man,Iron Man,Avengers,Service B,In Progress,Low,Medium,Low,Low,2025-01-04T08:00:19.000000,2025-01-04T10:00:19.000000,,0,Saturday
CHG-0000077,Emergency fall-back routing enabled for Redis cluster 6 under high throughput.,Failure,Loki,Loki,Avengers,Service A,Closed,Medium,High,High,Medium,2025-01-04T13:12:31.000000,2025-01-04T19:12:31.000000,2025-01-05T07:12:31.000000,0,Saturday
CHG-0000078,Firewall optimization for edge routing performance post DR testing.,Complaint,Hulk,Hulk,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-01-04T03:02:54.000000,2025-01-04T07:02:54.000000,2025-01-05T19:02:54.000000,0,Saturday
CHG-0000079,Certificate renewal for Avatar PROD environment 2026 - (VAA-Threat Application).,Failure,Captain Marvel,Captain Marvel,Avengers II,Service A,In Progress,Low,Medium,Medium,Medium,2025-01-04T23:49:08.000000,2025-01-05T04:49:08.000000,,0,Saturday
CHG-0000080,Update IDRAC remote board Firmware and BIOS for forffm71.,Facilities,Thor,Thor,Avengers,Service C,New,Medium,High,High,High,2025-01-04T23:56:32.000000,,,0,Saturday
CHG-0000081,Execute hardening measures for SQL server instances post security audit.,Failure,Loki,Loki,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-04T15:08:40.000000,2025-01-04T20:08:40.000000,2025-01-05T06:08:40.000000,0,Saturday
CHG-0000082,Deploy ACL rules for high-priority Office 365 tenants across European zones.,Network,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-01-04T11:15:18.000000,2025-01-04T18:15:18.000000,2025-01-05T06:15:18.000000,0,Saturday
CHG-0000083,Remote board SSL Cert renewal for anysgp15 & anysgp14.,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Low,High,High,High,2025-01-04T10:43:10.000000,2025-01-04T12:43:10.000000,2025-01-05T09:43:10.000000,0,Saturday
CHG-0000084,"Remote board SSL Cert renewal for ressgpe0 , ressgpe1 , secsgpe0 & secsgpe1.",Facilities,Neo,Neo,Matrix,Service A,Closed,Low,Low,Low,Low,2025-01-04T03:11:32.000000,2025-01-04T07:11:32.000000,2025-01-05T13:11:32.000000,0,Saturday
CHG-0000085,ACI switchports configuration for work orders #REQ0155328 #REQ0147118 #REQ0152855.,Network,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,High,Medium,High,2025-01-04T08:05:58.000000,2025-01-04T12:05:58.000000,2025-01-04T18:05:58.000000,0,Saturday
CHG-0000086,Grant access for backup recovery on production machine nodes in DR locations.,Facilities,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-04T16:33:10.000000,2025-01-04T18:33:10.000000,2025-01-05T06:33:10.000000,0,Saturday
CHG-0000087,Enable additional remote IPV6 routing for Japanese production systems.,Facilities,Thor,Thor,Avengers,Service C,Closed,High,Critical,High,Medium,2025-01-04T09:00:53.000000,2025-01-04T11:00:53.000000,2025-01-04T19:00:53.000000,0,Saturday
CHG-0000088,"Remote board SSL Cert renewal for ressgpe0 , ressgpe1 , secsgpe0 & secsgpe1.",Complaint,Captain America,Captain America,Avengers,Service A,On Hold,High,Critical,High,High,2025-01-04T14:51:53.000000,,,0,Saturday
CHG-0000089,Database configuration check for performance improvements in PROD systems.,Failure,Hulk,Hulk,Avengers,Service C,Closed,Low,Low,Low,Low,2025-01-04T07:15:08.000000,2025-01-04T15:15:08.000000,2025-01-07T15:15:08.000000,0,Saturday
CHG-0000090,Certificate renewal Digital Banking on PROD environment 2026.,Software,Loki,Loki,Avengers,Service C,Closed,Medium,High,High,High,2025-01-04T17:11:15.000000,2025-01-04T20:11:15.000000,2025-01-05T03:11:15.000000,0,Saturday
CHG-0000091,Patch remote job runner script dependencies for IMK analytics platform.,Access,Loki,Loki,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-04T17:03:50.000000,2025-01-04T20:03:50.000000,2025-01-05T05:03:50.000000,0,Saturday
CHG-0000092,Certificate renewal request for high-availability environment 2026.,Facilities,Thor,Thor,Avengers,Service C,Closed,Low,Low,Low,Low,2025-01-04T19:43:56.000000,2025-01-05T00:43:56.000000,2025-01-07T11:43:56.000000,1,Saturday
CHG-0000093,Update IDRAC board for core cluster PROD servers.,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-04T23:04:20.000000,2025-01-05T03:04:20.000000,2025-01-06T12:04:20.000000,0,Saturday
CHG-0000094,Certificate renewal request for high-availability environment 2026.,Hardware,Batman,Batman,Matrix,Service C,Closed,High,Medium,Low,Low,2025-01-04T04:11:38.000000,2025-01-04T07:11:38.000000,2025-01-05T13:11:38.000000,0,Saturday
CHG-0000095,Subnet migration alignment to cater towards hybrid env-discoveries (Prepare Step ongoing).,Facilities,Thor,Thor,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-01-04T15:09:19.000000,2025-01-04T17:09:19.000000,2025-01-05T21:09:19.000000,0,Saturday
CHG-0000096,Reverse fallback isolation plan post-Palo Alto Prisma failure.,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-01-04T04:31:53.000000,2025-01-04T09:31:53.000000,2025-01-05T18:31:53.000000,0,Saturday
CHG-0000097,Install rsync on twgmmp01.,Facilities,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-04T04:51:41.000000,2025-01-04T08:51:41.000000,2025-01-04T09:51:41.000000,0,Saturday
CHG-0000098,Replace legacy switches with modern devices in Market Data Environment.,Failure,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,High,Medium,2025-01-04T12:08:53.000000,2025-01-04T18:08:53.000000,2025-01-05T00:08:53.000000,0,Saturday
CHG-0000099,Restart tkmweb database servers after container update failure response.,Data,Hulk,Hulk,Avengers,Service C,Closed,Medium,High,Medium,Medium,2025-01-04T03:42:45.000000,2025-01-04T05:42:45.000000,2025-01-04T19:42:45.000000,0,Saturday
CHG-0000100,Database configuration check for performance improvements in PROD systems.,Software,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-01-04T10:47:52.000000,2025-01-04T14:47:52.000000,2025-01-06T02:47:52.000000,0,Saturday
CHG-0000101,Grant access for backup recovery on production machine nodes in DR locations.,Hardware,Captain America,Captain America,Avengers,Service B,Closed,Medium,High,Medium,High,2025-01-04T03:18:03.000000,2025-01-04T09:18:03.000000,2025-01-04T22:18:03.000000,0,Saturday
CHG-0000102,Certificate renewal Digital Banking on PROD environment 2026.,Software,Spiderman,Spiderman,Avengers II,Service C,On Hold,Medium,Critical,High,High,2025-01-04T16:53:26.000000,,,0,Saturday
CHG-0000103,Adjust Volume changes incompatible fixes mid-stage (handling-/handoff migration).,Failure,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-04T08:23:42.000000,2025-01-04T14:23:42.000000,2025-01-04T21:23:42.000000,0,Saturday
CHG-0000104,Adjust Volume changes incompatible fixes mid-stage (handling-/handoff migration).,Failure,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,High,Medium,Low,2025-01-04T13:39:47.000000,2025-01-04T16:39:47.000000,2025-01-05T02:39:47.000000,0,Saturday
CHG-0000105,Setup additional SAML authentication nodes in DMZ environment.,Software,Thor,Thor,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-04T08:58:51.000000,2025-01-04T15:58:51.000000,2025-01-05T04:58:51.000000,0,Saturday
CHG-0000106,Install rsync on twgmmp01.,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,Low,Low,Low,2025-01-04T08:28:47.000000,2025-01-04T14:28:47.000000,2025-01-05T22:28:47.000000,0,Saturday
CHG-0000107,Request for temporary access rights on Finance application Web UI.,Access,Iron Man,Iron Man,Avengers,Service C,On Hold,High,High,High,High,2025-01-04T03:49:24.000000,,,0,Saturday
CHG-0000108,UC4 Agent Installation on gcetcami001.,Hardware,Hulk,Hulk,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-04T16:38:54.000000,2025-01-04T19:38:54.000000,2025-01-05T04:38:54.000000,0,Saturday
