Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag
CR-11,Partial outage of Secure Web Gateway resulting in restricted access to external hosted applications.,Access,Thor,Thor,Avengers,Service C,Closed,High,Critical,High,High,2025-01-01T07:33:05.000000,2025-01-01T12:33:05.000000,2025-01-01T14:33:05.000000,1,5,Wednesday,0
CR-12,SV240611.ztd.icb.commerzbank.comPROMOSS_P2:MYSQL:ReplicationLag:DeltaTooHigh.,Network,Neo,Neo,Matrix,Service B,On Hold,Medium,Critical,High,High,2025-01-01T23:12:36.000000,,,0,3,Wednesday,1
CR-13,Google cloud API gateway throttling unauthorized requests—Downtime logged for related components.,Hardware,Spiderman,Spiderman,Avengers II,Service C,Closed,Low,Low,Low,Low,2025-01-01T20:19:53.000000,2025-01-01T22:19:53.000000,2025-01-04T15:19:53.000000,0,0,Wednesday,1
CR-14,Failed database connection for sv281432 due to excessive transaction log growth.,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,High,Medium,High,2025-01-01T22:18:43.000000,2025-01-02T05:18:43.000000,2025-01-02T11:18:43.000000,0,2,Wednesday,1
CR-15,Root cause analysis and follow-up to PRB0058244 - Internal proxy overload impacting corporate web traffic.,Failure,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,High,High,High,2025-01-01T05:23:13.000000,2025-01-01T10:23:13.000000,2025-01-02T05:23:13.000000,0,3,Wednesday,1
CR-16,Incident INC0247193: VPN connectivity issues reported in APAC region during DR failover.,Failure,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Medium,Low,Medium,2025-01-01T15:23:20.000000,2025-01-01T23:23:20.000000,2025-01-03T04:23:20.000000,1,2,Wednesday,0
CR-17,pm05019343 from legacy ticketing system: SLA violation mismanagement documented Apr-2025 breach.,Network,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Low,Medium,Low,Medium,2025-01-01T21:03:02.000000,2025-01-02T02:03:02.000000,2025-01-03T13:03:02.000000,1,2,Wednesday,0
CR-18,VulMgt: High / VMware ESXi Privilege Escalation Vulnerability CVE-2025-30472 PSIRT Nov.2025.,Access,Loki,Loki,Avengers,Service C,Closed,High,Low,Low,Low,2025-01-01T02:26:49.000000,2025-01-01T08:26:49.000000,2025-01-03T07:26:49.000000,0,0,Wednesday,1
CR-19,Critical issue: No connectivity to company-hosted Microsoft Teams instances (Germany Office Gateway).,Access,Hulk,Hulk,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-01-01T13:50:56.000000,2025-01-01T20:50:56.000000,2025-01-03T06:50:56.000000,0,0,Wednesday,1
CR-20,Failed database connection for sv281432 due to excessive transaction log growth.,Hardware,Batman,Batman,Matrix,Service A,Closed,Low,Medium,Medium,Low,2025-01-01T18:22:24.000000,2025-01-01T21:22:24.000000,2025-01-02T21:22:24.000000,1,1,Wednesday,0
CR-21,Remote Desktop connection errors persist for users accessing VNEDS0043Azure gateways.,Access,Jack Sparrow,Jack Sparrow,Matrix,Service B,New,Low,Critical,High,High,2025-01-01T23:12:40.000000,,,0,3,Wednesday,1
CR-22,Disk space alert: System logs consuming 98% of allocated storage on SV370920:DataStore01.,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,High,High,High,2025-01-01T00:20:35.000000,2025-01-01T05:20:35.000000,2025-01-02T03:20:35.000000,0,3,Wednesday,1
CR-23,Issue with payment gateway APIs intermittently showing 503 error for e-commerce customers.,Access,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T12:43:09.000000,2025-01-01T15:43:09.000000,2025-01-02T14:43:09.000000,0,2,Wednesday,1
CR-24,Frequent HTTP error 502 bad gateway observed on public-facing APIs.,Hardware,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,High,High,Medium,2025-01-01T07:41:51.000000,2025-01-01T12:41:51.000000,2025-01-02T02:41:51.000000,0,3,Wednesday,1
CR-25,"Disk utilization warning: SV374586 storage volume at 96.43%, impacting backup ingestion tasks.",Software,Hulk,Hulk,Avengers,Service B,Closed,High,High,Medium,High,2025-01-02T04:24:55.000000,2025-01-02T10:24:55.000000,2025-01-02T16:24:55.000000,0,2,Thursday,1
CR-26,Multiple database query timeouts observed on MSDC_TXX_PROD instance following high I/O read spikes.,Failure,Thor,Thor,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-01-02T08:21:45.000000,2025-01-02T16:21:45.000000,2025-01-03T08:21:45.000000,0,2,Thursday,1
CR-27,Tenant restrictions v3 causing unauthorized access to external Office 365 environments.,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,In Progress,Medium,High,Medium,Low,2025-01-02T11:32:25.000000,2025-01-02T15:32:25.000000,,0,3,Thursday,1
CR-28,Unexpected outage of financial ERP system after deployment of malformed SQL script.,Network,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-02T21:45:45.000000,2025-01-03T02:45:45.000000,2025-01-04T08:45:45.000000,0,2,Thursday,1
CR-29,Tenant restrictions v3 causing unauthorized access to external Office 365 environments.,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,High,High,Medium,Low,2025-01-02T03:16:25.000000,2025-01-02T05:16:25.000000,2025-01-03T05:16:25.000000,1,2,Thursday,0
CR-30,Internal SharePoint services intermittently unavailable due to high system memory utilization.,Access,Thor,Thor,Avengers,Service B,Closed,Medium,Medium,Medium,Low,2025-01-02T18:24:38.000000,2025-01-03T02:24:38.000000,2025-01-03T17:24:38.000000,1,1,Thursday,0
CR-31,Critical issue: No connectivity to company-hosted Microsoft Teams instances (Germany Office Gateway).,Data,John Wick,John Wick,Matrix,Service A,Closed,High,High,Medium,Medium,2025-01-02T21:02:03.000000,2025-01-03T03:02:03.000000,2025-01-03T14:02:03.000000,0,2,Thursday,1
CR-32,Disk space alert: System logs consuming 98% of allocated storage on SV370920:DataStore01.,Facilities,Hulk,Hulk,Avengers,Service A,Closed,Low,Low,Low,Low,2025-01-02T12:26:10.000000,2025-01-02T16:26:10.000000,2025-01-05T10:26:10.000000,0,0,Thursday,1
CR-33,Google cloud API gateway throttling unauthorized requests—Downtime logged for related components.,Complaint,Loki,Loki,Avengers,Service C,Closed,Medium,Critical,Medium,Medium,2025-01-03T05:53:39.000000,2025-01-03T13:53:39.000000,2025-01-03T23:53:39.000000,0,5,Friday,1
CR-34,CERT Alert: RTSMNL2K21 flagged compromised—segmentation plan initiated.,Complaint,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Low,Low,2025-01-03T22:30:03.000000,2025-01-04T04:30:03.000000,2025-01-05T08:30:03.000000,1,2,Friday,0
CR-35,Tenant restrictions v3 causing unauthorized access to external Office 365 environments.,Failure,Thor,Thor,Avengers,Service A,In Progress,Low,Critical,High,Medium,2025-01-03T06:40:08.000000,2025-01-03T09:40:08.000000,,0,5,Friday,1
CR-36,Unexpected reboot of Dell EMC PowerEdge Server SX3301 causing production downtime.,Complaint,Captain America,Captain America,Avengers,Service C,New,Low,Medium,Low,Medium,2025-01-03T13:51:05.000000,,,0,2,Friday,1
CR-37,Google cloud API gateway throttling unauthorized requests—Downtime logged for related components.,Complaint,Spiderman,Spiderman,Avengers II,Service C,Closed,High,Low,Low,Low,2025-01-03T04:30:21.000000,2025-01-03T11:30:21.000000,2025-01-04T12:30:21.000000,0,1,Friday,1
CR-38,No access to intranet resources due to SSL certificate expiration.,Access,Loki,Loki,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-01-03T21:13:00.000000,2025-01-04T03:13:00.000000,2025-01-06T23:13:00.000000,0,0,Friday,1
CR-39,Internal SharePoint services intermittently unavailable due to high system memory utilization.,Network,Captain America,Captain America,Avengers,Service C,Closed,Low,Low,Low,Low,2025-01-03T19:00:36.000000,2025-01-04T00:00:36.000000,2025-01-05T12:00:36.000000,0,0,Friday,1
CR-40,Failed database connection for sv281432 due to excessive transaction log growth.,Access,Shang Chi,Shang Chi,Avengers II,Service B,On Hold,High,High,High,High,2025-01-03T09:22:10.000000,,,0,3,Friday,1
CR-41,Communication breakdown between IMK and DCN locations due to routing rule misconfiguration.,Network,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Critical,High,High,2025-01-03T08:23:20.000000,2025-01-03T12:23:20.000000,2025-01-03T20:23:20.000000,0,4,Friday,1
CR-42,VulMgt: Fortinet / Critical Vulnerability in FortiOS SSL VPN CVE-2025-50987 / PSIRT Dec.2025.,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-01-03T13:21:11.000000,2025-01-03T15:21:11.000000,2025-01-04T10:21:11.000000,0,2,Friday,1
CR-43,Partial outage of Secure Web Gateway resulting in restricted access to external hosted applications.,Data,Captain America,Captain America,Avengers,Service A,Closed,Medium,Medium,Low,Medium,2025-01-03T02:42:31.000000,2025-01-03T08:42:31.000000,2025-01-03T21:42:31.000000,1,1,Friday,0
CR-44,VulMgt: Fortinet / Critical Vulnerability in FortiOS SSL VPN CVE-2025-50987 / PSIRT Dec.2025.,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,High,High,High,2025-01-03T10:50:01.000000,2025-01-03T14:50:01.000000,2025-01-04T11:50:01.000000,0,2,Friday,1
CR-45,Major network outage on NLB2 zone affecting cross-datacenter replication and DR readiness.,Access,John Wick,John Wick,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-01-04T23:41:57.000000,2025-01-05T06:41:57.000000,2025-01-06T15:41:57.000000,0,2,Saturday,1
CR-46,Root cause analysis and resolution plan for service degradation during Kubernetes failover (LND-Cluster3).,Network,Captain America,Captain America,Avengers,Service C,Closed,Medium,High,Medium,Low,2025-01-04T06:15:36.000000,2025-01-04T13:15:36.000000,2025-01-05T02:15:36.000000,0,2,Saturday,1
CR-47,VulMgt: High / VMware ESXi Privilege Escalation Vulnerability CVE-2025-30472 PSIRT Nov.2025.,Hardware,Shang Chi,Shang Chi,Avengers II,Service A,In Progress,Low,Low,Low,Low,2025-01-04T05:49:25.000000,2025-01-04T08:49:25.000000,,0,1,Saturday,1
CR-48,Root cause analysis: Network connections disrupted after DR Test between DLN and TBL DC.,Data,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,Medium,High,2025-01-04T07:22:00.000000,2025-01-04T13:22:00.000000,2025-01-04T15:22:00.000000,0,5,Saturday,1
CR-49,CERT Alert: RTSMNL2K21 flagged compromised—segmentation plan initiated.,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Critical,High,High,2025-01-04T17:33:10.000000,2025-01-04T22:33:10.000000,2025-01-05T00:33:10.000000,0,5,Saturday,1
CR-50,Major network outage on NLB2 zone affecting cross-datacenter replication and DR readiness.,Access,John Cena,John Cena,Matrix,Service C,Closed,Medium,Medium,Low,Medium,2025-01-04T06:32:28.000000,2025-01-04T14:32:28.000000,2025-01-05T02:32:28.000000,0,2,Saturday,1
CR-51,VulMgt: High / VMware ESXi Privilege Escalation Vulnerability CVE-2025-30472 PSIRT Nov.2025.,Hardware,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Critical,High,Medium,2025-01-04T01:55:10.000000,2025-01-04T03:55:10.000000,2025-01-04T06:55:10.000000,0,3,Saturday,1
CR-52,Google cloud API gateway throttling unauthorized requests—Downtime logged for related components.,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-01-04T01:37:11.000000,2025-01-04T04:37:11.000000,2025-01-05T10:37:11.000000,0,1,Saturday,1
CR-53,Unreachable application server post firewall upgrade affecting REST API integrations.,Complaint,Captain America,Captain America,Avengers,Service B,In Progress,High,Low,Low,Low,2025-01-04T07:09:31.000000,2025-01-04T11:09:31.000000,,1,0,Saturday,0
CR-54,Root cause analysis and follow-up to PRB0058244 - Internal proxy overload impacting corporate web traffic.,Access,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Medium,Medium,Low,2025-01-04T06:25:57.000000,2025-01-04T12:25:57.000000,2025-01-05T22:25:57.000000,0,2,Saturday,1
CR-55,Connection timeout between SWSHK0019A and RTSHK0018 after DMZ firewall patch.,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-01-04T07:55:12.000000,2025-01-04T11:55:12.000000,2025-01-05T07:55:12.000000,0,2,Saturday,1
CR-56,Incident INC0247193: VPN connectivity issues reported in APAC region during DR failover.,Failure,John Cena,John Cena,Matrix,Service A,Closed,Low,High,Medium,High,2025-01-04T12:34:09.000000,2025-01-04T20:34:09.000000,2025-01-05T12:34:09.000000,0,3,Saturday,1
CR-57,Disk space alert: System logs consuming 98% of allocated storage on SV370920:DataStore01.,Software,Neo,Neo,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-01-04T17:29:38.000000,2025-01-05T01:29:38.000000,2025-01-05T18:29:38.000000,0,1,Saturday,1
CR-58,Multiple database query timeouts observed on MSDC_TXX_PROD instance following high I/O read spikes.,Failure,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,High,Medium,High,2025-01-04T03:41:34.000000,2025-01-04T07:41:34.000000,2025-01-04T23:41:34.000000,0,2,Saturday,1
CR-59,Communication breakdown between IMK and DCN locations due to routing rule misconfiguration.,Software,Iron Man,Iron Man,Avengers,Service B,New,High,Critical,High,High,2025-01-05T20:34:25.000000,,,1,4,Sunday,0
CR-60,"Storage volume SV247890 nearing capacity (94% full), affecting batch process schedules.",Data,Captain America,Captain America,Avengers,Service C,Closed,Medium,High,Medium,High,2025-01-05T19:42:21.000000,2025-01-05T23:42:21.000000,2025-01-06T22:42:21.000000,0,2,Sunday,1
CR-61,Google cloud API gateway throttling unauthorized requests—Downtime logged for related components.,Complaint,John Wick,John Wick,Matrix,Service A,Closed,Low,Critical,High,High,2025-01-05T02:46:54.000000,2025-01-05T08:46:54.000000,2025-01-05T11:46:54.000000,1,4,Sunday,0
CR-62,VulMgt: High / VMware ESXi Privilege Escalation Vulnerability CVE-2025-30472 PSIRT Nov.2025.,Access,Hulk,Hulk,Avengers,Service B,Closed,High,Medium,Medium,Medium,2025-01-05T11:09:30.000000,2025-01-05T13:09:30.000000,2025-01-06T03:09:30.000000,0,1,Sunday,1
CR-63,Google cloud API gateway throttling unauthorized requests—Downtime logged for related components.,Data,Hulk,Hulk,Avengers,Service B,New,High,Critical,High,High,2025-01-05T12:08:12.000000,,,0,3,Sunday,1
CR-64,pm05019343 from legacy ticketing system: SLA violation mismanagement documented Apr-2025 breach.,Data,John Cena,John Cena,Matrix,Service A,New,Medium,Low,Low,Low,2025-01-05T03:43:29.000000,,,1,0,Sunday,0
CR-65,Unexpected reboot of Dell EMC PowerEdge Server SX3301 causing production downtime.,Network,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-05T19:15:15.000000,2025-01-06T00:15:15.000000,2025-01-06T08:15:15.000000,1,4,Sunday,0
CR-66,Unexpected reboot of Dell EMC PowerEdge Server SX3301 causing production downtime.,Facilities,Spiderman,Spiderman,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-05T15:15:41.000000,2025-01-05T18:15:41.000000,2025-01-06T17:15:41.000000,1,1,Sunday,0
CR-67,Prepare phase of Ubuntu upgrade failed on cntrprd03 and cntrprd04 due to package dependency conflicts.,Hardware,Thor,Thor,Avengers,Service B,Closed,High,Critical,High,Medium,2025-01-05T11:34:30.000000,2025-01-05T17:34:30.000000,2025-01-06T03:34:30.000000,0,5,Sunday,1
CR-68,Multiple database query timeouts observed on MSDC_TXX_PROD instance following high I/O read spikes.,Software,Hulk,Hulk,Avengers,Service C,Closed,High,High,High,High,2025-01-05T10:26:23.000000,2025-01-05T12:26:23.000000,2025-01-06T08:26:23.000000,0,3,Sunday,1
CR-69,pm05019343 from legacy ticketing system: SLA violation mismanagement documented Apr-2025 breach.,Facilities,Hulk,Hulk,Avengers,Service B,Closed,Medium,High,High,Medium,2025-01-06T02:26:26.000000,2025-01-06T07:26:26.000000,2025-01-07T01:26:26.000000,0,3,Monday,1
CR-70,Root cause analysis: Network connections disrupted after DR Test between DLN and TBL DC.,Facilities,Thor,Thor,Avengers,Service B,On Hold,Low,Critical,High,High,2025-01-06T06:53:54.000000,,,1,3,Monday,0
CR-71,Authentication errors observed after applying policy updates on Cloud Proxy Gateway.,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service C,In Progress,Medium,Medium,Medium,Medium,2025-01-06T11:01:24.000000,2025-01-06T13:01:24.000000,,0,1,Monday,1
CR-72,VulMgt: Fortinet / Critical Vulnerability in FortiOS SSL VPN CVE-2025-50987 / PSIRT Dec.2025.,Facilities,Captain America,Captain America,Avengers,Service C,Closed,High,High,High,High,2025-01-06T01:57:58.000000,2025-01-06T04:57:58.000000,2025-01-06T16:57:58.000000,1,2,Monday,0
CR-73,Disconnected VM workloads following Datacenter failover actions during change CHG0543871.,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Critical,High,High,2025-01-06T04:33:31.000000,2025-01-06T06:33:31.000000,2025-01-06T16:33:31.000000,0,4,Monday,1
CR-74,Connection timeout between SWSHK0019A and RTSHK0018 after DMZ firewall patch.,Access,Batman,Batman,Matrix,Service B,On Hold,Medium,Critical,High,High,2025-01-06T05:51:07.000000,,,0,5,Monday,1
CR-75,Disconnected VM workloads following Datacenter failover actions during change CHG0543871.,Access,Hulk,Hulk,Avengers,Service A,Closed,Medium,High,Medium,High,2025-01-06T03:03:38.000000,2025-01-06T10:03:38.000000,2025-01-07T08:03:38.000000,0,3,Monday,1
CR-76,Critical issue: No connectivity to company-hosted Microsoft Teams instances (Germany Office Gateway).,Network,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Medium,Low,Medium,2025-01-06T10:52:18.000000,2025-01-06T13:52:18.000000,2025-01-07T23:52:18.000000,0,1,Monday,1
CR-77,"Disk utilization warning: SV374586 storage volume at 96.43%, impacting backup ingestion tasks.",Data,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,Medium,Medium,Low,2025-01-06T16:30:06.000000,2025-01-07T00:30:06.000000,2025-01-08T00:30:06.000000,0,1,Monday,1
CR-78,Unexpected outage of financial ERP system after deployment of malformed SQL script.,Software,Neo,Neo,Matrix,Service C,Closed,Low,Medium,Low,Low,2025-01-06T10:33:24.000000,2025-01-06T17:33:24.000000,2025-01-07T07:33:24.000000,0,2,Monday,1
CR-79,Multiple server reboots after Red Hat EL9 update due to kernel module mismatch.,Hardware,Thor,Thor,Avengers,Service B,Closed,Low,Low,Low,Low,2025-01-06T19:46:57.000000,2025-01-07T01:46:57.000000,2025-01-09T20:46:57.000000,1,0,Monday,0
CR-80,CERT Alert: RTSMNL2K21 flagged compromised—segmentation plan initiated.,Facilities,Captain America,Captain America,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-06T22:20:12.000000,2025-01-07T04:20:12.000000,2025-01-08T02:20:12.000000,0,1,Monday,1
CR-81,Unexpected outage of financial ERP system after deployment of malformed SQL script.,Software,Thor,Thor,Avengers,Service A,Closed,High,Low,Low,Low,2025-01-06T15:17:21.000000,2025-01-06T23:17:21.000000,2025-01-08T22:17:21.000000,1,0,Monday,0
CR-82,Tenant restrictions v3 causing unauthorized access to external Office 365 environments.,Network,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Medium,Low,Medium,2025-01-06T00:19:46.000000,2025-01-06T06:19:46.000000,2025-01-07T17:19:46.000000,1,2,Monday,0
CR-83,Partial outage of Secure Web Gateway resulting in restricted access to external hosted applications.,Hardware,Thor,Thor,Avengers,Service C,Closed,High,Critical,High,High,2025-01-06T19:29:49.000000,2025-01-07T00:29:49.000000,2025-01-07T01:29:49.000000,0,4,Monday,1
CR-84,Root cause analysis and follow-up to PRB0058244 - Internal proxy overload impacting corporate web traffic.,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,High,High,High,2025-01-06T19:12:37.000000,2025-01-07T03:12:37.000000,2025-01-07T13:12:37.000000,0,3,Monday,1
CR-85,Remote Desktop connection errors persist for users accessing VNEDS0043Azure gateways.,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service B,On Hold,Low,Medium,Low,Medium,2025-01-06T19:54:48.000000,,,0,2,Monday,1
CR-86,Unexpected reboot of Dell EMC PowerEdge Server SX3301 causing production downtime.,Access,Iron Man,Iron Man,Avengers,Service A,Closed,High,High,Medium,High,2025-01-06T05:15:23.000000,2025-01-06T08:15:23.000000,2025-01-07T06:15:23.000000,0,2,Monday,1
CR-87,CERT Alert: RTSMNL2K21 flagged compromised—segmentation plan initiated.,Failure,Loki,Loki,Avengers,Service B,Closed,High,High,High,High,2025-01-06T07:15:33.000000,2025-01-06T14:15:33.000000,2025-01-07T11:15:33.000000,0,3,Monday,1
CR-88,Prepare phase of Ubuntu upgrade failed on cntrprd03 and cntrprd04 due to package dependency conflicts.,Failure,John Cena,John Cena,Matrix,Service B,On Hold,High,Low,Low,Low,2025-01-06T14:55:43.000000,,,0,0,Monday,1
CR-89,Connection timeout between SWSHK0019A and RTSHK0018 after DMZ firewall patch.,Access,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,High,High,High,2025-01-06T09:24:37.000000,2025-01-06T11:24:37.000000,2025-01-07T00:24:37.000000,1,3,Monday,0
CR-90,Communication breakdown between IMK and DCN locations due to routing rule misconfiguration.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-06T10:13:52.000000,2025-01-06T14:13:52.000000,2025-01-07T16:13:52.000000,0,2,Monday,1
CR-91,VulMgt: High / VMware ESXi Privilege Escalation Vulnerability CVE-2025-30472 PSIRT Nov.2025.,Facilities,Loki,Loki,Avengers,Service A,On Hold,Low,High,High,Low,2025-01-06T22:05:47.000000,,,0,2,Monday,1
CR-92,Major network outage on NLB2 zone affecting cross-datacenter replication and DR readiness.,Access,Thor,Thor,Avengers,Service B,Closed,High,Critical,High,High,2025-01-06T10:02:05.000000,2025-01-06T14:02:05.000000,2025-01-06T18:02:05.000000,0,3,Monday,1
CR-93,No access to intranet resources due to SSL certificate expiration.,Software,Thor,Thor,Avengers,Service C,Closed,High,High,Medium,Low,2025-01-06T03:10:13.000000,2025-01-06T07:10:13.000000,2025-01-06T21:10:13.000000,0,2,Monday,1
CR-94,Issue with payment gateway APIs intermittently showing 503 error for e-commerce customers.,Access,Shang Chi,Shang Chi,Avengers II,Service A,New,Medium,Medium,Low,Medium,2025-01-06T23:36:31.000000,,,0,1,Monday,1
CR-95,Policy misalignment: Users reporting unauthorized access to restricted financial systems.,Access,Loki,Loki,Avengers,Service B,Closed,Low,Critical,Medium,High,2025-01-06T00:19:09.000000,2025-01-06T04:19:09.000000,2025-01-06T07:19:09.000000,0,3,Monday,1
CR-96,High data latency observed on virtualized analytics server cluster NODE903-TGX-BI1.,Software,Hulk,Hulk,Avengers,Service C,Closed,High,Critical,Medium,High,2025-01-06T06:15:16.000000,2025-01-06T12:15:16.000000,2025-01-06T13:15:16.000000,0,5,Monday,1
CR-97,Incident INC0247193: VPN connectivity issues reported in APAC region during DR failover.,Data,Thor,Thor,Avengers,Service A,Closed,Low,Low,Low,Low,2025-01-07T19:01:39.000000,2025-01-08T01:01:39.000000,2025-01-10T14:01:39.000000,0,0,Tuesday,1
CR-98,SV240611.ztd.icb.commerzbank.comPROMOSS_P2:MYSQL:ReplicationLag:DeltaTooHigh.,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-07T11:13:21.000000,2025-01-07T16:13:21.000000,2025-01-08T22:13:21.000000,1,1,Tuesday,0
CR-99,SV240611.ztd.icb.commerzbank.comPROMOSS_P2:MYSQL:ReplicationLag:DeltaTooHigh.,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,High,High,High,2025-01-07T21:04:07.000000,2025-01-07T23:04:07.000000,2025-01-08T21:04:07.000000,1,3,Tuesday,0
CR-100,SV240611.ztd.icb.commerzbank.comPROMOSS_P2:MYSQL:ReplicationLag:DeltaTooHigh.,Hardware,Captain America,Captain America,Avengers,Service C,Closed,Low,Medium,Medium,Low,2025-01-07T04:34:56.000000,2025-01-07T07:34:56.000000,2025-01-08T14:34:56.000000,0,1,Tuesday,1
CR-101,Tenant restrictions v3 causing unauthorized access to external Office 365 environments.,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-07T01:42:06.000000,2025-01-07T09:42:06.000000,2025-01-07T21:42:06.000000,0,1,Tuesday,1
