Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag
CR-18,Encryption key mismatch detected between nodes in production.,Failure,Neo,Neo,Matrix,Service B,Closed,High,Medium,Medium,Low,2025-01-01T20:45:34.000000,2025-01-02T03:45:34.000000,2025-01-02T19:45:34.000000,0,2,Wednesday,1
CR-19,Critical alert: Database server overload detected.,Network,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,High,High,Medium,2025-01-01T04:59:58.000000,2025-01-01T12:59:58.000000,2025-01-01T23:59:58.000000,0,3,Wednesday,1
CR-20,Repeated failed ping attempts logged for external endpoint.,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Low,Low,Low,2025-01-01T07:42:29.000000,2025-01-01T11:42:29.000000,2025-01-03T03:42:29.000000,0,0,Wednesday,1
CR-21,Data threshold exceeded causing mainframe overload flag upstream details cluster pipeline inline faults matrix overview.,Hardware,John Wick,John Wick,Matrix,Service C,Closed,High,Medium,Low,Medium,2025-01-01T12:42:34.000000,2025-01-01T17:42:34.000000,2025-01-02T20:42:34.000000,0,2,Wednesday,1
CR-22,Workload forecasting triggered after peak hours response logs clustered anomalies.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,High,High,High,2025-01-01T01:26:33.000000,2025-01-01T09:26:33.000000,2025-01-02T01:26:33.000000,0,3,Wednesday,1
CR-23,Firewall misconfiguration allowed unauthorized access.,Hardware,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Medium,Medium,Low,2025-01-01T07:44:10.000000,2025-01-01T11:44:10.000000,2025-01-02T16:44:10.000000,0,2,Wednesday,1
CR-24,Suspicious activity flagged in privileged environment.,Network,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-01T07:54:07.000000,2025-01-01T10:54:07.000000,2025-01-01T15:54:07.000000,0,4,Wednesday,1
CR-25,Cloud instance failed synchronization with on-prem DB cluster.,Data,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Medium,Low,Low,2025-01-01T14:16:46.000000,2025-01-01T22:16:46.000000,2025-01-02T18:16:46.000000,0,2,Wednesday,1
CR-26,Unauthorized session hijack on application server.,Software,Iron Man,Iron Man,Avengers,Service A,Closed,High,Critical,High,Medium,2025-01-01T06:06:17.000000,2025-01-01T14:06:17.000000,2025-01-01T15:06:17.000000,1,4,Wednesday,0
CR-27,Critical security incident flagged during ongoing monitoring operations.,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-01-01T20:05:40.000000,2025-01-02T03:05:40.000000,2025-01-03T10:05:40.000000,0,2,Wednesday,1
CR-28,Spam detection flagged phishing email within response actions.,Data,Captain America,Captain America,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T09:22:45.000000,2025-01-01T12:22:45.000000,2025-01-02T01:22:45.000000,0,2,Wednesday,1
CR-29,System configuration process flagged as misaligned during audit checks.,Facilities,John Cena,John Cena,Matrix,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T16:08:13.000000,2025-01-01T23:08:13.000000,2025-01-02T16:08:13.000000,0,2,Wednesday,1
CR-30,Critical security incident flagged during ongoing monitoring operations.,Data,Iron Man,Iron Man,Avengers,Service A,Closed,High,Medium,Low,Medium,2025-01-01T17:45:12.000000,2025-01-02T01:45:12.000000,2025-01-02T13:45:12.000000,1,2,Wednesday,0
CR-31,Cloud instance failed synchronization with on-prem DB cluster.,Failure,Captain America,Captain America,Avengers,Service A,New,Low,High,Medium,Low,2025-01-01T02:00:59.000000,,,1,3,Wednesday,0
CR-32,Failed robot order execution due to unexpected timeout conditions.,Software,Hulk,Hulk,Avengers,Service B,New,High,High,Medium,Low,2025-01-01T06:00:57.000000,,,0,2,Wednesday,1
CR-33,Suspicious activity flagged in privileged environment.,Data,Hulk,Hulk,Avengers,Service C,In Progress,Low,Low,Low,Low,2025-01-01T11:57:58.000000,2025-01-01T17:57:58.000000,,0,0,Wednesday,1
CR-34,Phishing email identified by security team.,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Medium,Medium,Low,2025-01-01T03:43:37.000000,2025-01-01T07:43:37.000000,2025-01-02T07:43:37.000000,1,1,Wednesday,0
CR-35,Database server flagged with delays and query timeouts.,Access,Loki,Loki,Avengers,Service A,New,Low,Critical,Medium,High,2025-01-01T11:45:29.000000,,,0,5,Wednesday,1
CR-36,System-wide connectivity notice issued: Multi-site impacted change.,Facilities,Thor,Thor,Avengers,Service B,New,High,Critical,High,Medium,2025-01-01T09:02:42.000000,,,0,5,Wednesday,1
CR-37,Unauthorized access attempt detected on admin portal.,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,High,Medium,Medium,2025-01-01T19:11:32.000000,2025-01-02T03:11:32.000000,2025-01-02T16:11:32.000000,0,2,Wednesday,1
CR-38,Performance slowdowns observed during API monitoring.,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,High,Medium,2025-01-01T00:10:21.000000,2025-01-01T02:10:21.000000,2025-01-01T05:10:21.000000,0,4,Wednesday,1
CR-39,Phishing email identified by security team.,Software,Captain America,Captain America,Avengers,Service B,Closed,Medium,High,High,Medium,2025-01-01T10:39:26.000000,2025-01-01T13:39:26.000000,2025-01-02T13:39:26.000000,0,3,Wednesday,1
CR-40,Memory allocation errors caused stoppage in workload scheduling.,Data,Captain America,Captain America,Avengers,Service C,New,High,High,High,Medium,2025-01-01T10:11:21.000000,,,0,3,Wednesday,1
CR-41,Power failure simulation triggered during red team activity.,Failure,Hulk,Hulk,Avengers,Service B,Closed,High,High,High,High,2025-01-01T18:40:48.000000,2025-01-01T20:40:48.000000,2025-01-02T05:40:48.000000,0,3,Wednesday,1
CR-42,Failed packet transmission in monitoring interfaces.,Facilities,John Wick,John Wick,Matrix,Service B,Closed,Medium,High,High,Low,2025-01-01T04:44:50.000000,2025-01-01T07:44:50.000000,2025-01-02T05:44:50.000000,1,3,Wednesday,0
CR-43,Cloud storage exposed publicly due to account misconfiguration.,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T22:02:18.000000,2025-01-02T03:02:18.000000,2025-01-02T22:02:18.000000,0,1,Wednesday,1
CR-44,System resource spike identified on analytics server logs.,Data,Captain Marvel,Captain Marvel,Avengers II,Service A,In Progress,Medium,High,High,High,2025-01-01T06:09:06.000000,2025-01-01T11:09:06.000000,,0,3,Wednesday,1
CR-45,Critical alarm raised for SLA noncompliance on production server tickets.,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-01T08:03:55.000000,2025-01-01T12:03:55.000000,2025-01-01T21:03:55.000000,0,5,Wednesday,1
CR-46,High volume of API calls flagged; system overload.,Network,John Wick,John Wick,Matrix,Service B,Closed,Low,High,Medium,Low,2025-01-01T19:46:39.000000,2025-01-02T01:46:39.000000,2025-01-02T08:46:39.000000,0,3,Wednesday,1
CR-47,System configuration process flagged as misaligned during audit checks.,Software,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T22:24:24.000000,2025-01-02T00:24:24.000000,2025-01-02T08:24:24.000000,0,3,Wednesday,1
CR-48,Request errors logged during cloud synchronization monitoring stages flagged aggregations indicating fallback overload metric stages high-level.,Hardware,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Low,High,High,High,2025-01-01T05:49:25.000000,2025-01-01T12:49:25.000000,2025-01-01T18:49:25.000000,0,3,Wednesday,1
CR-49,High file transfer identified; possible data exfiltration suspected.,Hardware,Loki,Loki,Avengers,Service B,In Progress,High,Low,Low,Low,2025-01-01T12:57:51.000000,2025-01-01T18:57:51.000000,,1,0,Wednesday,0
CR-50,Memory allocation errors caused stoppage in workload scheduling.,Complaint,Hulk,Hulk,Avengers,Service B,Closed,Medium,High,High,High,2025-01-01T08:53:32.000000,2025-01-01T11:53:32.000000,2025-01-01T19:53:32.000000,0,2,Wednesday,1
CR-51,Unencrypted email flagged during sensitive admin data processes matrix heading.,Access,Loki,Loki,Avengers,Service B,Closed,Medium,Medium,Medium,Low,2025-01-01T11:06:08.000000,2025-01-01T15:06:08.000000,2025-01-02T07:06:08.000000,0,2,Wednesday,1
CR-52,Cloud instance failed synchronization with on-prem DB cluster.,Access,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Medium,High,High,Medium,2025-01-01T23:10:16.000000,2025-01-02T07:10:16.000000,2025-01-02T20:10:16.000000,0,3,Wednesday,1
CR-53,Unencrypted email flagged during sensitive admin data processes matrix heading.,Software,Thor,Thor,Avengers,Service C,Closed,High,Medium,Low,Low,2025-01-01T13:21:51.000000,2025-01-01T17:21:51.000000,2025-01-03T05:21:51.000000,0,2,Wednesday,1
CR-54,Multi-factor authentication failure for privileged accounts.,Complaint,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Low,Medium,2025-01-01T22:56:02.000000,2025-01-02T00:56:02.000000,2025-01-02T15:56:02.000000,0,1,Wednesday,1
CR-55,Performance slowdowns observed during API monitoring.,Access,Thor,Thor,Avengers,Service A,Closed,Medium,Critical,Medium,Medium,2025-01-01T05:45:41.000000,2025-01-01T12:45:41.000000,2025-01-01T14:45:41.000000,0,3,Wednesday,1
CR-56,Support ticket volumes identified as increasing peak trends during morning hours.,Hardware,Captain America,Captain America,Avengers,Service B,Closed,Medium,High,High,Medium,2025-01-01T01:26:05.000000,2025-01-01T08:26:05.000000,2025-01-02T06:26:05.000000,1,2,Wednesday,0
CR-57,Multi-factor authentication failure for privileged accounts.,Software,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,High,High,High,2025-01-01T16:46:13.000000,2025-01-01T21:46:13.000000,2025-01-02T20:46:13.000000,0,3,Wednesday,1
CR-58,Incident flagged requiring multi-stage manual response process-layer specifics detailed high-priority assessment handling escalation batches linked matrix revisions queues overall.,Hardware,Hulk,Hulk,Avengers,Service B,Closed,Medium,High,High,High,2025-01-01T13:23:58.000000,2025-01-01T18:23:58.000000,2025-01-02T08:23:58.000000,1,3,Wednesday,0
CR-59,High errors detected due to outdated system protocols.,Hardware,Loki,Loki,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T16:27:31.000000,2025-01-01T19:27:31.000000,2025-01-01T22:27:31.000000,0,4,Wednesday,1
CR-60,DNS query failure: Incorrect configuration detected on the main server.,Software,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Low,Low,Low,2025-01-01T17:49:58.000000,2025-01-01T22:49:58.000000,2025-01-03T12:49:58.000000,1,0,Wednesday,0
CR-61,Unauthorized session hijack on application server.,Facilities,Captain America,Captain America,Avengers,Service A,Closed,Medium,High,High,High,2025-01-01T09:00:54.000000,2025-01-01T12:00:54.000000,2025-01-02T11:00:54.000000,1,3,Wednesday,0
CR-62,System configuration process flagged as misaligned during audit checks.,Complaint,Captain America,Captain America,Avengers,Service C,Closed,Medium,Low,Low,Low,2025-01-01T06:45:48.000000,2025-01-01T09:45:48.000000,2025-01-03T01:45:48.000000,0,1,Wednesday,1
CR-63,Suspicious behavior flagged in user login analytics.,Complaint,Hulk,Hulk,Avengers,Service C,New,High,Medium,Medium,Low,2025-01-01T01:25:34.000000,,,0,1,Wednesday,1
CR-64,Failed login attempts detected from multiple locations.,Access,Thor,Thor,Avengers,Service A,Closed,High,High,Medium,High,2025-01-01T18:37:46.000000,2025-01-01T21:37:46.000000,2025-01-02T05:37:46.000000,0,3,Wednesday,1
CR-65,VPN tunnel flag uncovered during traffic multiplexer configuration checks.,Network,Hulk,Hulk,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-01-01T00:17:05.000000,2025-01-01T04:17:05.000000,2025-01-02T11:17:05.000000,0,2,Wednesday,1
CR-66,Endpoint disconnected: Device is not responding to monitoring server.,Hardware,Thor,Thor,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T18:26:04.000000,2025-01-02T02:26:04.000000,2025-01-02T10:26:04.000000,0,5,Wednesday,1
CR-67,High file transfer identified; possible data exfiltration suspected.,Facilities,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,Medium,2025-01-01T21:03:15.000000,2025-01-02T05:03:15.000000,2025-01-02T16:03:15.000000,0,3,Wednesday,1
CR-68,Security patch missing from production system; risk flagged.,Facilities,Iron Man,Iron Man,Avengers,Service C,On Hold,Medium,Critical,High,High,2025-01-01T18:32:41.000000,,,0,4,Wednesday,1
CR-69,High errors detected due to outdated system protocols.,Facilities,Loki,Loki,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T05:55:51.000000,2025-01-01T08:55:51.000000,2025-01-01T18:55:51.000000,0,3,Wednesday,1
CR-70,Phishing email identified by security team.,Complaint,Thor,Thor,Avengers,Service B,Closed,Low,Medium,Medium,Low,2025-01-01T19:14:46.000000,2025-01-01T22:14:46.000000,2025-01-02T23:14:46.000000,0,2,Wednesday,1
CR-71,Power failure simulation triggered during red team activity.,Complaint,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Low,Medium,2025-01-01T12:45:03.000000,2025-01-01T19:45:03.000000,2025-01-03T05:45:03.000000,0,2,Wednesday,1
CR-72,Failed login attempts detected from multiple locations.,Data,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T08:32:16.000000,2025-01-01T15:32:16.000000,2025-01-02T01:32:16.000000,0,3,Wednesday,1
CR-73,Security patch missing from production system; risk flagged.,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,High,Medium,Medium,2025-01-01T03:23:07.000000,2025-01-01T09:23:07.000000,2025-01-02T01:23:07.000000,0,3,Wednesday,1
CR-74,Root server flagged down during workflow trigger scheduling.,Data,Iron Man,Iron Man,Avengers,Service A,On Hold,High,High,High,Low,2025-01-01T13:17:26.000000,,,1,2,Wednesday,0
CR-75,Unexpected lockout flagged during Privileged Access re-validation.,Access,Captain America,Captain America,Avengers,Service A,Closed,Low,Critical,Medium,High,2025-01-01T21:42:39.000000,2025-01-02T01:42:39.000000,2025-01-02T06:42:39.000000,0,4,Wednesday,1
CR-76,Keylogger activity detected on privileged employee machine.,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,Low,Low,Low,2025-01-01T03:54:20.000000,2025-01-01T06:54:20.000000,2025-01-02T15:54:20.000000,0,1,Wednesday,1
CR-77,DNS monitoring errors flagged from edge-scanning logs.,Complaint,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Critical,High,High,2025-01-01T04:19:39.000000,2025-01-01T08:19:39.000000,2025-01-01T19:19:39.000000,0,5,Wednesday,1
CR-78,DNS monitoring errors flagged from edge-scanning logs.,Hardware,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,High,High,2025-01-01T18:06:02.000000,2025-01-02T01:06:02.000000,2025-01-02T09:06:02.000000,1,3,Wednesday,0
CR-79,Critical patch missing scheduled updates on key systems.,Failure,Loki,Loki,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-01T20:53:53.000000,2025-01-01T22:53:53.000000,2025-01-02T10:53:53.000000,0,4,Wednesday,1
CR-80,Repeated failed ping attempts logged for external endpoint.,Software,Hulk,Hulk,Avengers,Service B,In Progress,High,High,Medium,High,2025-01-01T18:30:12.000000,2025-01-01T22:30:12.000000,,0,2,Wednesday,1
CR-81,Workload forecasting triggered after peak hours response logs clustered anomalies.,Access,Thor,Thor,Avengers,Service C,In Progress,Low,Critical,High,High,2025-01-01T20:22:20.000000,2025-01-02T00:22:20.000000,,0,4,Wednesday,1
CR-82,Preventative trial flagged confidence cases staging priority upticks during clustered metrics snapshot.,Complaint,Captain America,Captain America,Avengers,Service C,Closed,Low,High,Medium,High,2025-01-01T10:54:26.000000,2025-01-01T16:54:26.000000,2025-01-02T02:54:26.000000,0,2,Wednesday,1
CR-83,Critical alarm raised for SLA noncompliance on production server tickets.,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,High,2025-01-01T11:13:06.000000,2025-01-01T17:13:06.000000,2025-01-02T05:13:06.000000,0,5,Wednesday,1
CR-84,Malware protection disabled on user workstation.,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service C,New,High,High,High,High,2025-01-01T17:50:39.000000,,,1,3,Wednesday,0
CR-85,Cloud instance failed synchronization with on-prem DB cluster.,Access,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T22:36:08.000000,2025-01-02T03:36:08.000000,2025-01-03T05:36:08.000000,0,1,Wednesday,1
CR-86,High file transfer identified; possible data exfiltration suspected.,Failure,Thor,Thor,Avengers,Service A,Closed,Low,High,Medium,Medium,2025-01-01T08:41:15.000000,2025-01-01T12:41:15.000000,2025-01-02T08:41:15.000000,0,3,Wednesday,1
CR-87,Preventative trial flagged confidence cases staging priority upticks during clustered metrics snapshot.,Facilities,Captain America,Captain America,Avengers,Service A,Closed,High,High,High,High,2025-01-01T05:25:57.000000,2025-01-01T10:25:57.000000,2025-01-01T22:25:57.000000,1,3,Wednesday,0
CR-88,Phishing email identified by security team.,Access,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,High,High,High,2025-01-01T23:46:33.000000,2025-01-02T04:46:33.000000,2025-01-02T20:46:33.000000,0,3,Wednesday,1
CR-89,Cloud synchronization failure reported after update processing.,Data,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T00:41:23.000000,2025-01-01T02:41:23.000000,2025-01-02T01:41:23.000000,0,1,Wednesday,1
CR-90,Performance slowdowns observed during API monitoring.,Software,Loki,Loki,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T03:17:43.000000,2025-01-01T07:17:43.000000,2025-01-01T14:17:43.000000,0,4,Wednesday,1
CR-91,Critical security incident flagged during ongoing monitoring operations.,Network,Thor,Thor,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-01T09:46:13.000000,2025-01-01T15:46:13.000000,2025-01-02T02:46:13.000000,0,3,Wednesday,1
CR-92,DNS query failure: Incorrect configuration detected on the main server.,Data,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,High,Low,Low,Low,2025-01-01T00:50:03.000000,2025-01-01T03:50:03.000000,2025-01-03T13:50:03.000000,1,0,Wednesday,0
CR-93,Failed robot order execution due to unexpected timeout conditions.,Facilities,Loki,Loki,Avengers,Service C,Closed,Medium,Medium,Low,Low,2025-01-01T02:46:14.000000,2025-01-01T10:46:14.000000,2025-01-02T03:46:14.000000,1,2,Wednesday,0
CR-94,DDoS mitigation triggered during heavy external activity.,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,Medium,Low,Medium,2025-01-01T16:47:29.000000,2025-01-01T22:47:29.000000,2025-01-03T02:47:29.000000,0,1,Wednesday,1
CR-95,Security patch missing from production system; risk flagged.,Network,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-01T00:31:34.000000,2025-01-01T04:31:34.000000,2025-01-01T10:31:34.000000,0,3,Wednesday,1
CR-96,System-wide connectivity notice issued: Multi-site impacted change.,Access,Hulk,Hulk,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-01-01T22:34:06.000000,2025-01-02T06:34:06.000000,2025-01-04T14:34:06.000000,0,0,Wednesday,1
CR-97,Multiple hostname errors flagged due to mismatched entries in logs.,Data,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Medium,Low,Medium,2025-01-01T19:42:41.000000,2025-01-01T22:42:41.000000,2025-01-02T21:42:41.000000,0,2,Wednesday,1
CR-98,Request errors logged during cloud synchronization monitoring stages flagged aggregations indicating fallback overload metric stages high-level.,Failure,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Low,Medium,2025-01-01T10:26:46.000000,2025-01-01T18:26:46.000000,2025-01-03T03:26:46.000000,0,2,Wednesday,1
CR-99,VPN tunnel flag uncovered during traffic multiplexer configuration checks.,Complaint,Loki,Loki,Avengers,Service C,In Progress,Medium,High,High,Low,2025-01-01T14:10:54.000000,2025-01-01T17:10:54.000000,,1,3,Wednesday,0
CR-100,Firewall misconfiguration allowed unauthorized access.,Access,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Low,Medium,Low,Low,2025-01-01T05:45:59.000000,2025-01-01T08:45:59.000000,2025-01-02T18:45:59.000000,0,2,Wednesday,1
CR-101,Critical security incident flagged during ongoing monitoring operations.,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,High,Medium,High,2025-01-01T12:37:39.000000,2025-01-01T19:37:39.000000,2025-01-02T07:37:39.000000,0,2,Wednesday,1
CR-102,Firewall misconfiguration allowed unauthorized access.,Hardware,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Medium,Low,Medium,2025-01-01T10:38:22.000000,2025-01-01T13:38:22.000000,2025-01-02T12:38:22.000000,0,2,Wednesday,1
CR-103,Rogue access flagged on external production server.,Data,Jack Sparrow,Jack Sparrow,Matrix,Service A,In Progress,High,Critical,High,High,2025-01-01T15:01:37.000000,2025-01-01T18:01:37.000000,,0,5,Wednesday,1
CR-104,Content management breach flagged in cross-routed traffic diagnostic monitors.,Hardware,John Wick,John Wick,Matrix,Service B,On Hold,Low,Medium,Low,Medium,2025-01-01T05:21:43.000000,,,0,2,Wednesday,1
CR-105,SSL handshake timed out during multi-instance connection attempt.,Network,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,High,Medium,Medium,2025-01-01T02:40:15.000000,2025-01-01T09:40:15.000000,2025-01-02T05:40:15.000000,0,3,Wednesday,1
CR-106,Spam detection flagged phishing email within response actions.,Data,Captain America,Captain America,Avengers,Service B,Closed,Low,Critical,Medium,High,2025-01-01T13:00:11.000000,2025-01-01T19:00:11.000000,2025-01-01T20:00:11.000000,0,3,Wednesday,1
CR-107,Firewall breach: Unauthorized access through open port.,Access,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,High,Medium,High,2025-01-01T02:18:43.000000,2025-01-01T10:18:43.000000,2025-01-01T18:18:43.000000,0,3,Wednesday,1
CR-108,Content management breach flagged in cross-routed traffic diagnostic monitors.,Hardware,Thor,Thor,Avengers,Service A,Closed,High,High,Medium,High,2025-01-01T22:13:01.000000,2025-01-02T04:13:01.000000,2025-01-02T11:13:01.000000,0,3,Wednesday,1
CR-109,Repeated failed ping attempts logged for external endpoint.,Hardware,Iron Man,Iron Man,Avengers,Service C,In Progress,Low,Medium,Medium,Medium,2025-01-01T08:15:06.000000,2025-01-01T11:15:06.000000,,0,1,Wednesday,1
CR-110,Keylogger activity detected on privileged employee machine.,Access,Loki,Loki,Avengers,Service B,Closed,Low,Low,Low,Low,2025-01-01T07:25:35.000000,2025-01-01T13:25:35.000000,2025-01-04T11:25:35.000000,1,0,Wednesday,0
CR-111,System resource spike identified on analytics server logs.,Facilities,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T05:37:00.000000,2025-01-01T10:37:00.000000,2025-01-02T14:37:00.000000,0,2,Wednesday,1
CR-112,Power failure simulation triggered during red team activity.,Data,Neo,Neo,Matrix,Service A,Closed,Medium,Medium,Low,Low,2025-01-01T03:24:06.000000,2025-01-01T11:24:06.000000,2025-01-02T23:24:06.000000,0,1,Wednesday,1
