Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day
SR-0000083,Request to add new printer to network for HR department.,Data,Doctor Strange,Doctor Strange,Avengers II,Service C,On Hold,Low,High,High,High,2025-01-01T02:37:48.000000,,,3,Wednesday
SR-0000084,Enable high-availability configuration on two production servers.,Access,Iron Man,Iron Man,Avengers,Service B,Closed,High,High,High,Medium,2025-01-01T22:33:48.000000,2025-01-02T06:33:48.000000,2025-01-02T21:33:48.000000,3,Wednesday
SR-0000085,Document retention policy modification for compliance purposes.,Access,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-01-01T04:18:44.000000,2025-01-01T12:18:44.000000,2025-01-02T09:18:44.000000,5,Wednesday
SR-0000086,Request to enable remote access to on-site servers.,Software,Captain Marvel,Captain Marvel,Avengers II,Service B,New,Medium,Medium,Medium,Medium,2025-01-01T23:18:27.000000,,,2,Wednesday
SR-0000087,Request to delete unused virtual machines in non-production environment.,Data,John Cena,John Cena,Matrix,Service C,Closed,Low,Low,Low,Low,2025-01-01T11:53:26.000000,2025-01-01T14:53:26.000000,2025-01-03T19:53:26.000000,2,Wednesday
SR-0000088,Request to add new printer to network for HR department.,Software,Loki,Loki,Avengers,Service C,Closed,Low,High,High,Low,2025-01-01T13:05:17.000000,2025-01-01T16:05:17.000000,2025-01-02T00:05:17.000000,2,Wednesday
SR-0000089,Request to reset password for employee account.,Hardware,Batman,Batman,Matrix,Service A,Closed,Medium,High,High,Low,2025-01-01T08:34:24.000000,2025-01-01T15:34:24.000000,2025-01-02T05:34:24.000000,5,Wednesday
SR-0000090,Request to configure SSO login for external web resource.,Access,Loki,Loki,Avengers,Service A,Closed,Low,Medium,Low,Medium,2025-01-01T22:50:36.000000,2025-01-02T00:50:36.000000,2025-01-02T16:50:36.000000,3,Wednesday
SR-0000091,Install licensed Microsoft Visio on a department computer.,Network,Thor,Thor,Avengers,Service B,New,Medium,High,Medium,High,2025-01-01T16:31:19.000000,,,2,Wednesday
SR-0000092,Request for secure deletion of files on retired desktops.,Facilities,Loki,Loki,Avengers,Service B,Closed,High,Low,Low,Low,2025-01-01T11:19:07.000000,2025-01-01T17:19:07.000000,2025-01-03T10:19:07.000000,1,Wednesday
SR-0000093,Replace hardware for malfunctioning conference room equipment.,Data,John Cena,John Cena,Matrix,Service C,Closed,Medium,High,High,Medium,2025-01-01T11:03:09.000000,2025-01-01T17:03:09.000000,2025-01-02T11:03:09.000000,5,Wednesday
SR-0000094,Update employee badge photo in internal directory.,Complaint,Loki,Loki,Avengers,Service A,Closed,High,High,Medium,Low,2025-01-01T17:19:33.000000,2025-01-01T21:19:33.000000,2025-01-02T11:19:33.000000,3,Wednesday
SR-0000095,Create custom email signature for company branding.,Network,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Medium,High,High,High,2025-01-01T22:22:43.000000,2025-01-02T06:22:43.000000,2025-01-02T15:22:43.000000,0,Wednesday
SR-0000096,Configuration update needed for internal voice gateway routing.,Data,Batman,Batman,Matrix,Service A,New,Low,High,Medium,High,2025-01-01T14:23:35.000000,,,4,Wednesday
SR-0000097,Request to create test environment for application testing.,Software,Loki,Loki,Avengers,Service B,In Progress,Medium,Critical,High,High,2025-01-01T16:56:09.000000,2025-01-01T22:56:09.000000,,0,Wednesday
SR-0000098,Extend mailbox retention policy for legal department emails.,Failure,Captain America,Captain America,Avengers,Service B,Closed,Low,Low,Low,Low,2025-01-01T08:10:25.000000,2025-01-01T11:10:25.000000,2025-01-03T06:10:25.000000,2,Wednesday
SR-0000099,Update employee badge photo in internal directory.,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,Medium,2025-01-01T16:55:26.000000,2025-01-01T18:55:26.000000,2025-01-01T22:55:26.000000,0,Wednesday
SR-0000100,Relocation of desktop workstation within the office premises.,Data,Spiderman,Spiderman,Avengers II,Service C,Closed,Low,Low,Low,Low,2025-01-01T23:12:50.000000,2025-01-02T04:12:50.000000,2025-01-05T03:12:50.000000,1,Wednesday
SR-0000101,Troubleshoot application access issues related to role change.,Software,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Medium,Low,Low,2025-01-01T14:43:30.000000,2025-01-01T22:43:30.000000,2025-01-03T02:43:30.000000,4,Wednesday
SR-0000102,Install licensed Microsoft Visio on a department computer.,Complaint,Loki,Loki,Avengers,Service A,Closed,Medium,High,Medium,High,2025-01-01T00:17:16.000000,2025-01-01T02:17:16.000000,2025-01-01T15:17:16.000000,5,Wednesday
SR-0000103,Activate mobile application access for workflow approvals.,Network,Batman,Batman,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T00:14:10.000000,2025-01-01T04:14:10.000000,2025-01-02T08:14:10.000000,4,Wednesday
SR-0000104,Re-enable accounts for recent employee returning after leave.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,New,Low,Critical,Medium,Medium,2025-01-01T22:58:40.000000,,,1,Wednesday
SR-0000105,Provision external storage for graphics design project.,Access,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Low,Low,Low,2025-01-01T13:19:14.000000,2025-01-01T17:19:14.000000,2025-01-04T13:19:14.000000,0,Wednesday
SR-0000106,Setup repository access for junior developers.,Data,Iron Man,Iron Man,Avengers,Service A,Closed,High,Critical,Medium,High,2025-01-02T13:30:34.000000,2025-01-02T17:30:34.000000,2025-01-02T19:30:34.000000,4,Thursday
SR-0000107,Request to access internal SharePoint site for the Finance department.,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-02T22:02:08.000000,2025-01-03T00:02:08.000000,2025-01-04T00:02:08.000000,3,Thursday
SR-0000108,Enable high-availability configuration on two production servers.,Hardware,Hulk,Hulk,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-02T04:33:28.000000,2025-01-02T12:33:28.000000,2025-01-03T05:33:28.000000,1,Thursday
SR-0000109,Create custom email signature for company branding.,Complaint,John Wick,John Wick,Matrix,Service A,In Progress,High,Low,Low,Low,2025-01-02T23:46:33.000000,2025-01-03T05:46:33.000000,,5,Thursday
SR-0000110,Activate mobile application access for workflow approvals.,Network,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Critical,High,High,2025-01-02T23:43:22.000000,2025-01-03T02:43:22.000000,2025-01-03T09:43:22.000000,2,Thursday
SR-0000111,Enable port redirection for database replication tasks.,Software,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Medium,Medium,Low,2025-01-02T02:24:21.000000,2025-01-02T09:24:21.000000,2025-01-03T03:24:21.000000,1,Thursday
SR-0000112,Create custom email signature for company branding.,Facilities,Thor,Thor,Avengers,Service A,Closed,Low,High,High,High,2025-01-02T09:52:36.000000,2025-01-02T15:52:36.000000,2025-01-02T22:52:36.000000,4,Thursday
SR-0000113,Document retention policy modification for compliance purposes.,Access,Hulk,Hulk,Avengers,Service A,Closed,Low,High,High,Medium,2025-01-02T15:10:59.000000,2025-01-02T18:10:59.000000,2025-01-03T03:10:59.000000,2,Thursday
SR-0000114,Request to move group mailbox ownership to new manager.,Failure,Iron Man,Iron Man,Avengers,Service A,In Progress,Medium,Critical,High,High,2025-01-02T19:46:29.000000,2025-01-02T21:46:29.000000,,4,Thursday
SR-0000115,User asking for permissions to install additional software.,Network,Captain America,Captain America,Avengers,Service C,New,High,Low,Low,Low,2025-01-02T18:52:32.000000,,,5,Thursday
SR-0000116,Request to delete unused virtual machines in non-production environment.,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,Medium,Low,Medium,2025-01-02T15:56:23.000000,2025-01-02T19:56:23.000000,2025-01-04T02:56:23.000000,3,Thursday
SR-0000117,User asking for permissions to install additional software.,Software,Shang Chi,Shang Chi,Avengers II,Service B,New,Low,Medium,Medium,Low,2025-01-02T20:10:55.000000,,,5,Thursday
SR-0000118,Grant access to restricted database for data analytics intern.,Data,Neo,Neo,Matrix,Service B,In Progress,Medium,Medium,Medium,Medium,2025-01-02T14:45:40.000000,2025-01-02T19:45:40.000000,,5,Thursday
SR-0000119,Provision special access profiles for GDPR compliance audits.,Facilities,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Medium,Medium,Low,2025-01-02T19:08:14.000000,2025-01-02T21:08:14.000000,2025-01-03T18:08:14.000000,3,Thursday
SR-0000120,User asking for permissions to install additional software.,Complaint,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-02T03:58:19.000000,2025-01-02T05:58:19.000000,2025-01-02T09:58:19.000000,1,Thursday
SR-0000121,Reassign ownership of project management tools to new team lead.,Software,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-01-02T04:13:12.000000,2025-01-02T09:13:12.000000,2025-01-03T14:13:12.000000,4,Thursday
SR-0000122,Request to access internal SharePoint site for the Finance department.,Complaint,Loki,Loki,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-01-02T18:39:49.000000,2025-01-03T02:39:49.000000,2025-01-03T23:39:49.000000,1,Thursday
SR-0000123,Request to create container image repository for DevOps team.,Access,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,High,Medium,Medium,2025-01-02T08:47:29.000000,2025-01-02T15:47:29.000000,2025-01-03T02:47:29.000000,1,Thursday
