Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag
CR-12,Single user laptop not connecting to Wi-Fi,Facilities,Captain America,Captain America,Avengers,Service B,Closed,Low,High,High,Low,2025-01-01T13:12:56.000000,2025-01-01T18:12:56.000000,2025-01-02T15:12:56.000000,1,3,Wednesday,0
CR-13,External website not reachable from corporate network,Network,Hulk,Hulk,Avengers,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T08:39:49.000000,2025-01-01T16:39:49.000000,2025-01-02T12:39:49.000000,0,1,Wednesday,1
CR-14,Local profile corrupted on shared workstation,Data,Iron Man,Iron Man,Avengers,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T13:58:29.000000,2025-01-01T21:58:29.000000,2025-01-02T14:58:29.000000,1,2,Wednesday,0
CR-15,Auto-save not working in productivity application,Complaint,John Cena,John Cena,Matrix,Service B,In Progress,Medium,High,High,Low,2025-01-01T10:13:36.000000,2025-01-01T14:13:36.000000,,0,2,Wednesday,1
CR-16,Error 500 returned by internal web application,Access,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T12:21:03.000000,2025-01-01T20:21:03.000000,2025-01-02T20:21:03.000000,0,1,Wednesday,1
CR-17,User unable to change expired password remotely,Data,John Cena,John Cena,Matrix,Service B,Closed,High,Medium,Low,Medium,2025-01-01T20:59:36.000000,2025-01-02T03:59:36.000000,2025-01-03T15:59:36.000000,0,2,Wednesday,1
CR-18,User unable to access HR portal,Data,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,High,High,High,2025-01-01T02:16:24.000000,2025-01-01T07:16:24.000000,2025-01-01T16:16:24.000000,0,2,Wednesday,1
CR-19,Multi-factor authentication code not delivered to user,Complaint,Captain America,Captain America,Avengers,Service A,New,Medium,Critical,High,High,2025-01-01T11:57:37.000000,,,0,5,Wednesday,1
CR-20,Duplicate records appearing in customer database,Access,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,High,High,High,2025-01-01T20:41:26.000000,2025-01-02T03:41:26.000000,2025-01-03T03:41:26.000000,0,3,Wednesday,1
CR-21,Mobile app login failing for all users,Access,Loki,Loki,Avengers,Service A,Closed,High,Low,Low,Low,2025-01-01T10:15:33.000000,2025-01-01T13:15:33.000000,2025-01-02T14:15:33.000000,0,1,Wednesday,1
CR-22,User unable to change expired password remotely,Facilities,Batman,Batman,Matrix,Service C,In Progress,Low,Low,Low,Low,2025-01-01T11:59:10.000000,2025-01-01T13:59:10.000000,,0,0,Wednesday,1
CR-23,SSL certificate error when accessing internal site,Network,Jack Sparrow,Jack Sparrow,Matrix,Service C,On Hold,Medium,Low,Low,Low,2025-01-01T00:10:32.000000,,,0,1,Wednesday,1
CR-24,Auto-save not working in productivity application,Network,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,High,High,High,2025-01-01T17:58:03.000000,2025-01-01T19:58:03.000000,2025-01-02T02:58:03.000000,0,3,Wednesday,1
CR-25,Network latency observed between data center and branch office,Failure,Spiderman,Spiderman,Avengers II,Service C,Closed,Low,High,High,Medium,2025-01-01T04:15:35.000000,2025-01-01T11:15:35.000000,2025-01-01T23:15:35.000000,0,3,Wednesday,1
CR-26,VoIP phone not registering with call manager,Software,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,High,Medium,2025-01-01T04:20:14.000000,2025-01-01T06:20:14.000000,2025-01-01T13:20:14.000000,0,5,Wednesday,1
CR-27,Intermittent packet loss on WAN link,Complaint,Thor,Thor,Avengers,Service B,Closed,Low,High,High,High,2025-01-01T09:25:20.000000,2025-01-01T14:25:20.000000,2025-01-01T20:25:20.000000,0,3,Wednesday,1
CR-28,File restore from backup failed for requested folder,Complaint,Neo,Neo,Matrix,Service C,In Progress,Low,Medium,Medium,Medium,2025-01-01T17:19:39.000000,2025-01-01T21:19:39.000000,,0,1,Wednesday,1
CR-29,Firewall blocking legitimate traffic to partner system,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,High,Medium,2025-01-01T19:58:20.000000,2025-01-02T00:58:20.000000,2025-01-03T00:58:20.000000,0,3,Wednesday,1
CR-30,Corrupt file detected in document management system,Hardware,Thor,Thor,Avengers,Service C,New,Medium,Medium,Low,Medium,2025-01-01T01:47:30.000000,,,0,1,Wednesday,1
CR-31,Old password still granting access to system,Hardware,Neo,Neo,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T06:14:08.000000,2025-01-01T13:14:08.000000,2025-01-02T06:14:08.000000,0,1,Wednesday,1
CR-32,User’s mailbox not receiving external emails,Data,Thor,Thor,Avengers,Service C,New,High,Critical,High,Medium,2025-01-01T05:05:48.000000,,,0,4,Wednesday,1
CR-33,Time synchronization issue causing authentication failures,Software,Captain America,Captain America,Avengers,Service A,New,High,Critical,High,High,2025-01-01T08:46:18.000000,,,1,3,Wednesday,0
CR-34,User home drive not mapping at login,Network,Thor,Thor,Avengers,Service B,Closed,Low,Critical,Medium,High,2025-01-01T10:23:41.000000,2025-01-01T16:23:41.000000,2025-01-01T21:23:41.000000,0,4,Wednesday,1
CR-35,Incorrect display of currency values in front-end,Failure,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Medium,Low,2025-01-01T02:06:28.000000,2025-01-01T10:06:28.000000,2025-01-02T07:06:28.000000,0,2,Wednesday,1
CR-36,External website not reachable from corporate network,Access,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,Medium,High,2025-01-01T06:47:50.000000,2025-01-01T12:47:50.000000,2025-01-01T14:47:50.000000,0,3,Wednesday,1
CR-37,User unable to log in to corporate VPN,Software,Captain America,Captain America,Avengers,Service A,Closed,High,Critical,High,High,2025-01-01T23:01:50.000000,2025-01-02T06:01:50.000000,2025-01-02T07:01:50.000000,0,4,Wednesday,1
CR-38,Local profile corrupted on shared workstation,Software,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,Medium,Medium,2025-01-01T03:48:26.000000,2025-01-01T10:48:26.000000,2025-01-01T12:48:26.000000,0,3,Wednesday,1
CR-39,Printing jobs stuck in queue without error message,Access,Thor,Thor,Avengers,Service C,Closed,Low,Medium,Medium,Medium,2025-01-01T21:35:03.000000,2025-01-02T02:35:03.000000,2025-01-03T03:35:03.000000,1,1,Wednesday,0
CR-40,External website not reachable from corporate network,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,High,Medium,High,2025-01-01T13:02:50.000000,2025-01-01T16:02:50.000000,2025-01-02T07:02:50.000000,0,2,Wednesday,1
CR-41,User home drive not mapping at login,Data,Thor,Thor,Avengers,Service B,Closed,Low,High,High,Medium,2025-01-01T04:27:38.000000,2025-01-01T11:27:38.000000,2025-01-02T04:27:38.000000,0,2,Wednesday,1
CR-42,Application crash when user attempts specific function,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Medium,Low,Medium,2025-01-01T23:36:44.000000,2025-01-02T07:36:44.000000,2025-01-03T13:36:44.000000,0,2,Wednesday,1
CR-43,Network outage in specific office floor,Data,Hulk,Hulk,Avengers,Service B,Closed,Low,Critical,High,High,2025-01-01T22:51:33.000000,2025-01-02T04:51:33.000000,2025-01-02T06:51:33.000000,0,5,Wednesday,1
CR-44,Multiple users experiencing Outlook crashes,Failure,Captain America,Captain America,Avengers,Service C,In Progress,High,High,Medium,High,2025-01-01T04:30:47.000000,2025-01-01T07:30:47.000000,,0,3,Wednesday,1
CR-45,Endpoint disk space critically low warning,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,High,High,Medium,2025-01-01T20:03:11.000000,2025-01-02T01:03:11.000000,2025-01-02T07:03:11.000000,0,2,Wednesday,1
CR-46,Printer not printing documents from any workstation,Access,John Wick,John Wick,Matrix,Service A,Closed,Low,Low,Low,Low,2025-01-01T13:56:52.000000,2025-01-01T17:56:52.000000,2025-01-03T06:56:52.000000,0,1,Wednesday,1
CR-47,Unexpected logout from critical application during use,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Medium,Medium,Low,2025-01-01T01:34:49.000000,2025-01-01T07:34:49.000000,2025-01-02T12:34:49.000000,0,1,Wednesday,1
CR-48,Delayed message delivery in internal chat system,Network,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-01T00:41:35.000000,2025-01-01T07:41:35.000000,2025-01-02T09:41:35.000000,0,2,Wednesday,1
CR-49,Single user laptop not connecting to Wi-Fi,Access,Neo,Neo,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-01-01T14:30:17.000000,2025-01-01T16:30:17.000000,2025-01-02T06:30:17.000000,1,2,Wednesday,0
CR-50,Unexpected application log errors after deployment,Complaint,Hulk,Hulk,Avengers,Service B,Closed,Low,Low,Low,Low,2025-01-01T19:28:40.000000,2025-01-01T21:28:40.000000,2025-01-03T20:28:40.000000,0,0,Wednesday,1
CR-51,Network outage in specific office floor,Network,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Medium,Low,Medium,2025-01-01T01:52:47.000000,2025-01-01T04:52:47.000000,2025-01-02T16:52:47.000000,0,2,Wednesday,1
CR-52,Time-out errors when accessing CRM system,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,Low,High,High,High,2025-01-01T18:49:27.000000,2025-01-01T20:49:27.000000,2025-01-02T06:49:27.000000,0,3,Wednesday,1
CR-53,Duplicate records appearing in customer database,Access,John Cena,John Cena,Matrix,Service B,Closed,High,Low,Low,Low,2025-01-01T05:12:49.000000,2025-01-01T09:12:49.000000,2025-01-03T14:12:49.000000,1,1,Wednesday,0
CR-54,Frequent password prompts despite valid authentication,Data,Neo,Neo,Matrix,Service C,New,High,High,High,Medium,2025-01-01T18:40:17.000000,,,0,3,Wednesday,1
CR-55,Error while uploading documents to intranet portal,Complaint,Iron Man,Iron Man,Avengers,Service B,In Progress,Low,Medium,Medium,Medium,2025-01-01T07:40:11.000000,2025-01-01T13:40:11.000000,,0,2,Wednesday,1
CR-56,User home drive not mapping at login,Hardware,Loki,Loki,Avengers,Service C,New,Low,Critical,High,High,2025-01-01T12:20:54.000000,,,0,3,Wednesday,1
CR-57,Unexpected high memory usage on web server,Software,Hulk,Hulk,Avengers,Service A,On Hold,Low,Critical,High,High,2025-01-01T19:26:42.000000,,,0,3,Wednesday,1
CR-58,External website not reachable from corporate network,Data,Batman,Batman,Matrix,Service B,Closed,Low,High,High,Low,2025-01-01T20:58:13.000000,2025-01-02T01:58:13.000000,2025-01-02T20:58:13.000000,0,2,Wednesday,1
CR-59,Firewall blocking legitimate traffic to partner system,Data,John Cena,John Cena,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T10:34:02.000000,2025-01-01T16:34:02.000000,2025-01-02T15:34:02.000000,1,2,Wednesday,0
CR-60,Incorrect display of currency values in front-end,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-01-01T21:01:06.000000,2025-01-02T03:01:06.000000,2025-01-03T13:01:06.000000,0,2,Wednesday,1
CR-61,User unable to open encrypted email,Software,Captain America,Captain America,Avengers,Service C,Closed,High,Medium,Medium,Low,2025-01-01T23:25:46.000000,2025-01-02T01:25:46.000000,2025-01-03T11:25:46.000000,0,2,Wednesday,1
CR-62,Frequent disconnections from remote desktop session,Failure,Thor,Thor,Avengers,Service B,New,Low,High,High,High,2025-01-01T16:33:07.000000,,,0,2,Wednesday,1
CR-63,Access badge system not updating from central database,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Medium,Low,Medium,2025-01-01T19:55:55.000000,2025-01-02T01:55:55.000000,2025-01-03T10:55:55.000000,0,1,Wednesday,1
CR-64,Auto-save not working in productivity application,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Medium,High,High,Medium,2025-01-01T11:24:12.000000,2025-01-01T16:24:12.000000,2025-01-02T16:24:12.000000,0,2,Wednesday,1
CR-65,User unable to access HR portal,Failure,John Cena,John Cena,Matrix,Service B,Closed,Medium,High,Medium,High,2025-01-01T01:38:42.000000,2025-01-01T05:38:42.000000,2025-01-01T13:38:42.000000,0,3,Wednesday,1
CR-66,User unable to access HR portal,Data,Thor,Thor,Avengers,Service A,Closed,Low,High,Medium,High,2025-01-01T02:03:38.000000,2025-01-01T04:03:38.000000,2025-01-01T19:03:38.000000,1,2,Wednesday,0
CR-67,Incorrect user mapping in identity provider,Failure,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Medium,Low,Medium,2025-01-01T23:11:31.000000,2025-01-02T03:11:31.000000,2025-01-03T04:11:31.000000,0,2,Wednesday,1
CR-68,User not receiving password reset email,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Critical,High,Medium,2025-01-01T09:27:35.000000,2025-01-01T14:27:35.000000,2025-01-01T15:27:35.000000,0,5,Wednesday,1
CR-69,Duplicate records appearing in customer database,Failure,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-01T15:09:38.000000,2025-01-01T21:09:38.000000,2025-01-03T05:09:38.000000,0,2,Wednesday,1
CR-70,Barcode scanner not transmitting data to system,Hardware,Captain America,Captain America,Avengers,Service C,Closed,Low,High,High,Medium,2025-01-01T14:57:39.000000,2025-01-01T20:57:39.000000,2025-01-02T19:57:39.000000,0,3,Wednesday,1
CR-71,Data export from system failing with error,Hardware,John Cena,John Cena,Matrix,Service A,Closed,Medium,Critical,High,High,2025-01-01T16:43:27.000000,2025-01-01T19:43:27.000000,2025-01-01T23:43:27.000000,0,5,Wednesday,1
CR-72,User unable to log in to corporate VPN,Hardware,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Critical,High,Medium,2025-01-01T12:56:01.000000,2025-01-01T19:56:01.000000,2025-01-02T04:56:01.000000,1,3,Wednesday,0
CR-73,Newly created user not syncing to all systems,Data,Hulk,Hulk,Avengers,Service B,Closed,High,Critical,High,High,2025-01-01T06:09:11.000000,2025-01-01T09:09:11.000000,2025-01-01T20:09:11.000000,0,4,Wednesday,1
CR-74,Multi-factor authentication code not delivered to user,Network,Captain America,Captain America,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T15:17:41.000000,2025-01-01T22:17:41.000000,2025-01-03T00:17:41.000000,0,2,Wednesday,1
CR-75,New software installation failing on endpoint,Complaint,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Low,Low,Low,2025-01-01T12:46:57.000000,2025-01-01T20:46:57.000000,2025-01-04T19:46:57.000000,1,0,Wednesday,0
CR-76,Time-out errors when accessing CRM system,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T12:10:48.000000,2025-01-01T18:10:48.000000,2025-01-02T20:10:48.000000,0,1,Wednesday,1
CR-77,Broken link on intranet home page,Software,Thor,Thor,Avengers,Service A,Closed,Medium,Critical,Medium,High,2025-01-01T19:30:01.000000,2025-01-01T22:30:01.000000,2025-01-02T06:30:01.000000,0,4,Wednesday,1
CR-78,Email client not connecting to mail server,Hardware,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Medium,Low,Low,2025-01-01T17:46:09.000000,2025-01-01T23:46:09.000000,2025-01-03T08:46:09.000000,0,2,Wednesday,1
CR-79,Duplicate records appearing in customer database,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-01T11:01:53.000000,2025-01-01T16:01:53.000000,2025-01-02T14:01:53.000000,0,1,Wednesday,1
CR-80,Batch job failed to complete overnight,Complaint,Loki,Loki,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-01-01T11:58:13.000000,2025-01-01T13:58:13.000000,2025-01-02T07:58:13.000000,0,2,Wednesday,1
CR-81,Network printer not visible in device list,Software,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-01T19:37:30.000000,2025-01-02T01:37:30.000000,2025-01-02T03:37:30.000000,0,4,Wednesday,1
CR-82,Corrupted email attachments received internally,Network,Hulk,Hulk,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T08:15:44.000000,2025-01-01T11:15:44.000000,2025-01-01T16:15:44.000000,0,3,Wednesday,1
CR-83,Printing jobs stuck in queue without error message,Software,John Wick,John Wick,Matrix,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T08:50:08.000000,2025-01-01T13:50:08.000000,2025-01-02T07:50:08.000000,0,2,Wednesday,1
CR-84,Delayed message delivery in internal chat system,Software,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,High,High,Low,2025-01-01T06:44:34.000000,2025-01-01T08:44:34.000000,2025-01-01T18:44:34.000000,0,2,Wednesday,1
CR-85,USB device not recognized on workstation,Complaint,Hulk,Hulk,Avengers,Service A,Closed,Low,High,High,High,2025-01-01T10:25:53.000000,2025-01-01T17:25:53.000000,2025-01-02T13:25:53.000000,0,3,Wednesday,1
CR-86,Application crash when user attempts specific function,Software,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,Medium,Low,Medium,2025-01-01T23:54:04.000000,2025-01-02T03:54:04.000000,2025-01-03T02:54:04.000000,0,2,Wednesday,1
CR-87,Auto-save not working in productivity application,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Low,Medium,2025-01-01T10:34:49.000000,2025-01-01T17:34:49.000000,2025-01-02T07:34:49.000000,0,1,Wednesday,1
CR-88,Antivirus alert triggered on user workstation,Software,Captain America,Captain America,Avengers,Service C,Closed,High,Low,Low,Low,2025-01-01T02:37:18.000000,2025-01-01T05:37:18.000000,2025-01-03T15:37:18.000000,1,0,Wednesday,0
CR-89,SSL certificate error when accessing internal site,Data,Thor,Thor,Avengers,Service A,Closed,Low,Critical,Medium,High,2025-01-01T21:26:51.000000,2025-01-02T02:26:51.000000,2025-01-02T09:26:51.000000,1,4,Wednesday,0
CR-90,Queue processing stuck in payment application,Software,Hulk,Hulk,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-01T18:41:59.000000,2025-01-02T01:41:59.000000,2025-01-02T03:41:59.000000,0,5,Wednesday,1
CR-91,Unexpected application log errors after deployment,Data,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Low,Low,Low,2025-01-01T07:44:40.000000,2025-01-01T11:44:40.000000,2025-01-03T19:44:40.000000,0,0,Wednesday,1
CR-92,Intermittent connectivity issues to file server,Facilities,Iron Man,Iron Man,Avengers,Service C,In Progress,Medium,Critical,Medium,High,2025-01-01T08:26:55.000000,2025-01-01T14:26:55.000000,,0,5,Wednesday,1
CR-93,Intermittent packet loss on WAN link,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Critical,High,High,2025-01-01T05:16:09.000000,2025-01-01T07:16:09.000000,2025-01-01T13:16:09.000000,0,5,Wednesday,1
CR-94,Newly created user not syncing to all systems,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,In Progress,Medium,Critical,High,High,2025-01-01T14:57:08.000000,2025-01-01T16:57:08.000000,,0,3,Wednesday,1
CR-95,Incorrect language settings applied to user interface,Network,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,High,High,Medium,2025-01-01T18:11:13.000000,2025-01-01T22:11:13.000000,2025-01-02T09:11:13.000000,0,3,Wednesday,1
CR-96,External website not reachable from corporate network,Network,Captain America,Captain America,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T19:06:19.000000,2025-01-01T21:06:19.000000,2025-01-02T16:06:19.000000,0,1,Wednesday,1
CR-97,Endpoint not checking in with management server,Hardware,Spiderman,Spiderman,Avengers II,Service A,New,High,Medium,Medium,Medium,2025-01-01T16:53:39.000000,,,0,1,Wednesday,1
CR-98,User unable to open encrypted email,Data,John Cena,John Cena,Matrix,Service A,New,Medium,Medium,Medium,Medium,2025-01-01T06:05:23.000000,,,1,2,Wednesday,0
CR-99,Unexpected application log errors after deployment,Access,Loki,Loki,Avengers,Service C,Closed,High,Critical,High,High,2025-01-01T11:19:31.000000,2025-01-01T17:19:31.000000,2025-01-02T05:19:31.000000,0,4,Wednesday,1
CR-100,Single user laptop not connecting to Wi-Fi,Data,John Cena,John Cena,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-01-01T15:31:04.000000,2025-01-01T17:31:04.000000,2025-01-04T09:31:04.000000,0,0,Wednesday,1
CR-101,User not receiving password reset email,Software,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-01-01T20:10:34.000000,2025-01-02T02:10:34.000000,2025-01-02T22:10:34.000000,0,2,Wednesday,1
CR-102,Newly created user not syncing to all systems,Hardware,Thor,Thor,Avengers,Service A,Closed,Medium,High,Medium,High,2025-01-01T10:00:31.000000,2025-01-01T12:00:31.000000,2025-01-02T04:00:31.000000,0,2,Wednesday,1
CR-103,Single sign-on not working for cloud application,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T13:48:54.000000,2025-01-01T15:48:54.000000,2025-01-02T22:48:54.000000,0,1,Wednesday,1
CR-104,Intermittent connectivity issues to file server,Software,Thor,Thor,Avengers,Service B,Closed,High,High,High,Medium,2025-01-01T13:31:48.000000,2025-01-01T16:31:48.000000,2025-01-02T08:31:48.000000,1,3,Wednesday,0
CR-105,Network printer not visible in device list,Access,Thor,Thor,Avengers,Service A,In Progress,Medium,Medium,Low,Medium,2025-01-02T08:35:40.000000,2025-01-02T12:35:40.000000,,0,2,Thursday,1
CR-106,Local profile corrupted on shared workstation,Facilities,Hulk,Hulk,Avengers,Service C,Closed,High,Medium,Medium,Medium,2025-01-02T17:13:56.000000,2025-01-03T01:13:56.000000,2025-01-04T02:13:56.000000,0,1,Thursday,1
CR-107,Application not launching after latest OS update,Facilities,Iron Man,Iron Man,Avengers,Service A,On Hold,High,Critical,Medium,High,2025-01-02T04:29:51.000000,,,0,4,Thursday,1
CR-108,Error while uploading documents to intranet portal,Access,Spiderman,Spiderman,Avengers II,Service B,Closed,High,High,Medium,High,2025-01-02T10:20:10.000000,2025-01-02T18:20:10.000000,2025-01-03T04:20:10.000000,0,3,Thursday,1
CR-109,Printer not printing documents from any workstation,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,High,High,High,2025-01-02T10:13:08.000000,2025-01-02T14:13:08.000000,2025-01-03T00:13:08.000000,0,3,Thursday,1
CR-110,Local profile corrupted on shared workstation,Facilities,Thor,Thor,Avengers,Service B,Closed,Low,High,Medium,High,2025-01-02T13:02:23.000000,2025-01-02T16:02:23.000000,2025-01-03T06:02:23.000000,0,3,Thursday,1
CR-111,Intermittent connectivity issues to file server,Network,Iron Man,Iron Man,Avengers,Service A,New,Medium,Medium,Low,Low,2025-01-02T23:35:54.000000,,,1,2,Thursday,0
CR-112,Firewall blocking legitimate traffic to partner system,Failure,John Cena,John Cena,Matrix,Service C,Closed,High,Medium,Low,Medium,2025-01-02T05:52:57.000000,2025-01-02T08:52:57.000000,2025-01-03T15:52:57.000000,1,1,Thursday,0
CR-113,Printing jobs stuck in queue without error message,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,High,High,High,2025-01-02T19:10:30.000000,2025-01-03T02:10:30.000000,2025-01-03T19:10:30.000000,0,3,Thursday,1
CR-114,Old password still granting access to system,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Medium,Low,Medium,2025-01-02T01:15:54.000000,2025-01-02T07:15:54.000000,2025-01-03T19:15:54.000000,0,2,Thursday,1
CR-115,SSL certificate error when accessing internal site,Software,Captain America,Captain America,Avengers,Service C,Closed,High,Critical,High,High,2025-01-02T12:12:37.000000,2025-01-02T18:12:37.000000,2025-01-02T21:12:37.000000,0,5,Thursday,1
CR-116,Corrupt file detected in document management system,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service B,New,Medium,High,High,High,2025-01-02T02:16:25.000000,,,0,3,Thursday,1
CR-117,User profile not loading correctly after login,Failure,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,High,High,2025-01-02T13:27:53.000000,2025-01-02T15:27:53.000000,2025-01-03T09:27:53.000000,0,3,Thursday,1
CR-118,Intermittent packet loss on WAN link,Data,John Cena,John Cena,Matrix,Service A,Closed,Medium,Low,Low,Low,2025-01-02T12:46:24.000000,2025-01-02T17:46:24.000000,2025-01-05T12:46:24.000000,0,1,Thursday,1
CR-119,Error 500 returned by internal web application,Hardware,Thor,Thor,Avengers,Service A,Closed,Low,High,High,Medium,2025-01-02T15:51:17.000000,2025-01-02T18:51:17.000000,2025-01-03T00:51:17.000000,0,3,Thursday,1
CR-120,User home drive not mapping at login,Access,Loki,Loki,Avengers,Service C,On Hold,Low,Critical,Medium,High,2025-01-02T13:28:56.000000,,,0,5,Thursday,1
