Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag
CR-47,Inconsistent permission errors on shared folders,Failure,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-04T22:20:47.000000,2025-01-05T06:20:47.000000,2025-01-05T14:20:47.000000,0,4,Saturday,1
CR-48,Intermittent authentication failures for single sign-on,Facilities,Neo,Neo,Matrix,Service C,Closed,Medium,Low,Low,Low,2025-01-04T19:27:20.000000,2025-01-04T22:27:20.000000,2025-01-05T23:27:20.000000,0,0,Saturday,1
CR-49,Recurring time synchronization issues across servers,Hardware,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-04T04:52:02.000000,2025-01-04T10:52:02.000000,2025-01-05T14:52:02.000000,0,1,Saturday,1
CR-50,Periodic high CPU usage on database server causing slow queries,Access,John Cena,John Cena,Matrix,Service A,Closed,Medium,Medium,Low,Medium,2025-01-05T07:50:27.000000,2025-01-05T09:50:27.000000,2025-01-06T11:50:27.000000,0,2,Sunday,1
CR-51,Recurring disk space shortages on application servers,Network,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-05T00:17:35.000000,2025-01-05T02:17:35.000000,2025-01-05T16:17:35.000000,0,1,Sunday,1
CR-52,Intermittent failures of web proxy authentication,Complaint,Thor,Thor,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-05T11:33:52.000000,2025-01-05T14:33:52.000000,2025-01-05T15:33:52.000000,0,5,Sunday,1
CR-53,Recurring performance degradation on core banking application,Hardware,John Wick,John Wick,Matrix,Service C,New,Medium,Critical,High,Medium,2025-01-05T14:12:29.000000,,,0,4,Sunday,1
CR-54,Random failures in software deployment to endpoints,Hardware,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Critical,High,High,2025-01-05T10:43:46.000000,2025-01-05T18:43:46.000000,2025-01-06T03:43:46.000000,0,5,Sunday,1
CR-55,Recurring SSL certificate errors for internal applications,Network,Captain America,Captain America,Avengers,Service A,Closed,Low,Medium,Medium,Medium,2025-01-06T14:17:14.000000,2025-01-06T17:17:14.000000,2025-01-07T05:17:14.000000,0,1,Monday,1
CR-56,Inconsistent application behavior after automated updates,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-06T13:37:44.000000,2025-01-06T17:37:44.000000,2025-01-07T11:37:44.000000,0,2,Monday,1
CR-57,Intermittent authentication failures for single sign-on,Access,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,High,Medium,Medium,2025-01-06T07:59:34.000000,2025-01-06T15:59:34.000000,2025-01-07T14:59:34.000000,0,2,Monday,1
CR-58,Frequent VPN disconnections during peak hours,Access,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Low,Medium,Medium,Low,2025-01-06T08:17:47.000000,2025-01-06T13:17:47.000000,2025-01-07T19:17:47.000000,0,1,Monday,1
CR-59,Session timeouts occurring too frequently for web application,Access,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,Medium,Medium,Low,2025-01-06T18:09:06.000000,2025-01-06T20:09:06.000000,2025-01-07T10:09:06.000000,1,1,Monday,0
CR-60,Random application crashes on client workstations,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,High,High,High,2025-01-06T05:46:39.000000,2025-01-06T07:46:39.000000,2025-01-06T13:46:39.000000,0,2,Monday,1
CR-61,Recurring disk space shortages on application servers,Data,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,High,Critical,High,High,2025-01-06T13:56:31.000000,2025-01-06T19:56:31.000000,2025-01-07T05:56:31.000000,0,4,Monday,1
CR-62,Random failures in software deployment to endpoints,Access,Thor,Thor,Avengers,Service A,In Progress,Low,Critical,High,High,2025-01-06T23:19:30.000000,2025-01-07T04:19:30.000000,,0,4,Monday,1
CR-63,Unstable connection to remote branches over WAN,Data,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Low,Low,Low,2025-01-06T03:32:02.000000,2025-01-06T09:32:02.000000,2025-01-08T17:32:02.000000,0,1,Monday,1
CR-64,Recurring time synchronization issues across servers,Network,John Cena,John Cena,Matrix,Service A,In Progress,Medium,High,High,Low,2025-01-06T09:37:44.000000,2025-01-06T13:37:44.000000,,0,3,Monday,1
CR-65,Random system reboots on specific hardware model,Access,Captain America,Captain America,Avengers,Service C,Closed,High,Critical,High,High,2025-01-06T01:24:50.000000,2025-01-06T09:24:50.000000,2025-01-06T13:24:50.000000,0,5,Monday,1
CR-66,Inconsistent application behavior after automated updates,Data,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Critical,High,Medium,2025-01-06T22:58:09.000000,2025-01-07T06:58:09.000000,2025-01-07T11:58:09.000000,0,4,Monday,1
CR-67,Recurring SSL certificate errors for internal applications,Hardware,Batman,Batman,Matrix,Service B,Closed,High,Low,Low,Low,2025-01-06T18:14:00.000000,2025-01-06T22:14:00.000000,2025-01-09T20:14:00.000000,1,1,Monday,0
CR-68,Random disconnections from database for application services,Hardware,Loki,Loki,Avengers,Service B,Closed,Medium,High,High,High,2025-01-06T13:07:49.000000,2025-01-06T19:07:49.000000,2025-01-07T01:07:49.000000,1,2,Monday,0
CR-69,Session timeouts occurring too frequently for web application,Hardware,John Wick,John Wick,Matrix,Service A,Closed,Low,High,High,Medium,2025-01-06T16:46:14.000000,2025-01-06T22:46:14.000000,2025-01-07T06:46:14.000000,0,3,Monday,1
CR-70,Recurring performance issues on storage system,Complaint,Thor,Thor,Avengers,Service A,Closed,Low,High,Medium,Low,2025-01-06T02:17:08.000000,2025-01-06T10:17:08.000000,2025-01-07T04:17:08.000000,0,2,Monday,1
CR-71,Inconsistent access to archived email system,Data,Batman,Batman,Matrix,Service B,Closed,High,Low,Low,Low,2025-01-07T08:57:21.000000,2025-01-07T11:57:21.000000,2025-01-09T10:57:21.000000,0,1,Tuesday,1
CR-72,Intermittent email delivery delays to external domains,Software,John Cena,John Cena,Matrix,Service C,Closed,High,High,High,High,2025-01-07T03:52:29.000000,2025-01-07T11:52:29.000000,2025-01-08T09:52:29.000000,0,3,Tuesday,1
CR-73,Unreliable backup completion for certain file shares,Facilities,Spiderman,Spiderman,Avengers II,Service B,On Hold,High,Critical,Medium,High,2025-01-07T21:24:51.000000,,,0,3,Tuesday,1
CR-74,Intermittent login issues after password changes,Software,John Wick,John Wick,Matrix,Service A,Closed,Low,Medium,Medium,Medium,2025-01-07T04:28:32.000000,2025-01-07T12:28:32.000000,2025-01-08T09:28:32.000000,1,1,Tuesday,0
CR-75,Intermittent connectivity issues to cloud-hosted applications,Complaint,John Cena,John Cena,Matrix,Service C,Closed,Low,Medium,Low,Medium,2025-01-07T14:24:31.000000,2025-01-07T19:24:31.000000,2025-01-08T16:24:31.000000,0,2,Tuesday,1
CR-76,Scheduled batch jobs failing intermittently without clear error,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-07T07:25:21.000000,2025-01-07T15:25:21.000000,2025-01-08T23:25:21.000000,0,1,Tuesday,1
CR-77,Frequent VPN disconnections during peak hours,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Critical,High,High,2025-01-07T04:28:29.000000,2025-01-07T07:28:29.000000,2025-01-07T17:28:29.000000,0,3,Tuesday,1
CR-78,Random system reboots on specific hardware model,Network,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Critical,High,Medium,2025-01-07T20:17:48.000000,2025-01-08T02:17:48.000000,2025-01-08T14:17:48.000000,0,4,Tuesday,1
CR-79,Inconsistent access to archived email system,Software,Thor,Thor,Avengers,Service C,Closed,Medium,High,High,High,2025-01-07T04:55:32.000000,2025-01-07T10:55:32.000000,2025-01-07T23:55:32.000000,0,2,Tuesday,1
CR-80,Random system reboots on specific hardware model,Failure,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Medium,Low,Medium,2025-01-07T12:12:11.000000,2025-01-07T14:12:11.000000,2025-01-08T05:12:11.000000,0,1,Tuesday,1
CR-81,Recurring performance degradation on core banking application,Failure,Batman,Batman,Matrix,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-07T18:37:50.000000,2025-01-07T20:37:50.000000,2025-01-08T22:37:50.000000,0,2,Tuesday,1
CR-82,Unreliable backup completion for certain file shares,Data,John Wick,John Wick,Matrix,Service C,Closed,High,High,High,High,2025-01-07T13:25:01.000000,2025-01-07T17:25:01.000000,2025-01-08T17:25:01.000000,0,2,Tuesday,1
CR-83,Intermittent VoIP call quality issues and audio dropouts,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-07T17:20:30.000000,2025-01-07T22:20:30.000000,2025-01-08T12:20:30.000000,0,1,Tuesday,1
CR-84,Intermittent failures when connecting to external partner systems,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Medium,Critical,Medium,High,2025-01-07T03:24:17.000000,2025-01-07T11:24:17.000000,2025-01-07T20:24:17.000000,0,3,Tuesday,1
CR-85,Unstable Wi-Fi coverage in specific office area,Access,Captain Marvel,Captain Marvel,Avengers II,Service C,On Hold,Medium,Low,Low,Low,2025-01-07T16:57:31.000000,,,0,1,Tuesday,1
CR-86,Recurring time synchronization issues across servers,Failure,Loki,Loki,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-07T12:38:16.000000,2025-01-07T14:38:16.000000,2025-01-07T15:38:16.000000,1,5,Tuesday,0
CR-87,Intermittent access issues to HR web portal,Hardware,Loki,Loki,Avengers,Service B,Closed,Low,Critical,High,High,2025-01-07T10:35:57.000000,2025-01-07T12:35:57.000000,2025-01-07T19:35:57.000000,0,4,Tuesday,1
CR-88,Unreliable backup completion for certain file shares,Hardware,Thor,Thor,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-01-07T09:43:39.000000,2025-01-07T16:43:39.000000,2025-01-10T12:43:39.000000,1,0,Tuesday,0
CR-89,Frequent errors in scheduled report generation processes,Complaint,Captain America,Captain America,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-07T08:52:36.000000,2025-01-07T16:52:36.000000,2025-01-07T22:52:36.000000,1,5,Tuesday,0
CR-90,Recurring high latency reported in video conferencing sessions,Complaint,Loki,Loki,Avengers,Service C,In Progress,Medium,High,High,High,2025-01-07T07:25:49.000000,2025-01-07T09:25:49.000000,,1,2,Tuesday,0
CR-91,Recurring performance degradation on core banking application,Network,Hulk,Hulk,Avengers,Service C,Closed,Medium,Medium,Low,Medium,2025-01-07T22:57:50.000000,2025-01-08T02:57:50.000000,2025-01-08T21:57:50.000000,0,1,Tuesday,1
CR-92,Frequent VPN disconnections during peak hours,Failure,Batman,Batman,Matrix,Service B,In Progress,Medium,Medium,Medium,Low,2025-01-07T13:20:29.000000,2025-01-07T19:20:29.000000,,0,2,Tuesday,1
CR-93,Intermittent VoIP call quality issues and audio dropouts,Network,John Cena,John Cena,Matrix,Service B,Closed,Medium,Low,Low,Low,2025-01-08T01:14:59.000000,2025-01-08T07:14:59.000000,2025-01-10T03:14:59.000000,0,0,Wednesday,1
CR-94,Recurring errors in CRM system data synchronization,Data,Captain America,Captain America,Avengers,Service A,Closed,High,High,Medium,Medium,2025-01-08T07:29:15.000000,2025-01-08T11:29:15.000000,2025-01-09T07:29:15.000000,1,3,Wednesday,0
CR-95,Intermittent login issues after password changes,Access,Iron Man,Iron Man,Avengers,Service B,Closed,High,Critical,High,Medium,2025-01-08T20:41:33.000000,2025-01-09T00:41:33.000000,2025-01-09T05:41:33.000000,1,3,Wednesday,0
CR-96,Random freezing of operating system on virtual desktops,Facilities,John Wick,John Wick,Matrix,Service A,Closed,Medium,Low,Low,Low,2025-01-08T02:37:18.000000,2025-01-08T08:37:18.000000,2025-01-09T23:37:18.000000,0,0,Wednesday,1
CR-97,Intermittent VoIP call quality issues and audio dropouts,Complaint,Captain America,Captain America,Avengers,Service B,In Progress,High,Critical,Medium,High,2025-01-08T21:14:16.000000,2025-01-09T01:14:16.000000,,0,3,Wednesday,1
CR-98,Intermittent connectivity issues to cloud-hosted applications,Access,Hulk,Hulk,Avengers,Service B,Closed,Low,Low,Low,Low,2025-01-08T21:14:22.000000,2025-01-08T23:14:22.000000,2025-01-10T03:14:22.000000,0,1,Wednesday,1
CR-99,Scheduled batch jobs failing intermittently without clear error,Software,Captain America,Captain America,Avengers,Service C,Closed,Medium,Critical,High,Medium,2025-01-08T11:38:49.000000,2025-01-08T17:38:49.000000,2025-01-09T03:38:49.000000,1,3,Wednesday,0
CR-100,Random disconnections from database for application services,Hardware,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,High,Medium,High,2025-01-08T23:04:44.000000,2025-01-09T01:04:44.000000,2025-01-09T23:04:44.000000,0,3,Wednesday,1
CR-101,Unstable Wi-Fi coverage in specific office area,Complaint,Neo,Neo,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-01-08T21:55:31.000000,2025-01-09T01:55:31.000000,2025-01-10T05:55:31.000000,0,2,Wednesday,1
CR-102,Random disconnections from database for application services,Hardware,Thor,Thor,Avengers,Service A,Closed,Low,High,High,High,2025-01-08T10:34:25.000000,2025-01-08T15:34:25.000000,2025-01-09T01:34:25.000000,0,3,Wednesday,1
CR-103,Inconsistent permission errors on shared folders,Facilities,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,High,Medium,High,2025-01-08T20:58:12.000000,2025-01-09T00:58:12.000000,2025-01-09T10:58:12.000000,0,3,Wednesday,1
CR-104,Intermittent failures of web proxy authentication,Facilities,Captain America,Captain America,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-08T20:22:39.000000,2025-01-08T22:22:39.000000,2025-01-09T10:22:39.000000,0,4,Wednesday,1
CR-105,Inconsistent behavior of multi-factor authentication prompts,Hardware,Hulk,Hulk,Avengers,Service B,Closed,Medium,Low,Low,Low,2025-01-08T07:04:27.000000,2025-01-08T10:04:27.000000,2025-01-09T16:04:27.000000,0,1,Wednesday,1
CR-106,Random application crashes on client workstations,Failure,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-01-08T08:50:23.000000,2025-01-08T14:50:23.000000,2025-01-10T02:50:23.000000,0,1,Wednesday,1
CR-107,Slow file access on shared network drives during business hours,Network,Thor,Thor,Avengers,Service A,Closed,High,Critical,High,Medium,2025-01-08T10:21:52.000000,2025-01-08T18:21:52.000000,2025-01-09T05:21:52.000000,0,5,Wednesday,1
CR-108,Intermittent VoIP call quality issues and audio dropouts,Failure,Spiderman,Spiderman,Avengers II,Service A,Closed,Low,High,High,High,2025-01-08T05:04:11.000000,2025-01-08T11:04:11.000000,2025-01-09T05:04:11.000000,0,3,Wednesday,1
CR-109,Intermittent failures of web proxy authentication,Failure,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,High,High,2025-01-08T18:13:59.000000,2025-01-08T20:13:59.000000,2025-01-09T13:13:59.000000,0,2,Wednesday,1
CR-110,Recurring problems with email calendar synchronization,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-01-08T19:57:49.000000,2025-01-09T02:57:49.000000,2025-01-10T08:57:49.000000,0,1,Wednesday,1
CR-111,Recurring high latency reported in video conferencing sessions,Hardware,Hulk,Hulk,Avengers,Service B,New,Medium,High,Medium,Medium,2025-01-08T22:40:02.000000,,,0,3,Wednesday,1
CR-112,Scheduled batch jobs failing intermittently without clear error,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Critical,Medium,High,2025-01-08T09:03:26.000000,2025-01-08T16:03:26.000000,2025-01-08T22:03:26.000000,0,4,Wednesday,1
CR-113,Recurring printer spooler service failures on print server,Complaint,John Cena,John Cena,Matrix,Service C,Closed,Medium,Medium,Low,Low,2025-01-09T21:58:15.000000,2025-01-10T00:58:15.000000,2025-01-10T23:58:15.000000,0,2,Thursday,1
CR-114,Periodic high CPU usage on database server causing slow queries,Hardware,Captain America,Captain America,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-09T05:21:54.000000,2025-01-09T10:21:54.000000,2025-01-09T22:21:54.000000,0,3,Thursday,1
CR-115,Intermittent failures of web proxy authentication,Hardware,Hulk,Hulk,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-09T18:55:27.000000,2025-01-09T20:55:27.000000,2025-01-09T22:55:27.000000,0,4,Thursday,1
