Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach,Week
CR-11,Random application crashes on client workstations,Access,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Medium,Medium,Medium,Low,2025-01-01T18:02:39.000000,2025-01-02T00:02:39.000000,2025-01-02T14:02:39.000000,0,1,Wednesday,1,6.0,14.0,20.0,0,2025-01
CR-12,Recurring performance degradation on core banking application,Access,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,Low,Medium,Low,Medium,2025-01-01T16:39:47.000000,2025-01-01T21:39:47.000000,2025-01-02T19:39:47.000000,0,1,Wednesday,1,5.0,22.0,27.0,0,2025-01
CR-13,Random system reboots on specific hardware model,Failure,Thor,Thor,Avengers,Service C,Closed,Medium,High,Medium,High,2025-01-01T01:21:25.000000,2025-01-01T09:21:25.000000,2025-01-01T23:21:25.000000,0,2,Wednesday,1,8.0,14.0,22.0,1,2025-01
CR-14,Recurring DNS resolution failures for internal hostnames,Complaint,Spiderman,Spiderman,Avengers II,Service C,New,High,High,High,Low,2025-01-01T04:22:31.000000,,,0,2,Wednesday,1,,,,0,2025-01
CR-15,Frequent account lockouts for multiple users,Complaint,Captain America,Captain America,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T07:32:58.000000,2025-01-01T15:32:58.000000,2025-01-01T17:32:58.000000,0,4,Wednesday,1,8.0,2.0,10.0,0,2025-01
CR-16,Periodic issues with remote desktop sessions not reconnecting,Network,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-01-01T19:55:59.000000,2025-01-02T03:55:59.000000,2025-01-03T05:55:59.000000,0,2,Wednesday,1,8.0,26.0,34.0,1,2025-01
CR-17,Inconsistent synchronization between production and reporting databases,Network,John Cena,John Cena,Matrix,Service C,Closed,High,Medium,Medium,Medium,2025-01-01T05:20:23.000000,2025-01-01T13:20:23.000000,2025-01-02T02:20:23.000000,0,1,Wednesday,1,8.0,13.0,21.0,0,2025-01
CR-18,Periodic failures in monitoring alerts delivery,Network,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,Critical,High,High,2025-01-02T17:41:05.000000,2025-01-02T19:41:05.000000,2025-01-03T05:41:05.000000,0,4,Thursday,1,2.0,10.0,12.0,1,2025-01
CR-19,Random failures in software deployment to endpoints,Software,Hulk,Hulk,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-02T01:46:57.000000,2025-01-02T09:46:57.000000,2025-01-02T10:46:57.000000,0,4,Thursday,1,8.0,1.0,9.0,0,2025-01
CR-20,Session timeouts occurring too frequently for web application,Hardware,Thor,Thor,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-02T14:29:13.000000,2025-01-02T17:29:13.000000,2025-01-03T23:29:13.000000,1,1,Thursday,0,3.0,30.0,33.0,1,2025-01
CR-21,Recurring DNS resolution failures for internal hostnames,Hardware,Iron Man,Iron Man,Avengers,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-02T04:38:42.000000,2025-01-02T11:38:42.000000,2025-01-03T00:38:42.000000,0,1,Thursday,1,7.0,13.0,20.0,0,2025-01
CR-22,Frequent account lockouts for multiple users,Data,Loki,Loki,Avengers,Service B,Closed,Low,Critical,High,Medium,2025-01-02T01:19:34.000000,2025-01-02T04:19:34.000000,2025-01-02T07:19:34.000000,1,5,Thursday,0,3.0,3.0,6.0,0,2025-01
CR-23,Recurring printing failures for specific printer models,Complaint,Captain America,Captain America,Avengers,Service A,Closed,Low,Low,Low,Low,2025-01-02T16:39:48.000000,2025-01-02T19:39:48.000000,2025-01-05T03:39:48.000000,0,0,Thursday,1,3.0,56.0,59.0,1,2025-01
CR-24,Periodic high CPU usage on database server causing slow queries,Access,John Wick,John Wick,Matrix,Service C,Closed,High,High,High,Medium,2025-01-02T20:59:48.000000,2025-01-03T03:59:48.000000,2025-01-03T21:59:48.000000,1,3,Thursday,0,7.0,18.0,25.0,1,2025-01
CR-25,Periodic high CPU usage on database server causing slow queries,Access,Neo,Neo,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-01-02T14:25:10.000000,2025-01-02T20:25:10.000000,2025-01-04T02:25:10.000000,0,1,Thursday,1,6.0,30.0,36.0,1,2025-01
CR-26,Inconsistent access to archived email system,Facilities,Thor,Thor,Avengers,Service A,Closed,Low,High,High,Medium,2025-01-02T11:45:58.000000,2025-01-02T17:45:58.000000,2025-01-03T03:45:58.000000,0,3,Thursday,1,6.0,10.0,16.0,1,2025-01
CR-27,Intermittent failures in automated file transfer jobs,Network,Iron Man,Iron Man,Avengers,Service C,Closed,Low,High,High,Medium,2025-01-02T09:24:40.000000,2025-01-02T17:24:40.000000,2025-01-03T12:24:40.000000,0,3,Thursday,1,8.0,19.0,27.0,1,2025-01
CR-28,Unstable Wi-Fi coverage in specific office area,Data,John Wick,John Wick,Matrix,Service B,In Progress,Low,Medium,Low,Medium,2025-01-02T23:43:40.000000,2025-01-03T03:43:40.000000,,0,2,Thursday,1,4.0,,,0,2025-01
CR-29,Random failures in software deployment to endpoints,Failure,Neo,Neo,Matrix,Service C,Closed,Low,Critical,High,High,2025-01-02T08:55:16.000000,2025-01-02T11:55:16.000000,2025-01-02T13:55:16.000000,0,4,Thursday,1,3.0,2.0,5.0,0,2025-01
CR-30,Recurring time synchronization issues across servers,Complaint,Captain America,Captain America,Avengers,Service B,Closed,Low,Critical,High,Medium,2025-01-02T01:47:36.000000,2025-01-02T05:47:36.000000,2025-01-02T10:47:36.000000,0,5,Thursday,1,4.0,5.0,9.0,1,2025-01
CR-31,Random disconnections from database for application services,Facilities,Thor,Thor,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-02T06:15:38.000000,2025-01-02T13:15:38.000000,2025-01-03T00:15:38.000000,0,4,Thursday,1,7.0,11.0,18.0,1,2025-01
CR-32,Inconsistent synchronization between production and reporting databases,Software,Jack Sparrow,Jack Sparrow,Matrix,Service B,Closed,High,Medium,Medium,Medium,2025-01-02T18:03:50.000000,2025-01-02T22:03:50.000000,2025-01-04T00:03:50.000000,0,1,Thursday,1,4.0,26.0,30.0,1,2025-01
CR-33,Frequent account lockouts for multiple users,Software,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Low,Medium,Medium,Medium,2025-01-03T09:16:28.000000,2025-01-03T12:16:28.000000,2025-01-04T13:16:28.000000,0,1,Friday,1,3.0,25.0,28.0,1,2025-01
CR-34,Recurring time synchronization issues across servers,Access,Captain America,Captain America,Avengers,Service C,On Hold,Low,Low,Low,Low,2025-01-03T07:24:43.000000,,,1,1,Friday,0,,,,0,2025-01
CR-35,Intermittent connectivity issues to cloud-hosted applications,Software,Loki,Loki,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-03T03:54:27.000000,2025-01-03T08:54:27.000000,2025-01-04T11:54:27.000000,0,2,Friday,1,5.0,27.0,32.0,1,2025-01
CR-36,Recurring performance degradation on core banking application,Access,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-03T11:02:23.000000,2025-01-03T16:02:23.000000,2025-01-04T09:02:23.000000,1,2,Friday,0,5.0,17.0,22.0,0,2025-01
CR-37,Intermittent failures when connecting to external partner systems,Network,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,Critical,High,High,2025-01-03T16:01:28.000000,2025-01-03T20:01:28.000000,2025-01-04T05:01:28.000000,0,5,Friday,1,4.0,9.0,13.0,1,2025-01
CR-38,Inconsistent access to archived email system,Software,Thor,Thor,Avengers,Service C,Closed,Low,Critical,High,Medium,2025-01-03T14:13:55.000000,2025-01-03T20:13:55.000000,2025-01-04T07:13:55.000000,0,3,Friday,1,6.0,11.0,17.0,1,2025-01
CR-39,Inconsistent behavior of multi-factor authentication prompts,Access,Iron Man,Iron Man,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-03T02:27:58.000000,2025-01-03T06:27:58.000000,2025-01-03T13:27:58.000000,0,5,Friday,1,4.0,7.0,11.0,1,2025-01
CR-40,Scheduled batch jobs failing intermittently without clear error,Complaint,John Wick,John Wick,Matrix,Service A,Closed,High,Critical,High,High,2025-01-03T05:33:04.000000,2025-01-03T09:33:04.000000,2025-01-03T20:33:04.000000,0,3,Friday,1,4.0,11.0,15.0,1,2025-01
CR-41,Frequent corruption of user profiles on shared workstations,Hardware,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Medium,Low,Low,2025-01-03T06:32:57.000000,2025-01-03T09:32:57.000000,2025-01-04T13:32:57.000000,1,2,Friday,0,3.0,28.0,31.0,1,2025-01
CR-42,Recurring DNS resolution failures for internal hostnames,Network,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,High,Medium,High,2025-01-04T07:34:49.000000,2025-01-04T12:34:49.000000,2025-01-05T01:34:49.000000,0,3,Saturday,1,5.0,13.0,18.0,1,2025-01
CR-43,Periodic failures in monitoring alerts delivery,Hardware,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,Medium,Low,Medium,2025-01-04T20:11:41.000000,2025-01-05T04:11:41.000000,2025-01-06T06:11:41.000000,0,1,Saturday,1,8.0,26.0,34.0,1,2025-01
CR-44,Recurring performance issues on storage system,Data,John Cena,John Cena,Matrix,Service B,Closed,Medium,High,High,High,2025-01-04T22:07:52.000000,2025-01-05T04:07:52.000000,2025-01-05T19:07:52.000000,0,3,Saturday,1,6.0,15.0,21.0,1,2025-01
CR-45,Intermittent VoIP call quality issues and audio dropouts,Complaint,Thor,Thor,Avengers,Service A,Closed,High,High,High,High,2025-01-04T02:29:35.000000,2025-01-04T10:29:35.000000,2025-01-05T02:29:35.000000,0,2,Saturday,1,8.0,16.0,24.0,1,2025-01
CR-46,Session timeouts occurring too frequently for web application,Access,Thor,Thor,Avengers,Service C,On Hold,Low,Medium,Medium,Medium,2025-01-04T04:46:55.000000,,,1,2,Saturday,0,,,,0,2025-01
CR-47,Intermittent network connectivity issues reported by multiple users,Failure,Captain America,Captain America,Avengers,Service A,New,Medium,Critical,High,High,2025-01-04T02:12:17.000000,,,0,3,Saturday,1,,,,0,2025-01
CR-48,Intermittent login issues after password changes,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Medium,Low,Medium,2025-01-04T12:22:55.000000,2025-01-04T15:22:55.000000,2025-01-06T00:22:55.000000,0,2,Saturday,1,3.0,33.0,36.0,1,2025-01
CR-49,Unstable Wi-Fi coverage in specific office area,Software,Hulk,Hulk,Avengers,Service C,Closed,Medium,High,High,High,2025-01-04T22:14:00.000000,2025-01-05T02:14:00.000000,2025-01-05T17:14:00.000000,0,2,Saturday,1,4.0,15.0,19.0,1,2025-01
CR-50,Recurring time synchronization issues across servers,Failure,Thor,Thor,Avengers,Service C,Closed,Medium,High,High,Medium,2025-01-04T23:20:32.000000,2025-01-05T05:20:32.000000,2025-01-05T12:20:32.000000,1,3,Saturday,0,6.0,7.0,13.0,0,2025-01
CR-51,Random application crashes on client workstations,Complaint,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,High,Medium,Medium,2025-01-04T16:25:07.000000,2025-01-04T20:25:07.000000,2025-01-05T09:25:07.000000,0,3,Saturday,1,4.0,13.0,17.0,1,2025-01
CR-52,Recurring performance issues on storage system,Failure,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-01-04T09:41:41.000000,2025-01-04T11:41:41.000000,2025-01-05T07:41:41.000000,0,2,Saturday,1,2.0,20.0,22.0,0,2025-01
CR-53,Random loss of mapped network drives on login,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-05T11:38:49.000000,2025-01-05T16:38:49.000000,2025-01-07T03:38:49.000000,1,2,Sunday,0,5.0,35.0,40.0,1,2025-01
CR-54,Random loss of mapped network drives on login,Network,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Low,Low,Low,2025-01-05T10:57:58.000000,2025-01-05T17:57:58.000000,2025-01-07T08:57:58.000000,0,0,Sunday,1,7.0,39.0,46.0,0,2025-01
CR-55,Unreliable backup completion for certain file shares,Hardware,Loki,Loki,Avengers,Service C,In Progress,High,Critical,High,High,2025-01-05T03:44:39.000000,2025-01-05T09:44:39.000000,,1,3,Sunday,0,6.0,,,0,2025-01
CR-56,Frequent errors in scheduled report generation processes,Access,Neo,Neo,Matrix,Service A,Closed,Low,High,High,High,2025-01-05T12:04:57.000000,2025-01-05T16:04:57.000000,2025-01-06T15:04:57.000000,0,3,Sunday,1,4.0,23.0,27.0,1,2025-01
CR-57,Recurring printer spooler service failures on print server,Failure,Thor,Thor,Avengers,Service C,Closed,Medium,High,Medium,High,2025-01-05T17:05:06.000000,2025-01-06T01:05:06.000000,2025-01-06T07:05:06.000000,0,3,Sunday,1,8.0,6.0,14.0,0,2025-01
CR-58,Frequent issues with file version conflicts on shared drives,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Low,Medium,Medium,Low,2025-01-06T04:54:09.000000,2025-01-06T06:54:09.000000,2025-01-06T20:54:09.000000,0,2,Monday,1,2.0,14.0,16.0,0,2025-02
CR-59,Unreliable backup completion for certain file shares,Data,Thor,Thor,Avengers,Service A,Closed,High,Medium,Low,Low,2025-01-06T21:02:46.000000,2025-01-07T00:02:46.000000,2025-01-08T05:02:46.000000,0,1,Monday,1,3.0,29.0,32.0,1,2025-02
CR-60,Unreliable backup completion for certain file shares,Facilities,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,High,Medium,Medium,2025-01-06T02:40:10.000000,2025-01-06T10:40:10.000000,2025-01-06T20:40:10.000000,1,2,Monday,0,8.0,10.0,18.0,1,2025-02
CR-61,Frequent account lockouts for multiple users,Data,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Critical,High,High,2025-01-06T06:54:23.000000,2025-01-06T12:54:23.000000,2025-01-06T20:54:23.000000,0,3,Monday,1,6.0,8.0,14.0,1,2025-02
CR-62,Intermittent failures of web proxy authentication,Failure,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,High,Medium,High,2025-01-06T04:27:18.000000,2025-01-06T12:27:18.000000,2025-01-07T08:27:18.000000,0,2,Monday,1,8.0,20.0,28.0,1,2025-02
CR-63,Session timeouts occurring too frequently for web application,Software,John Cena,John Cena,Matrix,Service B,Closed,High,Low,Low,Low,2025-01-06T20:51:55.000000,2025-01-07T00:51:55.000000,2025-01-09T15:51:55.000000,0,0,Monday,1,4.0,63.0,67.0,1,2025-02
CR-64,Intermittent failures when connecting to external partner systems,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,Closed,Low,Critical,High,High,2025-01-06T12:22:02.000000,2025-01-06T14:22:02.000000,2025-01-06T18:22:02.000000,0,5,Monday,1,2.0,4.0,6.0,0,2025-02
CR-65,Unreliable backup completion for certain file shares,Access,Spiderman,Spiderman,Avengers II,Service A,Closed,Medium,Low,Low,Low,2025-01-06T04:58:17.000000,2025-01-06T06:58:17.000000,2025-01-08T01:58:17.000000,1,1,Monday,0,2.0,43.0,45.0,0,2025-02
CR-66,Periodic failures in monitoring alerts delivery,Network,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,Medium,2025-01-06T11:45:18.000000,2025-01-06T17:45:18.000000,2025-01-07T04:45:18.000000,0,5,Monday,1,6.0,11.0,17.0,1,2025-02
CR-67,Random system reboots on specific hardware model,Data,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Medium,Low,Low,Low,2025-01-06T20:44:57.000000,2025-01-06T23:44:57.000000,2025-01-08T02:44:57.000000,0,1,Monday,1,3.0,27.0,30.0,0,2025-02
CR-68,Recurring SSL certificate errors for internal applications,Network,Iron Man,Iron Man,Avengers,Service A,In Progress,Medium,Critical,High,High,2025-01-06T02:58:58.000000,2025-01-06T05:58:58.000000,,0,3,Monday,1,3.0,,,0,2025-02
CR-69,Random application crashes on client workstations,Network,Spiderman,Spiderman,Avengers II,Service C,Closed,Low,Critical,High,Medium,2025-01-06T19:32:54.000000,2025-01-06T21:32:54.000000,2025-01-07T04:32:54.000000,0,5,Monday,1,2.0,7.0,9.0,1,2025-02
CR-70,Random failures in software deployment to endpoints,Hardware,Iron Man,Iron Man,Avengers,Service A,New,Low,High,High,Low,2025-01-06T18:57:20.000000,,,1,2,Monday,0,,,,0,2025-02
CR-71,Intermittent email delivery delays to external domains,Facilities,Loki,Loki,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-06T17:19:09.000000,2025-01-06T20:19:09.000000,2025-01-07T19:19:09.000000,0,1,Monday,1,3.0,23.0,26.0,0,2025-02
CR-72,Intermittent VoIP call quality issues and audio dropouts,Facilities,John Cena,John Cena,Matrix,Service C,Closed,Low,Medium,Low,Medium,2025-01-06T06:08:46.000000,2025-01-06T08:08:46.000000,2025-01-06T20:08:46.000000,0,1,Monday,1,2.0,12.0,14.0,0,2025-02
CR-73,Intermittent connectivity issues to cloud-hosted applications,Access,Thor,Thor,Avengers,Service A,Closed,High,Critical,High,High,2025-01-06T17:34:26.000000,2025-01-06T20:34:26.000000,2025-01-06T21:34:26.000000,0,3,Monday,1,3.0,1.0,4.0,0,2025-02
CR-74,Unreliable backup completion for certain file shares,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,High,High,High,High,2025-01-06T02:46:37.000000,2025-01-06T08:46:37.000000,2025-01-06T14:46:37.000000,1,3,Monday,0,6.0,6.0,12.0,0,2025-02
CR-75,Unstable connection to remote branches over WAN,Complaint,Captain America,Captain America,Avengers,Service B,New,High,Critical,High,High,2025-01-06T11:54:52.000000,,,0,4,Monday,1,,,,0,2025-02
CR-76,Periodic high CPU usage on database server causing slow queries,Data,Thor,Thor,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-06T08:58:48.000000,2025-01-06T16:58:48.000000,2025-01-06T19:58:48.000000,0,4,Monday,1,8.0,3.0,11.0,0,2025-02
CR-77,Recurring performance degradation on core banking application,Software,Loki,Loki,Avengers,Service B,Closed,Low,High,High,Medium,2025-01-07T20:49:14.000000,2025-01-08T00:49:14.000000,2025-01-08T11:49:14.000000,0,2,Tuesday,1,4.0,11.0,15.0,1,2025-02
CR-78,Intermittent failures of web proxy authentication,Access,Neo,Neo,Matrix,Service B,Closed,Low,Medium,Low,Medium,2025-01-07T05:11:12.000000,2025-01-07T12:11:12.000000,2025-01-08T09:11:12.000000,0,1,Tuesday,1,7.0,21.0,28.0,0,2025-02
CR-79,Unstable connection to remote branches over WAN,Complaint,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-07T08:16:36.000000,2025-01-07T13:16:36.000000,2025-01-07T18:16:36.000000,1,5,Tuesday,0,5.0,5.0,10.0,1,2025-02
CR-80,Frequent errors in scheduled report generation processes,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-07T10:58:27.000000,2025-01-07T12:58:27.000000,2025-01-07T19:58:27.000000,0,5,Tuesday,1,2.0,7.0,9.0,1,2025-02
CR-81,Recurring performance issues on storage system,Access,Loki,Loki,Avengers,Service B,Closed,High,Critical,High,Medium,2025-01-07T12:25:17.000000,2025-01-07T14:25:17.000000,2025-01-07T17:25:17.000000,1,4,Tuesday,0,2.0,3.0,5.0,0,2025-02
CR-82,Intermittent access issues to HR web portal,Access,John Wick,John Wick,Matrix,Service B,Closed,Low,Medium,Low,Medium,2025-01-07T08:16:15.000000,2025-01-07T10:16:15.000000,2025-01-08T08:16:15.000000,0,2,Tuesday,1,2.0,22.0,24.0,0,2025-02
CR-83,Random failures in software deployment to endpoints,Complaint,Spiderman,Spiderman,Avengers II,Service A,New,Low,High,Medium,High,2025-01-07T07:34:03.000000,,,0,3,Tuesday,1,,,,0,2025-02
CR-84,Recurring problems with email calendar synchronization,Failure,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-07T21:55:24.000000,2025-01-07T23:55:24.000000,2025-01-08T05:55:24.000000,0,5,Tuesday,1,2.0,6.0,8.0,1,2025-02
CR-85,Frequent VPN disconnections during peak hours,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Critical,High,High,2025-01-07T16:58:16.000000,2025-01-07T23:58:16.000000,2025-01-08T10:58:16.000000,0,5,Tuesday,1,7.0,11.0,18.0,1,2025-02
CR-86,Recurring performance degradation on core banking application,Software,Thor,Thor,Avengers,Service A,In Progress,Medium,Medium,Medium,Medium,2025-01-07T23:07:44.000000,2025-01-08T04:07:44.000000,,0,1,Tuesday,1,5.0,,,0,2025-02
CR-87,Periodic issues with remote desktop sessions not reconnecting,Data,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-07T14:50:05.000000,2025-01-07T17:50:05.000000,2025-01-08T18:50:05.000000,0,1,Tuesday,1,3.0,25.0,28.0,1,2025-02
CR-88,Recurring time synchronization issues across servers,Data,Neo,Neo,Matrix,Service C,Closed,Medium,Medium,Low,Medium,2025-01-07T14:09:39.000000,2025-01-07T17:09:39.000000,2025-01-08T12:09:39.000000,0,2,Tuesday,1,3.0,19.0,22.0,0,2025-02
CR-89,Inconsistent behavior of multi-factor authentication prompts,Hardware,John Wick,John Wick,Matrix,Service C,In Progress,Low,Critical,High,Medium,2025-01-07T13:03:16.000000,2025-01-07T16:03:16.000000,,0,3,Tuesday,1,3.0,,,0,2025-02
CR-90,Random system reboots on specific hardware model,Complaint,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Low,Medium,2025-01-07T09:08:35.000000,2025-01-07T12:08:35.000000,2025-01-08T18:08:35.000000,0,2,Tuesday,1,3.0,30.0,33.0,1,2025-02
CR-91,Unstable connection to remote branches over WAN,Access,Thor,Thor,Avengers,Service C,Closed,Low,High,High,High,2025-01-07T16:40:01.000000,2025-01-07T18:40:01.000000,2025-01-08T02:40:01.000000,1,3,Tuesday,0,2.0,8.0,10.0,0,2025-02
CR-92,Frequent corruption of user profiles on shared workstations,Software,Spiderman,Spiderman,Avengers II,Service B,Closed,Low,Medium,Medium,Low,2025-01-07T12:02:35.000000,2025-01-07T19:02:35.000000,2025-01-08T20:02:35.000000,0,1,Tuesday,1,7.0,25.0,32.0,1,2025-02
CR-93,Slow file access on shared network drives during business hours,Data,Thor,Thor,Avengers,Service B,Closed,Low,High,High,High,2025-01-07T22:48:37.000000,2025-01-08T03:48:37.000000,2025-01-08T09:48:37.000000,0,3,Tuesday,1,5.0,6.0,11.0,0,2025-02
CR-94,Intermittent failures in automated file transfer jobs,Data,John Wick,John Wick,Matrix,Service B,Closed,Low,Low,Low,Low,2025-01-07T15:51:22.000000,2025-01-07T20:51:22.000000,2025-01-09T10:51:22.000000,0,0,Tuesday,1,5.0,38.0,43.0,0,2025-02
CR-95,Recurring errors in CRM system data synchronization,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Critical,High,High,2025-01-07T20:22:00.000000,2025-01-08T00:22:00.000000,2025-01-08T06:22:00.000000,0,3,Tuesday,1,4.0,6.0,10.0,1,2025-02
CR-96,Random failures in software deployment to endpoints,Hardware,Captain America,Captain America,Avengers,Service A,On Hold,Medium,High,High,High,2025-01-07T15:06:22.000000,,,0,3,Tuesday,1,,,,0,2025-02
CR-97,Frequent account lockouts for multiple users,Facilities,Hulk,Hulk,Avengers,Service A,Closed,Low,Low,Low,Low,2025-01-07T15:08:30.000000,2025-01-07T18:08:30.000000,2025-01-09T16:08:30.000000,0,1,Tuesday,1,3.0,46.0,49.0,0,2025-02
CR-98,Inconsistent access to archived email system,Data,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,High,High,High,2025-01-07T10:44:46.000000,2025-01-07T17:44:46.000000,2025-01-08T04:44:46.000000,0,2,Tuesday,1,7.0,11.0,18.0,1,2025-02
CR-99,Inconsistent behavior of multi-factor authentication prompts,Failure,Shang Chi,Shang Chi,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-01-07T00:14:44.000000,2025-01-07T02:14:44.000000,2025-01-07T19:14:44.000000,0,2,Tuesday,1,2.0,17.0,19.0,0,2025-02
CR-100,Recurring SSL certificate errors for internal applications,Hardware,Batman,Batman,Matrix,Service B,Closed,High,Medium,Low,Low,2025-01-07T06:08:19.000000,2025-01-07T08:08:19.000000,2025-01-07T21:08:19.000000,0,2,Tuesday,1,2.0,13.0,15.0,0,2025-02
CR-101,Recurring performance degradation on core banking application,Network,Neo,Neo,Matrix,Service C,Closed,Medium,High,Medium,High,2025-01-07T23:58:33.000000,2025-01-08T01:58:33.000000,2025-01-09T00:58:33.000000,0,3,Tuesday,1,2.0,23.0,25.0,1,2025-02
