Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Breach Count,Day,Reopen Zero Flag,Time to Response Hours,Processing Time Hours,Total Time Hours,KPI_breach
CR-31,Request for cloud storage account provisioning for upcoming project.,Facilities,Loki,Loki,Avengers,Service A,Closed,Medium,High,Medium,Medium,2025-01-01T06:56:20.000000,2025-01-01T08:56:20.000000,2025-01-01T21:56:20.000000,0,3,Wednesday,1,2.0,13.0,15.0,0
CR-32,Add two new access points to the office Wi-Fi network.,Network,Thor,Thor,Avengers,Service A,Closed,Medium,Critical,High,Medium,2025-01-01T02:25:47.000000,2025-01-01T05:25:47.000000,2025-01-01T09:25:47.000000,1,3,Wednesday,0,3.0,4.0,7.0,0
CR-33,Grant access to restricted database for data analytics intern.,Software,John Wick,John Wick,Matrix,Service C,Closed,Medium,High,High,Low,2025-01-01T05:36:32.000000,2025-01-01T08:36:32.000000,2025-01-02T02:36:32.000000,0,3,Wednesday,1,3.0,18.0,21.0,1
CR-34,Create subdomain for new departmental website launch.,Software,Hulk,Hulk,Avengers,Service C,New,Low,Medium,Low,Low,2025-01-01T15:27:17.000000,,,0,2,Wednesday,1,0.0,0.0,0.0,0
CR-35,Request for extended quota on shared email inbox.,Failure,Hulk,Hulk,Avengers,Service C,Closed,Low,Medium,Medium,Low,2025-01-01T06:18:47.000000,2025-01-01T09:18:47.000000,2025-01-02T07:18:47.000000,0,1,Wednesday,1,3.0,22.0,25.0,0
CR-36,Upgrade workstation RAM for improved video editing performance.,Hardware,Iron Man,Iron Man,Avengers,Service C,Closed,Low,High,High,High,2025-01-01T13:51:53.000000,2025-01-01T21:51:53.000000,2025-01-02T11:51:53.000000,0,3,Wednesday,1,8.0,14.0,22.0,0
CR-37,Request for secure deletion of files on retired desktops.,Hardware,Loki,Loki,Avengers,Service C,Closed,Low,Critical,Medium,High,2025-01-01T08:29:07.000000,2025-01-01T15:29:07.000000,2025-01-01T20:29:07.000000,1,5,Wednesday,0,7.0,5.0,12.0,1
CR-38,Provision external storage for graphics design project.,Complaint,Batman,Batman,Matrix,Service C,Closed,High,Low,Low,Low,2025-01-01T22:49:59.000000,2025-01-02T03:49:59.000000,2025-01-04T07:49:59.000000,0,1,Wednesday,1,5.0,52.0,57.0,1
CR-39,Provision external storage for graphics design project.,Network,John Wick,John Wick,Matrix,Service A,Closed,Low,Medium,Medium,Low,2025-01-01T20:32:31.000000,2025-01-01T23:32:31.000000,2025-01-03T09:32:31.000000,0,2,Wednesday,1,3.0,34.0,37.0,1
CR-40,Request to delete unused virtual machines in non-production environment.,Software,Spiderman,Spiderman,Avengers II,Service C,Closed,Medium,Medium,Medium,Medium,2025-01-01T14:16:42.000000,2025-01-01T20:16:42.000000,2025-01-02T21:16:42.000000,1,1,Wednesday,0,6.0,25.0,31.0,1
CR-41,Document retention policy modification for compliance purposes.,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-01-01T03:25:14.000000,2025-01-01T10:25:14.000000,2025-01-02T18:25:14.000000,0,2,Wednesday,1,7.0,32.0,39.0,1
CR-42,Configure alerts for reporting dashboard thresholds.,Network,Captain America,Captain America,Avengers,Service A,Closed,High,High,Medium,Medium,2025-01-01T02:21:09.000000,2025-01-01T09:21:09.000000,2025-01-02T03:21:09.000000,0,3,Wednesday,1,7.0,18.0,25.0,1
CR-43,Grant access to restricted database for data analytics intern.,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-01-01T11:34:08.000000,2025-01-01T18:34:08.000000,2025-01-03T02:34:08.000000,0,1,Wednesday,1,7.0,32.0,39.0,1
CR-44,Upgrade virtual machine specs for training platform.,Data,Thor,Thor,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T12:16:17.000000,2025-01-01T19:16:17.000000,2025-01-02T06:16:17.000000,0,5,Wednesday,1,7.0,11.0,18.0,1
CR-45,Request to adjust permissions on shared inbox handling invoices.,Failure,Batman,Batman,Matrix,Service C,Closed,Low,Medium,Medium,Medium,2025-01-01T06:50:55.000000,2025-01-01T14:50:55.000000,2025-01-02T11:50:55.000000,0,1,Wednesday,1,8.0,21.0,29.0,0
CR-46,Create subdomain for new departmental website launch.,Facilities,Captain Marvel,Captain Marvel,Avengers II,Service C,Closed,High,Medium,Medium,Medium,2025-01-01T06:21:30.000000,2025-01-01T14:21:30.000000,2025-01-02T07:21:30.000000,0,2,Wednesday,1,8.0,17.0,25.0,0
CR-47,Request for temporary guest access to internal intranet services.,Access,Iron Man,Iron Man,Avengers,Service C,Closed,Low,Critical,High,Medium,2025-01-01T16:32:25.000000,2025-01-01T19:32:25.000000,2025-01-01T20:32:25.000000,0,3,Wednesday,1,3.0,1.0,4.0,0
CR-48,Request to create a new distribution list for the Marketing team.,Access,Doctor Strange,Doctor Strange,Avengers II,Service B,New,High,High,High,Low,2025-01-01T19:57:51.000000,,,0,3,Wednesday,1,0.0,0.0,0.0,0
CR-49,Enable port redirection for database replication tasks.,Complaint,Captain America,Captain America,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T09:38:24.000000,2025-01-01T14:38:24.000000,2025-01-01T22:38:24.000000,1,4,Wednesday,0,5.0,8.0,13.0,1
CR-50,Troubleshoot application access issues related to role change.,Facilities,John Wick,John Wick,Matrix,Service C,Closed,High,Medium,Low,Low,2025-01-01T05:30:44.000000,2025-01-01T10:30:44.000000,2025-01-02T02:30:44.000000,0,2,Wednesday,1,5.0,16.0,21.0,0
CR-51,Configuration update needed for internal voice gateway routing.,Software,Shang Chi,Shang Chi,Avengers II,Service A,Closed,High,Critical,High,High,2025-01-01T00:40:17.000000,2025-01-01T05:40:17.000000,2025-01-01T17:40:17.000000,0,5,Wednesday,1,5.0,12.0,17.0,1
CR-52,Add two new access points to the office Wi-Fi network.,Network,Loki,Loki,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-01-01T07:57:08.000000,2025-01-01T09:57:08.000000,2025-01-03T12:57:08.000000,0,0,Wednesday,1,2.0,51.0,53.0,1
CR-53,Troubleshoot application access issues related to role change.,Hardware,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,High,2025-01-01T22:41:10.000000,2025-01-02T01:41:10.000000,2025-01-02T02:41:10.000000,0,5,Wednesday,1,3.0,1.0,4.0,0
CR-54,Request to create container image repository for DevOps team.,Network,Captain America,Captain America,Avengers,Service B,Closed,Low,Critical,High,High,2025-01-01T23:08:36.000000,2025-01-02T01:08:36.000000,2025-01-02T12:08:36.000000,1,5,Wednesday,0,2.0,11.0,13.0,1
CR-55,Change access rights on shared folder for team lead.,Facilities,Batman,Batman,Matrix,Service B,Closed,Medium,High,High,Medium,2025-01-01T19:11:38.000000,2025-01-02T01:11:38.000000,2025-01-02T15:11:38.000000,0,3,Wednesday,1,6.0,14.0,20.0,0
CR-56,Request for extended quota on shared email inbox.,Facilities,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-01T00:22:55.000000,2025-01-01T04:22:55.000000,2025-01-01T13:22:55.000000,0,5,Wednesday,1,4.0,9.0,13.0,1
CR-57,Request to add new printer to network for HR department.,Access,Neo,Neo,Matrix,Service B,Closed,High,Medium,Medium,Low,2025-01-01T11:10:15.000000,2025-01-01T15:10:15.000000,2025-01-03T01:10:15.000000,1,2,Wednesday,0,4.0,34.0,38.0,1
CR-58,Request for extended quota on shared email inbox.,Data,Loki,Loki,Avengers,Service A,Closed,Low,Critical,High,High,2025-01-01T09:38:04.000000,2025-01-01T16:38:04.000000,2025-01-01T18:38:04.000000,0,4,Wednesday,1,7.0,2.0,9.0,0
CR-59,Request to add new printer to network for HR department.,Data,Hulk,Hulk,Avengers,Service B,Closed,Low,High,Medium,Low,2025-01-01T04:37:54.000000,2025-01-01T12:37:54.000000,2025-01-02T11:37:54.000000,0,3,Wednesday,1,8.0,23.0,31.0,1
CR-60,Change access rights on shared folder for team lead.,Data,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T20:49:41.000000,2025-01-01T23:49:41.000000,2025-01-02T20:49:41.000000,0,2,Wednesday,1,3.0,21.0,24.0,0
CR-61,Grant access to restricted database for data analytics intern.,Access,Batman,Batman,Matrix,Service B,Closed,Low,Medium,Medium,Medium,2025-01-01T16:05:41.000000,2025-01-01T21:05:41.000000,2025-01-02T15:05:41.000000,0,1,Wednesday,1,5.0,18.0,23.0,0
CR-62,Enable multi-factor authentication for remote developers.,Complaint,Hulk,Hulk,Avengers,Service C,Closed,Low,Critical,High,Medium,2025-01-01T01:13:15.000000,2025-01-01T05:13:15.000000,2025-01-01T07:13:15.000000,0,3,Wednesday,1,4.0,2.0,6.0,0
CR-63,Request to create a new distribution list for the Marketing team.,Failure,Loki,Loki,Avengers,Service A,Closed,Low,Medium,Medium,Medium,2025-01-01T10:16:40.000000,2025-01-01T15:16:40.000000,2025-01-02T08:16:40.000000,0,2,Wednesday,1,5.0,17.0,22.0,0
CR-64,Request to add new printer to network for HR department.,Failure,Thor,Thor,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-01T17:52:51.000000,2025-01-01T22:52:51.000000,2025-01-02T07:52:51.000000,0,3,Wednesday,1,5.0,9.0,14.0,1
CR-65,Upgrade virtual machine specs for training platform.,Hardware,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,High,Medium,Medium,Medium,2025-01-01T13:44:00.000000,2025-01-01T18:44:00.000000,2025-01-02T20:44:00.000000,1,1,Wednesday,0,5.0,26.0,31.0,1
CR-66,Reassign ownership of project management tools to new team lead.,Access,Doctor Strange,Doctor Strange,Avengers II,Service C,Closed,Low,Low,Low,Low,2025-01-01T04:44:14.000000,2025-01-01T09:44:14.000000,2025-01-03T05:44:14.000000,0,1,Wednesday,1,5.0,44.0,49.0,0
CR-67,Request for cloud storage account provisioning for upcoming project.,Hardware,Iron Man,Iron Man,Avengers,Service B,Closed,Medium,Critical,High,Medium,2025-01-01T12:33:04.000000,2025-01-01T15:33:04.000000,2025-01-01T19:33:04.000000,1,4,Wednesday,0,3.0,4.0,7.0,0
CR-68,Activate mobile application access for workflow approvals.,Software,Jack Sparrow,Jack Sparrow,Matrix,Service A,Closed,Low,Low,Low,Low,2025-01-01T23:28:20.000000,2025-01-02T03:28:20.000000,2025-01-04T14:28:20.000000,0,0,Wednesday,1,4.0,59.0,63.0,1
CR-69,Request to delete unused virtual machines in non-production environment.,Facilities,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,High,High,2025-01-01T05:39:43.000000,2025-01-01T13:39:43.000000,2025-01-01T20:39:43.000000,0,3,Wednesday,1,8.0,7.0,15.0,0
CR-70,Troubleshoot application access issues related to role change.,Network,Doctor Strange,Doctor Strange,Avengers II,Service A,Closed,Medium,Medium,Low,Medium,2025-01-01T23:43:49.000000,2025-01-02T07:43:49.000000,2025-01-03T16:43:49.000000,1,1,Wednesday,0,8.0,33.0,41.0,1
CR-71,Install Adobe Creative Suite on workstation for design team.,Hardware,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-01T18:51:58.000000,2025-01-01T21:51:58.000000,2025-01-03T05:51:58.000000,0,1,Wednesday,1,3.0,32.0,35.0,1
CR-72,Request to create and configure backup jobs for departmental database.,Network,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,High,Medium,High,2025-01-01T20:12:23.000000,2025-01-02T04:12:23.000000,2025-01-02T13:12:23.000000,0,2,Wednesday,1,8.0,9.0,17.0,0
CR-73,Request to create and configure backup jobs for departmental database.,Network,Loki,Loki,Avengers,Service A,New,High,High,High,High,2025-01-01T10:51:18.000000,,,1,3,Wednesday,0,0.0,0.0,0.0,0
CR-74,Request to create container image repository for DevOps team.,Network,Batman,Batman,Matrix,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-01T08:39:04.000000,2025-01-01T10:39:04.000000,2025-01-01T22:39:04.000000,0,1,Wednesday,1,2.0,12.0,14.0,0
CR-75,Reassign ownership of project management tools to new team lead.,Facilities,Jack Sparrow,Jack Sparrow,Matrix,Service C,Closed,Low,High,High,Low,2025-01-01T11:45:42.000000,2025-01-01T15:45:42.000000,2025-01-02T08:45:42.000000,1,3,Wednesday,0,4.0,17.0,21.0,1
CR-76,User asking for permissions to install additional software.,Network,Batman,Batman,Matrix,Service C,Closed,Medium,Medium,Low,Low,2025-01-01T02:36:19.000000,2025-01-01T08:36:19.000000,2025-01-02T19:36:19.000000,1,2,Wednesday,0,6.0,35.0,41.0,1
CR-77,Upgrade virtual machine specs for training platform.,Software,Captain Marvel,Captain Marvel,Avengers II,Service A,Closed,Low,High,Medium,High,2025-01-01T22:35:05.000000,2025-01-02T05:35:05.000000,2025-01-02T17:35:05.000000,1,3,Wednesday,0,7.0,12.0,19.0,0
CR-78,User asking for permissions to install additional software.,Complaint,Captain America,Captain America,Avengers,Service B,Closed,Medium,Critical,High,High,2025-01-01T18:03:06.000000,2025-01-02T02:03:06.000000,2025-01-02T04:03:06.000000,1,3,Wednesday,0,8.0,2.0,10.0,0
CR-79,Troubleshoot application access issues related to role change.,Software,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Critical,High,High,2025-01-01T18:27:07.000000,2025-01-01T20:27:07.000000,2025-01-02T02:27:07.000000,1,3,Wednesday,0,2.0,6.0,8.0,1
CR-80,Request to enable remote access to on-site servers.,Software,Neo,Neo,Matrix,Service B,Closed,Low,Medium,Medium,Low,2025-01-01T08:10:41.000000,2025-01-01T13:10:41.000000,2025-01-02T06:10:41.000000,0,2,Wednesday,1,5.0,17.0,22.0,0
CR-81,Request to create and configure backup jobs for departmental database.,Hardware,Shang Chi,Shang Chi,Avengers II,Service C,Closed,Medium,Low,Low,Low,2025-01-02T22:21:59.000000,2025-01-03T04:21:59.000000,2025-01-04T23:21:59.000000,0,1,Thursday,1,6.0,43.0,49.0,0
CR-82,Update public holiday calendar in corporate Outlook accounts.,Access,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,High,Medium,Medium,Low,2025-01-02T07:36:00.000000,2025-01-02T14:36:00.000000,2025-01-03T06:36:00.000000,1,2,Thursday,0,7.0,16.0,23.0,0
CR-83,Enable multi-factor authentication for remote developers.,Data,Captain Marvel,Captain Marvel,Avengers II,Service B,Closed,Medium,High,High,High,2025-01-02T23:31:44.000000,2025-01-03T06:31:44.000000,2025-01-03T22:31:44.000000,1,3,Thursday,0,7.0,16.0,23.0,0
CR-84,Enable high-availability configuration on two production servers.,Network,Loki,Loki,Avengers,Service C,Closed,Medium,Critical,High,High,2025-01-02T18:38:33.000000,2025-01-03T00:38:33.000000,2025-01-03T04:38:33.000000,0,3,Thursday,1,6.0,4.0,10.0,0
CR-85,Request to add new printer to network for HR department.,Network,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Low,Medium,Low,Medium,2025-01-02T11:52:25.000000,2025-01-02T16:52:25.000000,2025-01-03T16:52:25.000000,0,2,Thursday,1,5.0,24.0,29.0,0
CR-86,Request to install Python libraries on student laptops.,Access,Spiderman,Spiderman,Avengers II,Service A,Closed,High,High,High,Medium,2025-01-02T11:13:42.000000,2025-01-02T15:13:42.000000,2025-01-03T02:13:42.000000,0,3,Thursday,1,4.0,11.0,15.0,0
CR-87,Provision external storage for graphics design project.,Complaint,Hulk,Hulk,Avengers,Service A,Closed,High,Critical,High,High,2025-01-02T06:01:26.000000,2025-01-02T10:01:26.000000,2025-01-02T16:01:26.000000,0,4,Thursday,1,4.0,6.0,10.0,1
CR-88,Update public holiday calendar in corporate Outlook accounts.,Network,Thor,Thor,Avengers,Service A,Closed,Low,High,High,High,2025-01-02T18:08:47.000000,2025-01-03T02:08:47.000000,2025-01-03T14:08:47.000000,0,2,Thursday,1,8.0,12.0,20.0,0
CR-89,Update public holiday calendar in corporate Outlook accounts.,Complaint,Doctor Strange,Doctor Strange,Avengers II,Service B,Closed,Medium,Medium,Low,Medium,2025-01-02T17:54:04.000000,2025-01-02T21:54:04.000000,2025-01-03T16:54:04.000000,1,2,Thursday,0,4.0,19.0,23.0,0
CR-90,Change access rights on shared folder for team lead.,Software,Iron Man,Iron Man,Avengers,Service C,Closed,Low,High,High,High,2025-01-02T18:29:30.000000,2025-01-02T20:29:30.000000,2025-01-03T15:29:30.000000,1,2,Thursday,0,2.0,19.0,21.0,1
CR-91,Update public holiday calendar in corporate Outlook accounts.,Data,Shang Chi,Shang Chi,Avengers II,Service A,Closed,Medium,Medium,Low,Low,2025-01-02T14:22:25.000000,2025-01-02T18:22:25.000000,2025-01-04T00:22:25.000000,0,1,Thursday,1,4.0,30.0,34.0,1
CR-92,Re-enable accounts for recent employee returning after leave.,Failure,Neo,Neo,Matrix,Service C,Closed,High,Medium,Low,Medium,2025-01-02T18:24:49.000000,2025-01-03T01:24:49.000000,2025-01-04T04:24:49.000000,0,2,Thursday,1,7.0,27.0,34.0,1
CR-93,Re-enable accounts for recent employee returning after leave.,Access,Hulk,Hulk,Avengers,Service B,Closed,High,Medium,Medium,Low,2025-01-02T21:12:26.000000,2025-01-03T03:12:26.000000,2025-01-03T22:12:26.000000,0,2,Thursday,1,6.0,19.0,25.0,0
CR-94,Create subdomain for new departmental website launch.,Complaint,Loki,Loki,Avengers,Service A,Closed,Medium,Low,Low,Low,2025-01-02T02:06:04.000000,2025-01-02T08:06:04.000000,2025-01-05T07:06:04.000000,0,0,Thursday,1,6.0,71.0,77.0,1
CR-95,Grant access to restricted database for data analytics intern.,Complaint,Iron Man,Iron Man,Avengers,Service A,Closed,Medium,Medium,Medium,Medium,2025-01-02T07:27:47.000000,2025-01-02T13:27:47.000000,2025-01-03T16:27:47.000000,1,1,Thursday,0,6.0,27.0,33.0,1
CR-96,Change access rights on shared folder for team lead.,Software,Shang Chi,Shang Chi,Avengers II,Service A,In Progress,High,Medium,Medium,Medium,2025-01-02T11:12:37.000000,2025-01-02T17:12:37.000000,,0,2,Thursday,1,6.0,0.0,0.0,0
CR-97,Request for extended quota on shared email inbox.,Failure,Batman,Batman,Matrix,Service A,Closed,Low,Medium,Medium,Low,2025-01-02T15:31:19.000000,2025-01-02T23:31:19.000000,2025-01-03T16:31:19.000000,0,2,Thursday,1,8.0,17.0,25.0,0
CR-98,Request to create and configure backup jobs for departmental database.,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,Closed,High,Medium,Low,Low,2025-01-02T13:58:40.000000,2025-01-02T15:58:40.000000,2025-01-03T16:58:40.000000,0,2,Thursday,1,2.0,25.0,27.0,1
CR-99,Update public holiday calendar in corporate Outlook accounts.,Facilities,Captain America,Captain America,Avengers,Service B,Closed,Low,Medium,Medium,Low,2025-01-02T16:05:04.000000,2025-01-02T20:05:04.000000,2025-01-03T22:05:04.000000,0,1,Thursday,1,4.0,26.0,30.0,1
CR-100,Add two new access points to the office Wi-Fi network.,Failure,Hulk,Hulk,Avengers,Service C,Closed,Low,High,High,High,2025-01-02T18:23:11.000000,2025-01-02T22:23:11.000000,2025-01-03T10:23:11.000000,0,2,Thursday,1,4.0,12.0,16.0,0
CR-101,Setup repository access for junior developers.,Hardware,Loki,Loki,Avengers,Service B,Closed,Medium,Medium,Medium,Medium,2025-01-02T05:32:04.000000,2025-01-02T10:32:04.000000,2025-01-03T21:32:04.000000,0,1,Thursday,1,5.0,35.0,40.0,1
