Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,Risk,Urgency,Impact,State,Priority,Created,Day,Start Date,Closed,Reopen Count
CHG-0000060,Upgrade operating system on middleware servers,Complaint,Jack Sparrow,Jack Sparrow,Matrix,Service D,High,High,Low,On Hold,Medium,2025-01-20T18:00:25.000000,Monday,,,1
CHG-0000061,Change time synchronization settings for servers,Data,Iron Man,Iron Man,Avengers,Service A,Medium,Low,Medium,Closed,High,2025-01-20T19:22:45.000000,Monday,2025-01-21T03:22:45.000000,2025-01-22T13:22:45.000000,0
CHG-0000062,Upgrade operating system on middleware servers,Network,Loki,Loki,Avengers,Service E,High,Medium,Medium,Closed,Low,2025-01-20T03:44:13.000000,Monday,2025-01-20T11:44:13.000000,2025-01-20T17:44:13.000000,5
CHG-0000063,Implement new proxy configuration for internet access,Hardware,Hulk,Hulk,Avengers,Service B,Medium,Low,Low,Closed,Medium,2025-01-21T22:19:59.000000,Tuesday,2025-01-22T02:19:59.000000,2025-01-22T06:19:59.000000,5
CHG-0000064,Reconfigure application timeout settings,Complaint,Captain America,Captain America,Avengers,Service A,Low,Low,Low,Closed,Medium,2025-01-21T06:59:18.000000,Tuesday,2025-01-21T12:59:18.000000,2025-01-21T17:59:18.000000,3
CHG-0000065,Enable multi-factor authentication for VPN users,Software,Iron Man,Iron Man,Avengers,Service D,Low,Medium,High,Closed,High,2025-01-21T03:55:36.000000,Tuesday,2025-01-21T08:55:36.000000,2025-01-22T09:55:36.000000,1
CHG-0000066,Deploy updated configuration for network switches,Failure,Spiderman,Spiderman,Avengers II,Service A,Medium,Low,High,Closed,Low,2025-01-22T12:55:19.000000,Wednesday,2025-01-22T16:55:19.000000,2025-01-24T02:55:19.000000,5
CHG-0000067,Reconfigure backup schedule for critical databases,Data,Shang Chi,Shang Chi,Avengers II,Service B,Low,Medium,Medium,Closed,High,2025-01-22T21:12:14.000000,Wednesday,2025-01-23T02:12:14.000000,2025-01-23T14:12:14.000000,4
CHG-0000068,Update SSL/TLS certificates on web servers,Data,John Cena,John Cena,Matrix,Service C,High,Medium,High,On Hold,Medium,2025-01-22T01:23:12.000000,Wednesday,,,5
CHG-0000069,Introduce new email disclaimer for outgoing messages,Failure,Thor,Thor,Avengers,Service D,Medium,Medium,High,Closed,Medium,2025-01-22T23:28:04.000000,Wednesday,2025-01-23T01:28:04.000000,2025-01-23T10:28:04.000000,2
CHG-0000070,Upgrade database server to latest minor version,Hardware,Spiderman,Spiderman,Avengers II,Service C,High,Low,Medium,Closed,Medium,2025-01-22T10:05:10.000000,Wednesday,2025-01-22T16:05:10.000000,2025-01-23T13:05:10.000000,4
CHG-0000071,Upgrade virtualization platform to latest version,Network,Hulk,Hulk,Avengers,Service D,Low,Medium,Medium,Closed,Critical,2025-01-23T23:04:20.000000,Thursday,2025-01-24T03:04:20.000000,2025-01-25T13:04:20.000000,0
CHG-0000072,Change network routing for branch office connectivity,Facilities,Hulk,Hulk,Avengers,Service A,Low,Medium,High,Closed,High,2025-01-23T11:00:51.000000,Thursday,2025-01-23T15:00:51.000000,2025-01-24T05:00:51.000000,5
CHG-0000073,Implement new retention policy for log data,Network,Iron Man,Iron Man,Avengers,Service C,Low,Medium,Low,Closed,Medium,2025-01-23T22:27:37.000000,Thursday,2025-01-24T04:27:37.000000,2025-01-24T13:27:37.000000,1
CHG-0000074,Implement new proxy configuration for internet access,Data,Neo,Neo,Matrix,Service D,Low,Low,High,Closed,Medium,2025-01-24T11:47:54.000000,Friday,2025-01-24T19:47:54.000000,2025-01-25T02:47:54.000000,2
CHG-0000075,Reconfigure service monitoring checks for new URLs,Access,Spiderman,Spiderman,Avengers II,Service D,Medium,Low,Low,Closed,Low,2025-01-25T17:19:00.000000,Saturday,2025-01-25T23:19:00.000000,2025-01-27T06:19:00.000000,5
CHG-0000076,Implement new access roles in identity management system,Hardware,Batman,Batman,Matrix,Service A,High,High,Medium,Closed,Low,2025-01-25T05:12:25.000000,Saturday,2025-01-25T10:12:25.000000,2025-01-26T11:12:25.000000,2
CHG-0000077,Apply configuration changes to intrusion detection system,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service B,High,Medium,Medium,Closed,Medium,2025-01-25T06:52:10.000000,Saturday,2025-01-25T12:52:10.000000,2025-01-25T23:52:10.000000,0
CHG-0000078,Apply configuration changes to intrusion detection system,Data,John Cena,John Cena,Matrix,Service B,Low,Low,Low,Closed,High,2025-01-25T17:11:53.000000,Saturday,2025-01-25T23:11:53.000000,2025-01-26T08:11:53.000000,5
CHG-0000079,Configure new SFTP connection to external partner,Failure,Spiderman,Spiderman,Avengers II,Service B,Medium,Medium,High,Closed,Medium,2025-01-26T18:38:11.000000,Sunday,2025-01-26T20:38:11.000000,2025-01-28T03:38:11.000000,0
CHG-0000080,Introduce new logging and monitoring rules for servers,Hardware,Batman,Batman,Matrix,Service C,Medium,High,Low,Closed,Medium,2025-01-26T20:00:58.000000,Sunday,2025-01-26T22:00:58.000000,2025-01-27T17:00:58.000000,5
CHG-0000081,Enable encryption at rest for database storage,Failure,Hulk,Hulk,Avengers,Service C,High,Medium,High,Closed,High,2025-01-26T03:19:44.000000,Sunday,2025-01-26T05:19:44.000000,2025-01-26T17:19:44.000000,2
CHG-0000082,Adjust CPU and memory resources for virtual servers,Facilities,Batman,Batman,Matrix,Service C,High,Low,Low,Closed,Medium,2025-01-26T13:40:45.000000,Sunday,2025-01-26T15:40:45.000000,2025-01-26T19:40:45.000000,4
CHG-0000083,Introduce new email disclaimer for outgoing messages,Software,Thor,Thor,Avengers,Service A,Medium,Medium,Medium,Closed,Medium,2025-01-26T11:50:55.000000,Sunday,2025-01-26T13:50:55.000000,2025-01-27T09:50:55.000000,4
CHG-0000084,Update SSL/TLS certificates on web servers,Hardware,Loki,Loki,Avengers,Service C,Low,Low,High,Closed,Critical,2025-01-27T23:09:01.000000,Monday,2025-01-28T01:09:01.000000,2025-01-29T13:09:01.000000,3
CHG-0000085,Adjust CPU and memory resources for virtual servers,Facilities,Shang Chi,Shang Chi,Avengers II,Service B,Low,High,High,Closed,High,2025-01-27T23:53:56.000000,Monday,2025-01-28T04:53:56.000000,2025-01-29T12:53:56.000000,4
CHG-0000086,Decommission obsolete virtual machines,Software,Neo,Neo,Matrix,Service C,High,Low,Low,Closed,Low,2025-01-28T14:22:24.000000,Tuesday,2025-01-28T22:22:24.000000,2025-01-30T08:22:24.000000,4
CHG-0000087,Change print server configuration for new printers,Access,John Cena,John Cena,Matrix,Service B,High,Medium,High,Closed,Medium,2025-01-28T16:05:38.000000,Tuesday,2025-01-29T00:05:38.000000,2025-01-29T16:05:38.000000,0
CHG-0000088,Change email gateway configuration for spam filtering,Hardware,Thor,Thor,Avengers,Service D,Low,High,High,Closed,High,2025-01-29T07:49:13.000000,Wednesday,2025-01-29T10:49:13.000000,2025-01-29T18:49:13.000000,4
CHG-0000089,Add new subnet to internal network for project team,Hardware,Neo,Neo,Matrix,Service D,Low,High,Low,Closed,Medium,2025-01-29T11:16:34.000000,Wednesday,2025-01-29T14:16:34.000000,2025-01-30T02:16:34.000000,2
CHG-0000090,Upgrade database server to latest minor version,Software,Thor,Thor,Avengers,Service E,Low,Low,Medium,Closed,Critical,2025-01-29T01:31:33.000000,Wednesday,2025-01-29T03:31:33.000000,2025-01-30T04:31:33.000000,5
CHG-0000091,Introduce new logging and monitoring rules for servers,Complaint,Batman,Batman,Matrix,Service B,Low,Medium,Low,Closed,Medium,2025-01-29T01:43:57.000000,Wednesday,2025-01-29T05:43:57.000000,2025-01-30T01:43:57.000000,3
CHG-0000092,Apply monthly security patches to production servers,Network,Hulk,Hulk,Avengers,Service C,High,High,High,Closed,Medium,2025-01-29T16:18:03.000000,Wednesday,2025-01-29T18:18:03.000000,2025-01-29T20:18:03.000000,4
CHG-0000093,Reconfigure service monitoring checks for new URLs,Access,Hulk,Hulk,Avengers,Service A,Low,Low,Low,In Progress,High,2025-01-30T17:34:34.000000,Thursday,2025-01-30T23:34:34.000000,,3
CHG-0000094,Migrate application from test to production environment,Failure,Captain America,Captain America,Avengers,Service E,Medium,High,High,Closed,Medium,2025-01-30T19:54:14.000000,Thursday,2025-01-30T23:54:14.000000,2025-01-31T09:54:14.000000,2
CHG-0000095,Implement new proxy configuration for internet access,Software,Spiderman,Spiderman,Avengers II,Service A,High,Low,Low,Closed,Medium,2025-01-31T08:02:07.000000,Friday,2025-01-31T15:02:07.000000,2025-02-01T20:02:07.000000,5
CHG-0000096,Update network share permissions for project folder,Access,Shang Chi,Shang Chi,Avengers II,Service C,High,Medium,Low,Closed,High,2025-02-01T12:02:42.000000,Saturday,2025-02-01T18:02:42.000000,2025-02-03T00:02:42.000000,2
CHG-0000097,Apply configuration changes to intrusion detection system,Complaint,Captain Marvel,Captain Marvel,Avengers II,Service C,Low,High,Low,Closed,Low,2025-02-02T12:28:44.000000,Sunday,2025-02-02T14:28:44.000000,2025-02-03T09:28:44.000000,5
CHG-0000098,Change load balancer configuration for improved failover,Network,John Cena,John Cena,Matrix,Service B,Low,High,Medium,Closed,Medium,2025-02-02T19:44:16.000000,Sunday,2025-02-02T22:44:16.000000,2025-02-04T04:44:16.000000,4
CHG-0000099,Modify backup retention period for file shares,Complaint,Loki,Loki,Avengers,Service A,High,High,Medium,Closed,Critical,2025-02-02T07:57:07.000000,Sunday,2025-02-02T09:57:07.000000,2025-02-02T21:57:07.000000,1
CHG-0000100,Update API gateway rules for new service endpoints,Complaint,Captain America,Captain America,Avengers,Service C,Medium,High,High,Closed,Low,2025-02-03T22:05:08.000000,Monday,2025-02-04T00:05:08.000000,2025-02-04T23:05:08.000000,2
CHG-0000101,Deploy updated configuration for network switches,Failure,Shang Chi,Shang Chi,Avengers II,Service E,High,High,Low,Closed,Medium,2025-02-03T07:56:38.000000,Monday,2025-02-03T12:56:38.000000,2025-02-03T17:56:38.000000,0
CHG-0000102,Deploy updated configuration for network switches,Facilities,Doctor Strange,Doctor Strange,Avengers II,Service E,High,High,Medium,Closed,Medium,2025-02-03T04:05:02.000000,Monday,2025-02-03T08:05:02.000000,2025-02-04T02:05:02.000000,0
CHG-0000103,Upgrade virtualization platform to latest version,Failure,Iron Man,Iron Man,Avengers,Service A,High,High,High,Closed,Medium,2025-02-03T22:28:58.000000,Monday,2025-02-04T02:28:58.000000,2025-02-05T06:28:58.000000,3
CHG-0000104,Update SSL/TLS certificates on web servers,Access,Iron Man,Iron Man,Avengers,Service A,Medium,High,Medium,Closed,Low,2025-02-03T08:54:27.000000,Monday,2025-02-03T10:54:27.000000,2025-02-03T15:54:27.000000,1
CHG-0000105,Configure new SFTP connection to external partner,Access,Hulk,Hulk,Avengers,Service A,High,Low,Low,Closed,Medium,2025-02-04T21:28:05.000000,Tuesday,2025-02-05T00:28:05.000000,2025-02-05T10:28:05.000000,3
CHG-0000106,Change email gateway configuration for spam filtering,Network,Captain America,Captain America,Avengers,Service D,Low,Medium,Low,On Hold,Critical,2025-02-04T04:31:44.000000,Tuesday,,,2
CHG-0000107,Change network routing for branch office connectivity,Hardware,Spiderman,Spiderman,Avengers II,Service D,Medium,High,Medium,Closed,Low,2025-02-04T03:47:22.000000,Tuesday,2025-02-04T09:47:22.000000,2025-02-04T20:47:22.000000,3
CHG-0000108,Change Active Directory group membership for user access,Access,Batman,Batman,Matrix,Service C,High,High,Low,Closed,Medium,2025-02-04T09:08:41.000000,Tuesday,2025-02-04T12:08:41.000000,2025-02-04T19:08:41.000000,1
CHG-0000109,Implement new retention policy for log data,Network,Batman,Batman,Matrix,Service E,Low,High,Medium,Closed,Medium,2025-02-05T00:14:50.000000,Wednesday,2025-02-05T05:14:50.000000,2025-02-05T11:14:50.000000,2
CHG-0000110,Change DHCP scope settings for office network,Failure,Shang Chi,Shang Chi,Avengers II,Service E,High,Medium,Low,Closed,Medium,2025-02-05T21:50:22.000000,Wednesday,2025-02-06T00:50:22.000000,2025-02-06T12:50:22.000000,1
CHG-0000111,Implement new retention policy for log data,Complaint,Shang Chi,Shang Chi,Avengers II,Service C,High,Low,Low,Closed,Medium,2025-02-05T21:36:49.000000,Wednesday,2025-02-05T23:36:49.000000,2025-02-06T17:36:49.000000,1
CHG-0000112,Migrate application from test to production environment,Hardware,Batman,Batman,Matrix,Service B,Low,Low,Low,Closed,Medium,2025-02-06T13:12:47.000000,Thursday,2025-02-06T16:12:47.000000,2025-02-07T07:12:47.000000,4
CHG-0000113,Apply monthly security patches to production servers,Failure,Hulk,Hulk,Avengers,Service B,Low,Low,Low,In Progress,Medium,2025-02-06T05:39:09.000000,Thursday,2025-02-06T10:39:09.000000,,1
CHG-0000114,Enable multi-factor authentication for VPN users,Network,Captain America,Captain America,Avengers,Service A,Low,Low,High,On Hold,Critical,2025-02-06T08:55:29.000000,Thursday,,,0
CHG-0000115,Configure new high-availability cluster for database,Data,Shang Chi,Shang Chi,Avengers II,Service D,Low,Low,High,Closed,Medium,2025-02-06T06:35:16.000000,Thursday,2025-02-06T13:35:16.000000,2025-02-07T10:35:16.000000,4
CHG-0000116,Add new subnet to internal network for project team,Network,Shang Chi,Shang Chi,Avengers II,Service E,Low,Low,Medium,Closed,Medium,2025-02-06T17:15:46.000000,Thursday,2025-02-07T01:15:46.000000,2025-02-08T08:15:46.000000,3
CHG-0000117,Deploy updated configuration for network switches,Facilities,Hulk,Hulk,Avengers,Service E,Medium,High,Low,Closed,Medium,2025-02-07T13:51:47.000000,Friday,2025-02-07T18:51:47.000000,2025-02-08T06:51:47.000000,4
CHG-0000118,Implement new password policy across domain,Data,Thor,Thor,Avengers,Service C,Medium,Medium,Medium,Closed,High,2025-02-07T11:41:28.000000,Friday,2025-02-07T18:41:28.000000,2025-02-08T09:41:28.000000,1
