Number,Short Description,Change Environment,Requested By,Assigned To,Assignment Group,Service,State,Risk,Priority,Urgency,Impact,Created,Start Date,Closed,Reopen Count,Day,Reopen Zero Flag
CR-20,Unencrypted data transfer detected over public network,Complaint,Peter,Peter,Matrix,Service B,Closed,Medium,Low,Medium,High,2025-01-01T19:30:30.000000,2025-01-01T22:27:04.000000,2025-01-03T11:54:56.000000,0,Wednesday,1
CR-21,Abnormal API access pattern from external client,Network,Martin,Jan,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,2025-01-01T17:07:31.000000,2025-01-01T19:45:37.000000,2025-01-03T01:50:45.000000,1,Wednesday,0
CR-22,Unapproved connection to third-party cloud service,Hardware,Jan,Captain America,Avengers,Service B,Closed,Medium,Medium,Low,Low,2025-01-01T17:01:55.000000,2025-01-01T20:42:39.000000,2025-01-02T07:44:17.000000,0,Wednesday,1
CR-23,New privileged account created without proper approval,Hardware,Peter,Michal,Avengers,Service A,New,Medium,Medium,High,High,2025-01-01T10:31:32.000000,,,1,Wednesday,0
CR-24,Phishing email reported by employee,Failure,Iron Man,Martin,Avengers,Service A,Closed,Medium,High,Medium,Medium,2025-01-01T22:28:04.000000,2025-01-02T05:07:30.000000,2025-01-03T16:08:16.000000,1,Wednesday,0
CR-25,Suspicious PowerShell activity detected on workstation,Facilities,Peter,Iron Man,Matrix,Service C,Closed,Medium,Low,Low,Medium,2025-01-01T22:09:38.000000,2025-01-02T00:09:50.000000,2025-01-02T09:51:52.000000,0,Wednesday,1
CR-26,Abnormal outbound DNS requests from single host,Facilities,Martin,Captain America,Matrix,Service C,Closed,Medium,High,Low,Low,2025-01-01T01:33:29.000000,2025-01-01T09:12:42.000000,2025-01-01T18:34:46.000000,1,Wednesday,0
CR-27,Suspicious PowerShell activity detected on workstation,Software,Thor,Michal,Avengers II,Service B,Closed,Medium,Medium,Low,High,2025-01-01T05:25:19.000000,2025-01-01T09:15:06.000000,2025-01-01T17:27:33.000000,1,Wednesday,0
CR-28,Unauthorized attempt to disable endpoint protection,Failure,Peter,Captain America,Avengers II,Service C,Closed,Medium,Low,Low,Low,2025-01-01T18:25:50.000000,2025-01-02T00:58:37.000000,2025-01-03T19:03:42.000000,0,Wednesday,1
CR-29,New device connected to corporate Wi-Fi without registration,Hardware,Michal,Peter,Avengers,Service B,Closed,High,High,Low,High,2025-01-01T21:17:49.000000,2025-01-02T06:01:36.000000,2025-01-02T08:29:46.000000,1,Wednesday,0
CR-30,Firewall detected and blocked port scanning activity,Network,Michal,Martin,Avengers,Service C,Closed,Medium,Medium,Low,Low,2025-01-01T21:56:22.000000,2025-01-02T00:32:47.000000,2025-01-02T13:07:51.000000,0,Wednesday,1
CR-31,New local administrator account detected on endpoint,Complaint,Jan,Martin,Avengers,Service B,Closed,High,Low,Medium,Low,2025-01-01T11:09:54.000000,2025-01-01T18:00:09.000000,2025-01-03T11:36:53.000000,1,Wednesday,0
CR-32,Multiple devices reporting same malware signature,Software,Thor,Michal,Matrix,Service A,Closed,High,Medium,Medium,Low,2025-01-01T13:33:29.000000,2025-01-01T19:37:18.000000,2025-01-03T11:07:08.000000,0,Wednesday,1
CR-33,Unauthorized installation of unapproved software,Access,Peter,Thor,Avengers,Service C,Closed,Medium,High,Low,Medium,2025-01-01T06:20:17.000000,2025-01-01T14:38:07.000000,2025-01-01T18:59:09.000000,1,Wednesday,0
CR-34,Security policy violation on mobile device,Complaint,Peter,Martin,Matrix,Service B,On Hold,High,Medium,Low,High,2025-01-01T07:09:56.000000,,,1,Wednesday,0
CR-35,Denied attempt to access privileged management console,Complaint,Martin,Captain America,Avengers,Service A,On Hold,Medium,Low,Low,Low,2025-01-01T12:02:12.000000,,,1,Wednesday,0
CR-36,Unusual traffic to anonymization service detected,Network,Jan,Martin,Matrix,Service C,Closed,High,High,Medium,High,2025-01-01T12:42:13.000000,2025-01-01T15:10:28.000000,2025-01-02T21:11:15.000000,0,Wednesday,1
CR-37,Unusual file encryption activity detected on server,Failure,Martin,Jan,Avengers II,Service C,Closed,Low,Medium,High,Low,2025-01-01T18:59:58.000000,2025-01-01T22:43:16.000000,2025-01-03T17:05:23.000000,1,Wednesday,0
CR-38,Brute force attack detected on remote access gateway,Facilities,Martin,Thor,Avengers II,Service C,Closed,High,Medium,Low,Low,2025-01-01T22:56:28.000000,2025-01-02T05:29:15.000000,2025-01-03T06:38:39.000000,1,Wednesday,0
CR-39,New network share created without change request,Failure,Martin,Thor,Avengers,Service C,Closed,High,Medium,High,Medium,2025-01-01T18:28:02.000000,2025-01-01T22:11:50.000000,2025-01-02T21:52:20.000000,1,Wednesday,0
CR-40,Email account used to send large volume of external messages,Complaint,Thor,Iron Man,Avengers,Service B,Closed,Medium,Medium,High,Low,2025-01-01T04:30:26.000000,2025-01-01T12:25:28.000000,2025-01-02T00:32:54.000000,0,Wednesday,1
CR-41,Denied attempt to access privileged management console,Access,Iron Man,Jan,Avengers II,Service C,Closed,High,Low,Medium,Medium,2025-01-01T22:18:47.000000,2025-01-02T06:34:01.000000,2025-01-03T23:18:23.000000,0,Wednesday,1
CR-42,Suspicious authentication attempts to database server,Network,Jan,Peter,Avengers,Service B,Closed,High,Medium,Low,High,2025-01-01T00:29:53.000000,2025-01-01T08:41:09.000000,2025-01-02T04:03:12.000000,1,Wednesday,0
CR-43,Multiple failed login attempts detected on user account,Network,Michal,Peter,Matrix,Service A,Closed,High,Medium,Low,Low,2025-01-01T19:57:04.000000,2025-01-02T00:49:03.000000,2025-01-03T02:46:04.000000,1,Wednesday,0
CR-44,Suspicious login attempt from unknown IP address,Hardware,Captain America,Jan,Avengers II,Service C,Closed,Low,Medium,Low,High,2025-01-01T08:01:43.000000,2025-01-01T11:23:20.000000,2025-01-02T21:25:10.000000,1,Wednesday,0
CR-45,Unsupported remote desktop tool detected on endpoint,Complaint,Peter,Thor,Matrix,Service A,Closed,High,Medium,Medium,Low,2025-01-01T21:28:39.000000,2025-01-02T04:00:01.000000,2025-01-02T20:55:41.000000,1,Wednesday,0
CR-46,New network share created without change request,Facilities,Thor,Michal,Avengers II,Service B,Closed,Medium,Low,Medium,Medium,2025-01-01T10:41:50.000000,2025-01-01T19:22:56.000000,2025-01-03T07:34:08.000000,1,Wednesday,0
CR-47,Unusual file encryption activity detected on server,Software,Thor,Thor,Matrix,Service B,Closed,High,Medium,Low,Medium,2025-01-01T18:48:24.000000,2025-01-01T22:23:21.000000,2025-01-03T17:39:58.000000,1,Wednesday,0
CR-48,Suspicious authentication token reuse detected,Complaint,Captain America,Iron Man,Avengers,Service C,In Progress,Low,High,High,Low,2025-01-01T05:38:33.000000,2025-01-01T09:56:54.000000,,1,Wednesday,0
CR-49,Unencrypted data transfer detected over public network,Failure,Martin,Iron Man,Avengers,Service C,Closed,High,Low,High,Medium,2025-01-01T19:58:25.000000,2025-01-02T00:25:14.000000,2025-01-02T17:28:18.000000,0,Wednesday,1
CR-50,Inactive account used for login attempt,Access,Michal,Thor,Avengers II,Service C,Closed,Medium,Medium,High,High,2025-01-01T00:00:30.000000,2025-01-01T08:20:32.000000,2025-01-01T21:04:44.000000,1,Wednesday,0
CR-51,Firewall detected and blocked port scanning activity,Hardware,Michal,Jan,Matrix,Service C,Closed,High,Medium,Low,Low,2025-01-01T20:41:44.000000,2025-01-02T00:21:16.000000,2025-01-03T04:16:04.000000,0,Wednesday,1
CR-52,Unapproved application communicating with external server,Access,Peter,Michal,Avengers II,Service C,Closed,High,Low,Medium,High,2025-01-01T16:08:26.000000,2025-01-01T18:45:01.000000,2025-01-03T05:23:29.000000,0,Wednesday,1
CR-53,Attempted login using default system credentials,Facilities,Iron Man,Jan,Matrix,Service A,Closed,High,Low,High,High,2025-01-01T23:10:19.000000,2025-01-02T05:22:25.000000,2025-01-02T16:48:36.000000,1,Wednesday,0
CR-54,Multiple failed VPN authentication attempts from external IP,Facilities,Thor,Jan,Avengers II,Service C,Closed,Low,Low,High,Medium,2025-01-01T22:05:21.000000,2025-01-02T02:53:51.000000,2025-01-02T21:23:24.000000,1,Wednesday,0
CR-55,Login from decommissioned device detected in logs,Data,Jan,Iron Man,Matrix,Service B,Closed,High,Low,High,Low,2025-01-01T19:33:56.000000,2025-01-02T03:31:12.000000,2025-01-02T23:15:34.000000,0,Wednesday,1
CR-56,Firewall detected and blocked port scanning activity,Software,Iron Man,Michal,Avengers,Service A,Closed,High,High,High,High,2025-01-01T18:43:02.000000,2025-01-02T01:36:55.000000,2025-01-02T16:29:11.000000,0,Wednesday,1
CR-57,Multiple logins from different countries within short timeframe,Failure,Martin,Iron Man,Matrix,Service A,Closed,Low,Low,High,High,2025-01-01T18:45:25.000000,2025-01-01T22:36:41.000000,2025-01-02T15:56:15.000000,1,Wednesday,0
CR-58,Unauthorized installation of unapproved software,Network,Iron Man,Martin,Avengers,Service B,Closed,High,Low,Medium,Low,2025-01-01T06:22:18.000000,2025-01-01T08:17:50.000000,2025-01-01T15:11:01.000000,1,Wednesday,0
CR-59,Attempted login using default system credentials,Hardware,Michal,Martin,Matrix,Service A,Closed,Medium,Low,Medium,High,2025-01-01T16:46:13.000000,2025-01-01T20:37:20.000000,2025-01-02T21:26:04.000000,1,Wednesday,0
CR-60,Phishing email reported by employee,Access,Jan,Martin,Avengers II,Service C,Closed,Medium,Medium,Low,Low,2025-01-01T06:49:34.000000,2025-01-01T14:43:07.000000,2025-01-02T08:53:15.000000,1,Wednesday,0
CR-61,Malicious JavaScript detected on visited webpage,Access,Peter,Jan,Avengers II,Service C,Closed,High,High,Medium,Medium,2025-01-01T00:44:23.000000,2025-01-01T02:00:54.000000,2025-01-02T09:25:41.000000,0,Wednesday,1
CR-62,Login from decommissioned device detected in logs,Access,Michal,Iron Man,Avengers,Service A,Closed,High,Medium,High,High,2025-01-01T16:04:29.000000,2025-01-01T19:06:38.000000,2025-01-02T18:34:07.000000,1,Wednesday,0
CR-63,Suspicious PowerShell activity detected on workstation,Complaint,Thor,Michal,Matrix,Service C,Closed,Low,Medium,Medium,High,2025-01-01T08:11:28.000000,2025-01-01T12:59:38.000000,2025-01-02T22:01:23.000000,0,Wednesday,1
CR-64,Unusual administrative activity on domain controller,Hardware,Iron Man,Thor,Matrix,Service B,Closed,High,High,Medium,Medium,2025-01-01T15:23:38.000000,2025-01-01T22:57:03.000000,2025-01-02T19:56:54.000000,0,Wednesday,1
CR-65,Unauthorized attempt to access security logs,Hardware,Peter,Martin,Avengers II,Service A,Closed,Medium,Low,Low,High,2025-01-01T10:07:01.000000,2025-01-01T12:24:42.000000,2025-01-02T01:59:49.000000,1,Wednesday,0
CR-66,Suspicious login attempt using expired credentials,Facilities,Michal,Peter,Matrix,Service B,Closed,High,High,Low,High,2025-01-01T21:13:45.000000,2025-01-01T23:00:07.000000,2025-01-03T17:24:05.000000,1,Wednesday,0
CR-67,Multiple logins from different countries within short timeframe,Data,Captain America,Peter,Avengers II,Service C,Closed,High,High,Medium,Medium,2025-01-01T13:03:52.000000,2025-01-01T16:30:27.000000,2025-01-02T20:02:42.000000,1,Wednesday,0
CR-68,Unusual access pattern to customer data records,Facilities,Martin,Martin,Matrix,Service B,Closed,High,High,Low,Medium,2025-01-01T18:56:51.000000,2025-01-02T01:51:44.000000,2025-01-03T20:24:49.000000,0,Wednesday,1
CR-69,Multiple logins from different countries within short timeframe,Complaint,Thor,Thor,Matrix,Service C,Closed,Medium,Medium,High,High,2025-01-01T05:34:07.000000,2025-01-01T06:44:17.000000,2025-01-03T00:30:03.000000,1,Wednesday,0
CR-70,Login from decommissioned device detected in logs,Software,Martin,Martin,Matrix,Service B,Closed,Low,Low,Low,Medium,2025-01-01T13:17:08.000000,2025-01-01T19:20:44.000000,2025-01-03T02:24:07.000000,1,Wednesday,0
CR-71,Suspicious file execution blocked by application control,Software,Peter,Michal,Avengers,Service C,Closed,Low,Low,Medium,High,2025-01-01T13:11:26.000000,2025-01-01T17:26:22.000000,2025-01-02T04:13:09.000000,0,Wednesday,1
CR-72,Suspicious login attempt from unknown IP address,Hardware,Captain America,Martin,Matrix,Service A,Closed,Low,Low,Medium,High,2025-01-01T21:42:02.000000,2025-01-02T02:24:21.000000,2025-01-02T10:20:52.000000,0,Wednesday,1
CR-73,Suspicious PowerShell activity detected on workstation,Hardware,Thor,Iron Man,Avengers,Service B,Closed,Medium,Medium,Medium,High,2025-01-01T03:13:24.000000,2025-01-01T07:20:00.000000,2025-01-02T01:51:13.000000,0,Wednesday,1
CR-74,Phishing email reported by employee,Complaint,Iron Man,Martin,Avengers,Service A,Closed,High,Low,Low,Medium,2025-01-01T22:24:17.000000,2025-01-02T01:38:56.000000,2025-01-03T06:29:27.000000,0,Wednesday,1
CR-75,Malicious JavaScript detected on visited webpage,Software,Peter,Jan,Matrix,Service C,New,High,Medium,Low,Medium,2025-01-01T11:50:04.000000,,,0,Wednesday,1
CR-76,Unusual file encryption activity detected on server,Network,Jan,Peter,Matrix,Service C,New,High,Medium,High,Medium,2025-01-01T09:48:44.000000,,,0,Wednesday,1
CR-77,Multiple password reset requests from same user,Facilities,Iron Man,Thor,Avengers II,Service A,Closed,Low,High,Low,High,2025-01-01T13:40:00.000000,2025-01-01T14:56:26.000000,2025-01-02T22:19:58.000000,1,Wednesday,0
CR-78,Blocked attempt to upload sensitive data to cloud storage,Data,Peter,Thor,Matrix,Service C,Closed,Low,Medium,Medium,Low,2025-01-01T21:22:42.000000,2025-01-01T23:32:49.000000,2025-01-03T11:57:48.000000,1,Wednesday,0
CR-79,Anomalous login pattern for service account,Hardware,Martin,Iron Man,Matrix,Service C,Closed,Medium,Low,Medium,High,2025-01-01T01:45:34.000000,2025-01-01T05:48:33.000000,2025-01-01T10:06:51.000000,0,Wednesday,1
CR-80,Phishing email reported by employee,Complaint,Thor,Jan,Matrix,Service B,Closed,Medium,High,Low,High,2025-01-01T06:08:59.000000,2025-01-01T07:24:48.000000,2025-01-02T04:29:37.000000,1,Wednesday,0
CR-81,Unapproved application communicating with external server,Facilities,Martin,Martin,Avengers II,Service B,New,Medium,Low,Medium,Medium,2025-01-01T07:42:36.000000,,,1,Wednesday,0
CR-82,Security policy violation on mobile device,Hardware,Captain America,Michal,Avengers,Service C,Closed,Medium,Low,Low,High,2025-01-01T10:56:42.000000,2025-01-01T14:57:34.000000,2025-01-03T00:01:36.000000,1,Wednesday,0
CR-83,Email forwarding rule created without user knowledge,Complaint,Iron Man,Jan,Avengers,Service B,On Hold,High,Low,Low,Low,2025-01-01T02:25:29.000000,,,0,Wednesday,1
CR-84,Attempted login using default system credentials,Network,Thor,Martin,Avengers,Service C,Closed,High,Low,Low,Medium,2025-01-01T15:30:39.000000,2025-01-01T17:25:48.000000,2025-01-02T16:04:33.000000,1,Wednesday,0
CR-85,Unauthorized installation of unapproved software,Software,Captain America,Martin,Avengers II,Service C,Closed,Low,Medium,Low,Medium,2025-01-01T16:46:38.000000,2025-01-02T00:44:37.000000,2025-01-02T20:02:33.000000,0,Wednesday,1
CR-86,Suspicious modification of registry keys on workstation,Failure,Iron Man,Michal,Avengers II,Service B,Closed,High,Medium,High,Low,2025-01-01T14:26:40.000000,2025-01-01T18:12:52.000000,2025-01-02T07:20:28.000000,0,Wednesday,1
CR-87,Phishing email reported by employee,Facilities,Thor,Martin,Avengers,Service B,Closed,Medium,Medium,Low,Low,2025-01-01T16:19:30.000000,2025-01-01T21:45:00.000000,2025-01-02T20:39:58.000000,0,Wednesday,1
CR-88,Anomalous login pattern for service account,Software,Captain America,Iron Man,Matrix,Service C,New,Medium,High,Low,High,2025-01-01T06:00:17.000000,,,0,Wednesday,1
CR-89,New privileged account created without proper approval,Failure,Peter,Thor,Matrix,Service B,Closed,Low,Medium,Low,Medium,2025-01-02T04:45:21.000000,2025-01-02T07:01:58.000000,2025-01-03T13:11:29.000000,0,Thursday,1
CR-90,Firewall detected and blocked port scanning activity,Access,Iron Man,Martin,Avengers,Service B,Closed,Medium,High,Low,High,2025-01-02T05:20:54.000000,2025-01-02T14:18:24.000000,2025-01-03T08:14:06.000000,1,Thursday,0
CR-91,Suspicious authentication token reuse detected,Complaint,Thor,Jan,Matrix,Service C,Closed,High,Low,Medium,High,2025-01-02T00:37:02.000000,2025-01-02T02:28:17.000000,2025-01-03T17:35:53.000000,1,Thursday,0
CR-92,Multiple password reset requests from same user,Hardware,Martin,Iron Man,Avengers,Service C,In Progress,High,Medium,High,Low,2025-01-02T03:33:10.000000,2025-01-02T06:22:30.000000,,1,Thursday,0
CR-93,Abnormal outbound DNS requests from single host,Hardware,Peter,Jan,Avengers II,Service B,Closed,High,Medium,Low,High,2025-01-02T01:45:28.000000,2025-01-02T06:49:49.000000,2025-01-02T08:59:09.000000,1,Thursday,0
CR-94,Unauthorized attempt to access security logs,Complaint,Jan,Michal,Avengers,Service C,Closed,High,Medium,Low,Medium,2025-01-02T14:13:37.000000,2025-01-02T15:17:42.000000,2025-01-02T21:28:28.000000,0,Thursday,1
CR-95,Inactive account used for login attempt,Data,Iron Man,Jan,Avengers,Service C,In Progress,High,High,Medium,Medium,2025-01-02T20:58:41.000000,2025-01-02T22:38:46.000000,,1,Thursday,0
CR-96,Data loss prevention policy violation detected,Access,Thor,Thor,Avengers II,Service C,Closed,High,Low,Low,Low,2025-01-02T00:06:31.000000,2025-01-02T03:26:55.000000,2025-01-02T20:28:03.000000,0,Thursday,1
CR-97,Login from decommissioned device detected in logs,Software,Iron Man,Captain America,Matrix,Service A,Closed,Medium,Low,Low,Low,2025-01-02T06:04:16.000000,2025-01-02T14:17:53.000000,2025-01-03T05:21:06.000000,1,Thursday,0
CR-98,Malicious macro detected in office document,Data,Thor,Michal,Avengers II,Service B,Closed,High,High,Low,High,2025-01-02T08:17:23.000000,2025-01-02T09:24:38.000000,2025-01-04T02:45:42.000000,1,Thursday,0
CR-99,Unapproved connection to third-party cloud service,Facilities,Martin,Captain America,Matrix,Service B,Closed,High,Low,Low,Medium,2025-01-02T06:04:54.000000,2025-01-02T14:01:24.000000,2025-01-03T01:33:45.000000,1,Thursday,0
CR-100,Ransomware behavior detected and contained on endpoint,Failure,Thor,Thor,Avengers II,Service A,Closed,Low,High,Medium,High,2025-01-02T10:58:41.000000,2025-01-02T13:36:57.000000,2025-01-03T21:44:02.000000,1,Thursday,0
CR-101,New network share created without change request,Software,Michal,Jan,Avengers,Service A,Closed,Medium,High,High,High,2025-01-02T20:34:11.000000,2025-01-02T22:05:39.000000,2025-01-04T07:13:42.000000,1,Thursday,0
CR-102,Endpoint reported repeated blocked exploit attempts,Hardware,Iron Man,Iron Man,Avengers,Service A,Closed,Low,High,Medium,High,2025-01-02T06:12:47.000000,2025-01-02T10:40:18.000000,2025-01-03T09:10:45.000000,1,Thursday,0
CR-103,Inactive account used for login attempt,Software,Thor,Jan,Avengers,Service A,Closed,High,Medium,Low,Medium,2025-01-02T03:22:04.000000,2025-01-02T05:24:07.000000,2025-01-02T11:44:09.000000,0,Thursday,1
CR-104,Unapproved remote access session initiated,Complaint,Jan,Michal,Avengers,Service A,Closed,High,Medium,High,Low,2025-01-02T12:23:58.000000,2025-01-02T15:31:42.000000,2025-01-04T12:10:44.000000,1,Thursday,0
CR-105,Multiple password reset requests from same user,Failure,Captain America,Michal,Avengers,Service C,In Progress,Medium,Low,Medium,High,2025-01-02T09:04:02.000000,2025-01-02T10:50:47.000000,,1,Thursday,0
CR-106,Suspicious file execution blocked by application control,Facilities,Peter,Thor,Avengers II,Service C,Closed,Medium,High,High,Medium,2025-01-02T19:23:58.000000,2025-01-02T23:10:12.000000,2025-01-04T03:41:40.000000,0,Thursday,1
CR-107,Suspicious authentication token reuse detected,Hardware,Thor,Iron Man,Matrix,Service C,Closed,High,Medium,Medium,High,2025-01-02T17:02:12.000000,2025-01-02T21:16:05.000000,2025-01-04T08:31:29.000000,1,Thursday,0
CR-108,Email forwarding rule created without user knowledge,Data,Iron Man,Captain America,Avengers,Service B,Closed,High,Low,Low,Medium,2025-01-02T01:51:19.000000,2025-01-02T03:10:40.000000,2025-01-03T20:39:02.000000,0,Thursday,1
CR-109,Unusual spike in security alerts for single user,Access,Iron Man,Martin,Avengers,Service C,Closed,Low,Medium,Low,High,2025-01-02T13:25:02.000000,2025-01-02T21:49:41.000000,2025-01-04T02:56:18.000000,0,Thursday,1
CR-110,Suspicious authentication attempts to database server,Network,Iron Man,Thor,Avengers II,Service A,Closed,Medium,Low,High,Medium,2025-01-02T04:04:53.000000,2025-01-02T06:06:10.000000,2025-01-03T22:31:21.000000,0,Thursday,1
CR-111,Inactive account used for login attempt,Complaint,Iron Man,Michal,Matrix,Service C,Closed,Low,High,Low,Low,2025-01-02T11:07:59.000000,2025-01-02T16:02:13.000000,2025-01-04T09:26:20.000000,0,Thursday,1
CR-112,New network share created without change request,Access,Iron Man,Iron Man,Avengers II,Service B,Closed,Low,Low,Medium,Medium,2025-01-02T02:10:20.000000,2025-01-02T08:33:29.000000,2025-01-02T17:52:07.000000,0,Thursday,1
CR-113,Abnormal outbound DNS requests from single host,Data,Jan,Martin,Matrix,Service A,Closed,Low,Low,Low,High,2025-01-02T09:09:17.000000,2025-01-02T13:34:36.000000,2025-01-02T18:49:40.000000,1,Thursday,0
CR-114,Unauthorized attempt to access security logs,Network,Michal,Jan,Avengers II,Service A,Closed,High,High,Medium,Low,2025-01-02T00:09:04.000000,2025-01-02T02:36:38.000000,2025-01-02T16:16:16.000000,1,Thursday,0
CR-115,Suspicious login attempt using expired credentials,Software,Peter,Thor,Avengers II,Service C,Closed,Medium,Medium,Low,Low,2025-01-02T18:18:45.000000,2025-01-02T23:27:51.000000,2025-01-03T18:16:45.000000,0,Thursday,1
CR-116,Unusual data download volume from file server,Data,Jan,Martin,Avengers,Service C,Closed,Low,Medium,High,High,2025-01-02T16:21:30.000000,2025-01-03T01:03:39.000000,2025-01-04T06:27:26.000000,0,Thursday,1
CR-117,Malicious macro detected in office document,Facilities,Martin,Peter,Avengers,Service C,Closed,High,Low,High,Medium,2025-01-02T08:55:59.000000,2025-01-02T13:21:54.000000,2025-01-03T03:30:48.000000,1,Thursday,0
CR-118,Malicious JavaScript detected on visited webpage,Hardware,Michal,Thor,Avengers II,Service C,In Progress,Medium,High,Medium,Medium,2025-01-02T15:30:19.000000,2025-01-02T21:18:21.000000,,0,Thursday,1
CR-119,Malicious macro detected in office document,Network,Michal,Peter,Avengers,Service C,Closed,High,Medium,High,Low,2025-01-02T22:26:19.000000,2025-01-03T04:01:25.000000,2025-01-04T10:26:52.000000,0,Thursday,1
CR-120,Login from decommissioned device detected in logs,Network,Thor,Iron Man,Avengers,Service A,Closed,Medium,High,Low,High,2025-01-02T02:13:10.000000,2025-01-02T10:41:26.000000,2025-01-03T22:13:01.000000,1,Thursday,0
CR-121,Endpoint reported repeated blocked exploit attempts,Facilities,Peter,Thor,Avengers II,Service B,Closed,High,Medium,Medium,Medium,2025-01-02T09:47:13.000000,2025-01-02T13:30:37.000000,2025-01-04T06:25:07.000000,1,Thursday,0
CR-122,Suspicious PowerShell activity detected on workstation,Hardware,Captain America,Michal,Matrix,Service A,Closed,Medium,Low,Low,High,2025-01-02T15:59:17.000000,2025-01-02T23:25:27.000000,2025-01-04T18:18:33.000000,0,Thursday,1
