Number,Short description,Change Environment,Requested by,Assigned to,Assignment group,Service,State,Risk score,Priority,Urgency,Impact,Created,Actual start,Closed,Day,Actual end
CR-27,DDoS attack detected: High traffic spotted on critical service.,Access,Iron Man,Hulk,Avengers II,Service A,Closed,Medium,Low,Low,High,01/01/2025 14:41:44,01/01/2025 22:03:52,02/01/2025 01:19:52,Wednesday,02/01/2025 01:19:52
CR-28,File integrity check failed: Data corruption suspected.,Access,Captain America,Jan,Matrix,Service A,Closed,Medium,Low,Medium,Low,01/01/2025 13:49:09,01/01/2025 16:31:15,03/01/2025 05:25:57,Wednesday,03/01/2025 05:25:57
CR-29,Security patch applied: Monitoring for any issues.,Complaint,Jan,Jan,Avengers II,Service C,Closed,Medium,Low,High,Low,01/01/2025 14:02:36,01/01/2025 17:28:06,02/01/2025 18:30:42,Wednesday,02/01/2025 18:30:42
CR-30,SOC analyst triggered investigation for suspicious server activity.,Network,Peter,Black Panther,Avengers II,Service C,Closed,High,Low,Low,High,01/01/2025 17:51:34,01/01/2025 20:37:20,03/01/2025 04:58:02,Wednesday,03/01/2025 04:58:02
CR-31,Network scanning tool triggered security alert.,Network,Captain America,Peter,Avengers II,Service A,In Progress,Low,Low,Low,High,01/01/2025 10:57:26,01/01/2025 17:31:21,,Wednesday,
CR-32,Unscheduled software change: Application version rolled back.,Software,Martin,Martin,Avengers,Service A,Closed,Medium,Low,Medium,High,01/01/2025 06:26:48,01/01/2025 10:31:11,03/01/2025 02:19:41,Wednesday,03/01/2025 02:19:41
CR-33,Access request denied: Policy mismatch.,Data,Jan,Hulk,Avengers II,Service C,New,Medium,Low,Medium,High,01/01/2025 15:24:02,,,Wednesday,
CR-34,User login failed: Account locked due to excessive login attempts.,Facilities,Peter,Hulk,Avengers,Service C,Closed,High,Medium,Medium,High,01/01/2025 08:21:22,01/01/2025 10:50:50,02/01/2025 13:59:42,Wednesday,02/01/2025 13:59:42
CR-35,Failed encryption process: Unable to secure sensitive data.,Access,Iron Man,Peter,Avengers II,Service A,Closed,Medium,Low,High,High,01/01/2025 06:59:37,01/01/2025 09:59:45,02/01/2025 16:55:01,Wednesday,02/01/2025 16:55:01
CR-36,Power failure simulation triggered during red team activity.,Facilities,Iron Man,Hulk,Avengers,Service C,Closed,Medium,Low,Low,Medium,01/01/2025 22:35:41,02/01/2025 02:30:41,03/01/2025 16:44:30,Wednesday,03/01/2025 16:44:30
CR-37,Failed cloud synchronization: Files cannot be uploaded.,Facilities,Iron Man,Peter,Matrix,Service B,Closed,Medium,Medium,Medium,High,01/01/2025 15:10:49,01/01/2025 23:40:08,03/01/2025 07:06:07,Wednesday,03/01/2025 07:06:07
CR-38,Expired password reset request: User notified.,Hardware,Hulk,Peter,Avengers II,Service B,Closed,Low,High,Low,Medium,01/01/2025 14:42:22,01/01/2025 17:12:17,01/01/2025 20:17:01,Wednesday,01/01/2025 20:17:01
CR-39,Cross-site scripting (XSS) detected on customer portal.,Software,Michal,Michal,Avengers II,Service C,Closed,Medium,High,Medium,Low,01/01/2025 21:40:43,01/01/2025 23:45:37,02/01/2025 05:54:03,Wednesday,02/01/2025 05:54:03
CR-40,Internal network inaccessible: Ping requests time out.,Data,Michal,Hulk,Avengers II,Service C,On Hold,Medium,High,Medium,Low,01/01/2025 08:05:33,,,Wednesday,
CR-41,Expired certificates detected: TLS handshake improper.,Data,John Wick,John Wick,Avengers II,Service C,Closed,Medium,High,Medium,Medium,01/01/2025 18:05:26,01/01/2025 22:08:20,03/01/2025 11:43:34,Wednesday,03/01/2025 11:43:34
CR-42,Data download from personal device flagged for review.,Failure,Peter,Martin,Avengers II,Service A,Closed,Medium,Medium,High,High,01/01/2025 23:52:54,02/01/2025 03:54:10,03/01/2025 07:56:04,Wednesday,03/01/2025 07:56:04
CR-43,Cloud misconfiguration alert: Public exposure of sensitive data.,Facilities,John Wick,Michal,Matrix,Service B,Closed,High,High,Medium,Medium,01/01/2025 00:30:53,01/01/2025 06:29:22,01/01/2025 12:39:19,Wednesday,01/01/2025 12:39:19
CR-44,Login attempt from blacklisted IP address blocked.,Access,John Wick,Captain America,Matrix,Service C,Closed,High,High,Medium,Medium,01/01/2025 20:28:10,02/01/2025 02:41:14,02/01/2025 06:49:18,Wednesday,02/01/2025 06:49:18
CR-45,Web server certificate expired: Issue flagged for priority teams.,Data,Black Panther,Jan,Avengers,Service B,Closed,High,Low,Medium,High,01/01/2025 07:47:03,01/01/2025 14:14:06,02/01/2025 15:35:13,Wednesday,02/01/2025 15:35:13
CR-46,Critical security incident logged: Immediate remediation required.,Data,Michal,Jan,Matrix,Service C,Closed,Low,Low,Medium,Medium,01/01/2025 11:12:40,01/01/2025 15:32:58,03/01/2025 06:47:58,Wednesday,03/01/2025 06:47:58
CR-47,Red team simulation detected: Penetration testing execution.,Network,Martin,Hulk,Avengers II,Service B,Closed,Medium,High,Low,Medium,01/01/2025 16:01:35,01/01/2025 22:22:05,02/01/2025 11:49:39,Wednesday,02/01/2025 11:49:39
CR-48,SOC analyst triggered investigation for suspicious server activity.,Network,John Wick,Iron Man,Matrix,Service A,Closed,High,High,Medium,High,01/01/2025 02:57:04,01/01/2025 07:17:06,02/01/2025 22:37:22,Wednesday,02/01/2025 22:37:22
CR-49,System configuration error: Permissions incorrectly set.,Hardware,Michal,Hulk,Avengers II,Service A,Closed,Medium,High,Low,Medium,01/01/2025 14:55:01,01/01/2025 19:32:21,02/01/2025 10:04:28,Wednesday,02/01/2025 10:04:28
CR-50,Access request denied: Policy mismatch.,Data,Hulk,Martin,Avengers,Service B,Closed,High,Low,High,High,01/01/2025 01:54:27,01/01/2025 06:26:35,01/01/2025 14:48:43,Wednesday,01/01/2025 14:48:43
CR-51,Suspicious API calls detected: Abnormal volume of requests identified.,Network,John Wick,Thor,Matrix,Service C,Closed,Medium,High,Low,High,01/01/2025 16:52:16,01/01/2025 20:38:45,02/01/2025 11:52:34,Wednesday,02/01/2025 11:52:34
CR-52,Dark web monitoring alert: Credentials detected for sale online.,Access,Thor,Peter,Matrix,Service B,Closed,Medium,Low,High,High,01/01/2025 23:53:15,02/01/2025 08:40:48,02/01/2025 20:00:03,Wednesday,02/01/2025 20:00:03
CR-53,Failed SSO login: Invalid credentials provided.,Hardware,Jan,Captain America,Avengers II,Service A,Closed,Low,High,High,High,01/01/2025 15:37:55,01/01/2025 17:43:28,02/01/2025 12:44:54,Wednesday,02/01/2025 12:44:54
CR-54,DNS attack detected: Unusual query patterns observed.,Hardware,Peter,Hulk,Matrix,Service A,Closed,Medium,Medium,Low,High,01/01/2025 02:06:18,01/01/2025 10:58:28,01/01/2025 20:49:28,Wednesday,01/01/2025 20:49:28
CR-55,Social engineering attempt flagged: Fake support request identified.,Data,Captain America,Iron Man,Matrix,Service A,Closed,Medium,High,Low,Low,01/01/2025 05:32:13,01/01/2025 11:15:49,03/01/2025 03:32:47,Wednesday,03/01/2025 03:32:47
CR-56,Access request denied: Policy mismatch.,Hardware,Captain America,Hulk,Avengers II,Service C,Closed,Medium,High,High,Low,01/01/2025 20:21:06,02/01/2025 04:54:39,02/01/2025 12:05:40,Wednesday,02/01/2025 12:05:40
CR-57,Failed packet inspection: Firewall rules misconfigured.,Facilities,Michal,Martin,Avengers,Service A,Closed,Medium,Medium,High,High,01/01/2025 04:24:40,01/01/2025 09:54:33,02/01/2025 17:51:07,Wednesday,02/01/2025 17:51:07
CR-58,VPN connection failure: Unable to securely tunnel data.,Facilities,Michal,Black Panther,Matrix,Service A,Closed,High,High,Medium,Medium,01/01/2025 20:07:04,02/01/2025 00:07:54,03/01/2025 00:57:16,Wednesday,03/01/2025 00:57:16
CR-59,Data exfiltration alert: High outbound traffic flagged.,Hardware,Iron Man,Michal,Avengers,Service B,Closed,Medium,Low,Medium,Low,01/01/2025 09:11:26,01/01/2025 14:22:16,03/01/2025 11:06:42,Wednesday,03/01/2025 11:06:42
CR-60,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Software,Black Panther,Black Panther,Avengers II,Service A,Closed,Low,High,Medium,Low,01/01/2025 12:34:14,01/01/2025 15:14:45,03/01/2025 05:02:20,Wednesday,03/01/2025 05:02:20
CR-61,Red team simulation detected: Penetration testing execution.,Data,Michal,Martin,Avengers II,Service A,Closed,High,High,Medium,Low,01/01/2025 21:06:24,02/01/2025 02:53:08,03/01/2025 02:47:37,Wednesday,03/01/2025 02:47:37
CR-62,Cloud storage accessed by untrusted device.,Access,Jan,Peter,Avengers,Service A,New,Low,Medium,High,Low,01/01/2025 15:55:56,,,Wednesday,
CR-63,Data download from personal device flagged for review.,Failure,Captain America,Captain America,Matrix,Service C,Closed,Low,Low,High,High,01/01/2025 23:46:44,02/01/2025 08:10:22,03/01/2025 17:07:17,Wednesday,03/01/2025 17:07:17
CR-64,Network scanning tool triggered security alert.,Hardware,Captain America,Iron Man,Avengers II,Service B,Closed,High,High,High,High,01/01/2025 19:55:57,02/01/2025 02:50:48,02/01/2025 04:58:13,Wednesday,02/01/2025 04:58:13
CR-65,Critical alert: Database server overload detected.,Network,Hulk,Peter,Avengers,Service A,Closed,Low,High,High,Medium,01/01/2025 15:12:49,01/01/2025 21:02:06,03/01/2025 06:53:03,Wednesday,03/01/2025 06:53:03
CR-66,Data download from personal device flagged for review.,Hardware,Jan,Iron Man,Avengers II,Service B,New,High,High,Low,Medium,01/01/2025 11:40:19,,,Wednesday,
CR-67,Failed malware removal: Corrupted file system detected.,Hardware,Captain America,Captain America,Avengers,Service B,Closed,High,High,Medium,Low,01/01/2025 02:38:12,01/01/2025 08:10:23,01/01/2025 23:22:56,Wednesday,01/01/2025 23:22:56
CR-68,Phishing email flagged: User report received for fake login attempt.,Complaint,Michal,Peter,Avengers II,Service A,Closed,Medium,Low,Low,Medium,01/01/2025 22:45:28,02/01/2025 02:25:17,03/01/2025 17:04:41,Wednesday,03/01/2025 17:04:41
CR-69,Dark web monitoring alert: Credentials detected for sale online.,Software,John Wick,Thor,Avengers II,Service C,Closed,Medium,High,Low,High,01/01/2025 07:49:37,01/01/2025 12:12:18,01/01/2025 17:13:49,Wednesday,01/01/2025 17:13:49
CR-70,Ransomware attack detected: Encrypted files observed on endpoint.,Hardware,Hulk,John Wick,Avengers II,Service C,Closed,High,High,Medium,Medium,01/01/2025 20:02:39,02/01/2025 03:04:50,02/01/2025 13:50:01,Wednesday,02/01/2025 13:50:01
CR-71,Malware alert: Suspicious executable flagged during scan.,Hardware,Peter,Jan,Avengers,Service B,Closed,Medium,Medium,High,High,01/01/2025 00:53:53,01/01/2025 04:52:57,02/01/2025 23:46:22,Wednesday,02/01/2025 23:46:22
CR-72,User login failed: Account locked due to excessive login attempts.,Data,Iron Man,Iron Man,Avengers II,Service A,Closed,Low,High,High,High,01/01/2025 16:28:26,01/01/2025 23:25:04,02/01/2025 22:17:49,Wednesday,02/01/2025 22:17:49
CR-73,Suspicious activity detected on account: User A.,Data,Michal,Black Panther,Matrix,Service A,Closed,High,Low,Low,Low,01/01/2025 04:27:11,01/01/2025 07:23:39,01/01/2025 17:37:29,Wednesday,01/01/2025 17:37:29
CR-74,Failed Healthcheck - ID: 111-222-333-444-555 Host: ,Failure,Iron Man,Thor,Avengers,Service A,Closed,Low,High,Medium,Low,01/01/2025 18:46:33,02/01/2025 01:00:41,02/01/2025 14:17:40,Wednesday,02/01/2025 14:17:40
CR-75,Suspicious behavior: Multiple failed login attempts detected.,Software,Captain America,Thor,Avengers II,Service A,Closed,Medium,Medium,High,High,01/01/2025 01:17:51,01/01/2025 08:27:41,02/01/2025 03:57:43,Wednesday,02/01/2025 03:57:43
CR-76,USB device blocked: Removable media protection active.,Hardware,Thor,Black Panther,Avengers,Service A,Closed,High,High,High,Medium,01/01/2025 19:37:36,02/01/2025 01:25:13,03/01/2025 21:42:02,Wednesday,03/01/2025 21:42:02
CR-77,Unauthorized device connected: MAC address not whitelisted.,Network,John Wick,Michal,Avengers II,Service C,Closed,High,Medium,High,High,01/01/2025 04:30:07,01/01/2025 10:07:29,01/01/2025 13:36:58,Wednesday,01/01/2025 13:36:58
CR-78,Failed cloud synchronization: Files cannot be uploaded.,Complaint,Iron Man,Peter,Avengers II,Service C,Closed,Low,High,Medium,High,01/01/2025 22:39:44,02/01/2025 05:53:20,02/01/2025 08:16:42,Wednesday,02/01/2025 08:16:42
CR-79,Social engineering attempt flagged: Fake support request identified.,Software,John Wick,Iron Man,Avengers,Service C,Closed,Medium,High,High,Low,01/01/2025 03:25:16,01/01/2025 06:46:59,02/01/2025 23:25:27,Wednesday,02/01/2025 23:25:27
CR-80,Failed SSO login: Invalid credentials provided.,Hardware,Captain America,Martin,Avengers II,Service B,Closed,Low,Low,Medium,Medium,01/01/2025 16:59:35,01/01/2025 22:05:10,03/01/2025 01:18:07,Wednesday,03/01/2025 01:18:07
CR-81,Performance report: Sluggish response times on application.,Failure,Jan,Black Panther,Avengers II,Service A,Closed,Low,Medium,Low,Medium,01/01/2025 02:25:24,01/01/2025 06:59:01,02/01/2025 00:29:05,Wednesday,02/01/2025 00:29:05
CR-82,Critical security incident logged: Immediate remediation required.,Failure,Thor,Michal,Avengers,Service A,Closed,Medium,Medium,Low,Medium,01/01/2025 13:47:15,01/01/2025 17:58:55,03/01/2025 06:03:58,Wednesday,03/01/2025 06:03:58
CR-83,Critical security incident logged: Immediate remediation required.,Complaint,Peter,Captain America,Matrix,Service A,Closed,Medium,High,Medium,Medium,01/01/2025 10:29:50,01/01/2025 18:23:47,02/01/2025 19:08:21,Wednesday,02/01/2025 19:08:21
CR-84,Cloud storage accessed by untrusted device.,Complaint,Jan,Iron Man,Avengers,Service B,On Hold,Low,Medium,Medium,High,01/01/2025 04:22:28,,,Wednesday,
CR-85,Cloud storage accessed by untrusted device.,Network,John Wick,Iron Man,Matrix,Service C,Closed,Low,Low,High,High,01/01/2025 17:50:40,01/01/2025 21:22:22,02/01/2025 19:15:44,Wednesday,02/01/2025 19:15:44
CR-86,Unauthorized access attempt detected: IP flagged as suspicious.,Network,Martin,Hulk,Avengers,Service B,Closed,High,Medium,High,Low,01/01/2025 05:33:29,01/01/2025 08:21:16,02/01/2025 13:33:21,Wednesday,02/01/2025 13:33:21
CR-87,Malware alert: Suspicious executable flagged during scan.,Hardware,John Wick,John Wick,Avengers,Service A,Closed,Medium,Medium,Medium,High,01/01/2025 14:35:46,01/01/2025 18:08:49,03/01/2025 07:22:31,Wednesday,03/01/2025 07:22:31
CR-88,Web server certificate expired: Issue flagged for priority teams.,Complaint,Captain America,Michal,Avengers II,Service C,Closed,Low,High,High,Low,01/01/2025 07:12:53,01/01/2025 10:38:37,02/01/2025 08:04:05,Wednesday,02/01/2025 08:04:05
CR-89,Network issue: Unable to connect to external API.,Failure,Iron Man,Black Panther,Avengers,Service B,Closed,High,Low,Medium,Low,01/01/2025 07:58:42,01/01/2025 10:38:06,02/01/2025 01:52:52,Wednesday,02/01/2025 01:52:52
CR-90,Email flagged as phishing: Sensitive keywords detected.,Software,Captain America,Iron Man,Matrix,Service A,Closed,Medium,High,High,High,01/01/2025 18:05:14,02/01/2025 02:21:55,02/01/2025 14:43:34,Wednesday,02/01/2025 14:43:34
CR-91,Critical security incident logged: Immediate remediation required.,Access,Thor,Iron Man,Avengers,Service B,Closed,Medium,High,High,High,01/01/2025 22:58:37,02/01/2025 06:50:37,03/01/2025 04:34:08,Wednesday,03/01/2025 04:34:08
CR-92,Backup server unreachable: Error code 502.,Facilities,Hulk,Martin,Avengers,Service A,Closed,High,Low,Low,High,01/01/2025 08:27:20,01/01/2025 13:29:12,01/01/2025 19:21:27,Wednesday,01/01/2025 19:21:27
CR-93,USB device blocked: Removable media protection active.,Network,Jan,Black Panther,Avengers II,Service B,Closed,Medium,High,Medium,Medium,01/01/2025 16:04:13,01/01/2025 23:13:14,02/01/2025 15:52:57,Wednesday,02/01/2025 15:52:57
CR-94,Locked account: Excessive password retry attempts.,Network,Michal,Hulk,Avengers,Service C,Closed,Low,High,Medium,High,01/01/2025 06:50:45,01/01/2025 09:25:43,02/01/2025 19:45:32,Wednesday,02/01/2025 19:45:32
CR-95,Critical system alert: Root access attempted on production server.,Complaint,Peter,Iron Man,Avengers II,Service A,Closed,Low,Medium,High,High,01/01/2025 01:06:41,01/01/2025 04:07:56,02/01/2025 17:25:12,Wednesday,02/01/2025 17:25:12
CR-96,Keylogger activity detected on user's workstation.,Software,Martin,Captain America,Avengers II,Service C,Closed,Low,Medium,Medium,Medium,01/01/2025 17:10:39,02/01/2025 01:25:37,03/01/2025 10:38:43,Wednesday,03/01/2025 10:38:43
CR-97,Server reboot required: Kernel update incomplete.,Access,Black Panther,Jan,Matrix,Service A,Closed,Low,High,Medium,High,01/01/2025 15:33:54,01/01/2025 19:15:29,03/01/2025 03:38:04,Wednesday,03/01/2025 03:38:04
CR-98,Unauthorized user session hijacked on browser.,Failure,Hulk,Hulk,Avengers,Service C,Closed,High,High,High,Medium,01/01/2025 09:29:26,01/01/2025 18:11:23,02/01/2025 04:19:23,Wednesday,02/01/2025 04:19:23
CR-99,Network scanning tool triggered security alert.,Failure,Black Panther,Iron Man,Avengers II,Service A,In Progress,High,Low,Low,Medium,01/01/2025 04:10:34,01/01/2025 07:16:31,,Wednesday,
CR-100,Access request denied: Policy mismatch.,Facilities,Captain America,Michal,Matrix,Service A,New,Low,Medium,Medium,Medium,01/01/2025 22:53:21,,,Wednesday,
CR-101,Authentication error: Multi-factor authentication failed.,Hardware,Black Panther,Martin,Avengers,Service B,Closed,High,High,High,Medium,01/01/2025 16:48:15,02/01/2025 01:13:09,03/01/2025 08:36:08,Wednesday,03/01/2025 08:36:08
CR-102,Unpatched vulnerability flagged: CVE report mismatch detected.,Network,Hulk,Peter,Avengers,Service A,Closed,Medium,High,High,High,01/01/2025 05:06:33,01/01/2025 09:01:48,02/01/2025 10:24:02,Wednesday,02/01/2025 10:24:02
CR-103,Unauthorized device connected: MAC address not whitelisted.,Access,Jan,Michal,Avengers,Service A,Closed,Medium,High,High,Medium,01/01/2025 17:12:36,01/01/2025 22:35:43,02/01/2025 19:54:57,Wednesday,02/01/2025 19:54:57
CR-104,Phishing email flagged: User report received for fake login attempt.,Failure,Iron Man,John Wick,Avengers,Service B,Closed,Medium,High,High,Medium,01/01/2025 19:09:59,01/01/2025 23:39:52,03/01/2025 11:57:53,Wednesday,03/01/2025 11:57:53
CR-105,Unpatched vulnerability flagged: CVE report mismatch detected.,Network,Michal,Thor,Avengers II,Service C,Closed,High,Low,Low,Medium,01/01/2025 19:41:01,02/01/2025 02:50:58,03/01/2025 04:04:31,Wednesday,03/01/2025 04:04:31
CR-106,Data exfiltration alert: High outbound traffic flagged.,Failure,Peter,Thor,Avengers,Service B,Closed,Low,High,High,Low,01/01/2025 07:39:22,01/01/2025 09:44:40,02/01/2025 02:22:39,Wednesday,02/01/2025 02:22:39
CR-107,Failed cloud synchronization: Files cannot be uploaded.,Hardware,Captain America,Black Panther,Avengers II,Service C,Closed,Medium,Medium,Low,Medium,01/01/2025 20:22:44,02/01/2025 01:24:24,03/01/2025 19:50:20,Wednesday,03/01/2025 19:50:20
CR-108,Privileged account login attempt: Microsoft Admin flagged.,Network,Black Panther,Peter,Avengers II,Service C,Closed,Medium,Low,High,High,01/01/2025 07:26:35,01/01/2025 14:08:11,03/01/2025 06:28:23,Wednesday,03/01/2025 06:28:23
CR-109,Suspicious activity detected on account: User A.,Facilities,Thor,Captain America,Avengers II,Service C,Closed,Low,Medium,High,Medium,01/01/2025 13:20:58,01/01/2025 16:28:26,03/01/2025 05:18:36,Wednesday,03/01/2025 05:18:36
CR-110,Data exfiltration alert: Large outbound transfer from server.,Data,Black Panther,Jan,Avengers II,Service A,Closed,Medium,Medium,High,High,02/01/2025 15:48:46,02/01/2025 20:05:04,04/01/2025 06:16:03,Thursday,04/01/2025 06:16:03
CR-111,Unscheduled software change: Application version rolled back.,Facilities,Thor,Black Panther,Avengers,Service C,Closed,High,High,Medium,Low,02/01/2025 05:43:01,02/01/2025 08:54:19,02/01/2025 17:21:17,Thursday,02/01/2025 17:21:17
CR-112,Expired password reset request: User notified.,Complaint,Martin,Michal,Avengers,Service C,Closed,Low,High,Low,Medium,02/01/2025 08:15:09,02/01/2025 10:27:42,02/01/2025 21:41:12,Thursday,02/01/2025 21:41:12
CR-113,SQL injection attempt: Unauthorized queries flagged.,Access,Peter,Iron Man,Avengers,Service B,Closed,Low,Medium,High,High,02/01/2025 18:55:27,03/01/2025 03:18:33,03/01/2025 20:48:23,Thursday,03/01/2025 20:48:23
CR-114,Unauthorized user session hijacked on browser.,Access,Martin,Black Panther,Avengers,Service B,Closed,High,High,High,High,02/01/2025 23:06:33,03/01/2025 02:26:47,04/01/2025 04:30:13,Thursday,04/01/2025 04:30:13
CR-115,Backup failure: Unable to restore files from recovery system.,Access,Hulk,Thor,Avengers II,Service A,Closed,Low,Low,Low,Medium,02/01/2025 01:22:03,02/01/2025 08:51:12,04/01/2025 03:14:34,Thursday,04/01/2025 03:14:34
CR-116,Failed security training attempt recorded in training portal.,Network,Thor,Michal,Avengers,Service B,Closed,Medium,Medium,Medium,Low,02/01/2025 21:01:55,03/01/2025 03:32:42,03/01/2025 12:40:05,Thursday,03/01/2025 12:40:05
CR-117,Malicious macro executed within Office file.,Hardware,Thor,Jan,Avengers II,Service B,Closed,High,Low,High,Medium,02/01/2025 03:43:34,02/01/2025 09:40:24,02/01/2025 20:13:55,Thursday,02/01/2025 20:13:55
CR-118,SQL injection attempt: Unauthorized queries flagged.,Access,Peter,Hulk,Avengers II,Service A,Closed,Medium,Low,High,High,02/01/2025 16:52:01,02/01/2025 20:39:36,03/01/2025 09:43:38,Thursday,03/01/2025 09:43:38
